LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
amis350cxopcd, ibacs6p3_cd, bc, 3.63, 150, vhys, no_mode, low, 0, 1.081
amis350cxopcd, ibacs6p3_cd, bc, 3.63, 150, vhys, no_mode, high, 0, 1.143
amis350cxopcd, ibacs6p3_cd, bc, 3.63, 150, vih, S, low, 0, 2.324
amis350cxopcd, ibacs6p3_cd, bc, 3.63, 150, vih, S, high, 0, 2.376
amis350cxopcd, ibacs6p3_cd, bc, 3.63, 150, vil, S, low, 0, 1.211
amis350cxopcd, ibacs6p3_cd, bc, 3.63, 150, vil, S, high, 0, 1.265
amis350cxopcd, ibacs6p3_cd, bc, 3.63, 150, iih, no_mode, low, 0, -4.063e-09
amis350cxopcd, ibacs6p3_cd, bc, 3.63, 150, iih, no_mode, high, 0, -2.211e-09
amis350cxopcd, ibacs6p3_cd, bc, 3.63, 150, iil, no_mode, low, 0, 4.367e-12
amis350cxopcd, ibacs6p3_cd, bc, 3.63, 150, iil, no_mode, high, 0, 4.376e-12
amis350cxopcd, ibacs6p3_cd, bc, 3.63, 150, ipd, 0, single, 0, 2.391e-05
amis350cxopcd, ibacs6p3_cd, bc, 3.63, 150, ipu, 3, single, 0, -2.723e-05
amis350cxopcd, ibacs6xx_cd, bc, 3.63, 150, vhys, no_mode, low, 0, 1.081
amis350cxopcd, ibacs6xx_cd, bc, 3.63, 150, vhys, no_mode, high, 0, 1.143
amis350cxopcd, ibacs6xx_cd, bc, 3.63, 150, vih, S, low, 0, 2.324
amis350cxopcd, ibacs6xx_cd, bc, 3.63, 150, vih, S, high, 0, 2.376
amis350cxopcd, ibacs6xx_cd, bc, 3.63, 150, vil, S, low, 0, 1.211
amis350cxopcd, ibacs6xx_cd, bc, 3.63, 150, vil, S, high, 0, 1.265
amis350cxopcd, ibacs6xx_cd, bc, 3.63, 150, iih, no_mode, low, 0, -4.058e-09
amis350cxopcd, ibacs6xx_cd, bc, 3.63, 150, iih, no_mode, high, 0, -2.207e-09
amis350cxopcd, ibacs6xx_cd, bc, 3.63, 150, iil, no_mode, low, 0, 0
amis350cxopcd, ibacs6xx_cd, bc, 3.63, 150, iil, no_mode, high, 0, 0
amis350cxopcd, ibacx6p3_cd, bc, 3.63, 150, vih, no_mode, low, 0, 1.709
amis350cxopcd, ibacx6p3_cd, bc, 3.63, 150, vih, no_mode, high, 0, 1.824
amis350cxopcd, ibacx6p3_cd, bc, 3.63, 150, vil, no_mode, low, 0, 1.709
amis350cxopcd, ibacx6p3_cd, bc, 3.63, 150, vil, no_mode, high, 0, 1.824
amis350cxopcd, ibacx6p3_cd, bc, 3.63, 150, iih, no_mode, low, 0, -4.063e-09
amis350cxopcd, ibacx6p3_cd, bc, 3.63, 150, iih, no_mode, high, 0, -2.211e-09
amis350cxopcd, ibacx6p3_cd, bc, 3.63, 150, iil, no_mode, low, 0, 4.367e-12
