LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
amis350cxopec, ibbcr0xx, bc, 3.63, 150, iih, no_mode, low, 0, -1.412e-06
amis350cxopec, ibbcr0xx, bc, 3.63, 150, iih, no_mode, high, 0, -5.551e-08
amis350cxopec, ibbcr0xx, bc, 3.63, 150, iil, no_mode, low, 0, 1.772e-08
amis350cxopec, ibbcr0xx, bc, 3.63, 150, iil, no_mode, high, 0, 1.22e-07
amis350cxopec, ibbcrfxx, bc, 3.63, 150, iih, no_mode, low, 0, -1.416e-06
amis350cxopec, ibbcrfxx, bc, 3.63, 150, iih, no_mode, high, 0, -6.173e-08
amis350cxopec, ibbcrfxx, bc, 3.63, 150, iil, no_mode, low, 0, 1.974e-08
amis350cxopec, ibbcrfxx, bc, 3.63, 150, iil, no_mode, high, 0, 1.32e-07
amis350cxopec, ibbcs3p3, bc, 3.63, 150, vhys, no_mode, low, 0, 1.042
amis350cxopec, ibbcs3p3, bc, 3.63, 150, vhys, no_mode, high, 0, 1.119
amis350cxopec, ibbcs3p3, bc, 3.63, 150, vih, S, low, 0, 2.324
amis350cxopec, ibbcs3p3, bc, 3.63, 150, vih, S, high, 0, 2.413
amis350cxopec, ibbcs3p3, bc, 3.63, 150, vil, S, low, 0, 1.246
amis350cxopec, ibbcs3p3, bc, 3.63, 150, vil, S, high, 0, 1.341
amis350cxopec, ibbcs3p3, bc, 3.63, 150, iih, no_mode, low, 0, -1.413e-06
amis350cxopec, ibbcs3p3, bc, 3.63, 150, iih, no_mode, high, 0, -5.604e-08
amis350cxopec, ibbcs3p3, bc, 3.63, 150, iil, no_mode, low, 0, 1.773e-08
amis350cxopec, ibbcs3p3, bc, 3.63, 150, iil, no_mode, high, 0, 1.22e-07
amis350cxopec, ibbcs3p3, bc, 3.63, 150, ipd, 0, single, 0, 6.264e-05
amis350cxopec, ibbcs3p3, bc, 3.63, 150, ipu, 3, single, 0, -5.166e-05
amis350cxopec, ibbcs3xx, bc, 3.63, 150, vhys, no_mode, low, 0, 1.042
amis350cxopec, ibbcs3xx, bc, 3.63, 150, vhys, no_mode, high, 0, 1.119
amis350cxopec, ibbcs3xx, bc, 3.63, 150, vih, S, low, 0, 2.324
amis350cxopec, ibbcs3xx, bc, 3.63, 150, vih, S, high, 0, 2.413
amis350cxopec, ibbcs3xx, bc, 3.63, 150, vil, S, low, 0, 1.246
amis350cxopec, ibbcs3xx, bc, 3.63, 150, vil, S, high, 0, 1.341
amis350cxopec, ibbcs3xx, bc, 3.63, 150, iih, no_mode, low, 0, -1.412e-06
amis350cxopec, ibbcs3xx, bc, 3.63, 150, iih, no_mode, high, 0, -5.551e-08
amis350cxopec, ibbcs3xx, bc, 3.63, 150, iil, no_mode, low, 0, 1.772e-08
