LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
amis350ubapfb, ibach6c3, bc, 1.32, 85, vhys, no_mode, low, 0, 0.302
amis350ubapfb, ibach6c3, bc, 1.32, 85, vhys, no_mode, high, 0, 0.352
amis350ubapfb, ibach6c3, bc, 1.32, 85, vih, S, low, 0, 0.760
amis350ubapfb, ibach6c3, bc, 1.32, 85, vih, S, high, 0, 0.889
amis350ubapfb, ibach6c3, bc, 1.32, 85, vil, S, low, 0, 0.423
amis350ubapfb, ibach6c3, bc, 1.32, 85, vil, S, high, 0, 0.561
amis350ubapfb, ibach6c3, bc, 1.32, 85, iih, no_mode, low, 0, -1.55e-08
amis350ubapfb, ibach6c3, bc, 1.32, 85, iih, no_mode, high, 0, -6.8e-10
amis350ubapfb, ibach6c3, bc, 1.32, 85, iil, no_mode, low, 0, 4.897e-12
amis350ubapfb, ibach6c3, bc, 1.32, 85, iil, no_mode, high, 0, 8.575e-12
amis350ubapfb, ibach6c3, bc, 1.32, 85, ipd, 0, single, 0, 7.292e-06
amis350ubapfb, ibach6c3, bc, 1.32, 85, ipu, 3, single, 0, -1.025e-05
amis350ubapfb, ibach6c3, bc, 1.32, 85, ibkpu, 2, single, 0, -8.132e-06
amis350ubapfb, ibach6c3, bc, 1.32, 85, ibkpd, 2, single, 0, 5.659e-06
amis350ubapfb, ibacs6c3, bc, 1.32, 85, vhys, no_mode, low, 0, 0.402
amis350ubapfb, ibacs6c3, bc, 1.32, 85, vhys, no_mode, high, 0, 0.407
amis350ubapfb, ibacs6c3, bc, 1.32, 85, vih, S, low, 0, 0.793
amis350ubapfb, ibacs6c3, bc, 1.32, 85, vih, S, high, 0, 0.920
amis350ubapfb, ibacs6c3, bc, 1.32, 85, vil, S, low, 0, 0.386
amis350ubapfb, ibacs6c3, bc, 1.32, 85, vil, S, high, 0, 0.514
amis350ubapfb, ibacs6c3, bc, 1.32, 85, iih, no_mode, low, 0, -1.55e-08
amis350ubapfb, ibacs6c3, bc, 1.32, 85, iih, no_mode, high, 0, -6.8e-10
amis350ubapfb, ibacs6c3, bc, 1.32, 85, iil, no_mode, low, 0, 4.897e-12
amis350ubapfb, ibacs6c3, bc, 1.32, 85, iil, no_mode, high, 0, 8.575e-12
amis350ubapfb, ibacs6c3, bc, 1.32, 85, ipd, 0, single, 0, 7.292e-06
amis350ubapfb, ibacs6c3, bc, 1.32, 85, ipu, 3, single, 0, -1.025e-05
amis350ubapfb, ibacs6c3, bc, 1.32, 85, ibkpu, 2, single, 0, -8.132e-06
amis350ubapfb, ibacs6c3, bc, 1.32, 85, ibkpd, 2, single, 0, 5.659e-06
amis350ubapfb, ibacs6xx, bc, 1.32, 85, vhys, no_mode, low, 0, 0.402
amis350ubapfb, ibacs6xx, bc, 1.32, 85, vhys, no_mode, high, 0, 0.407
amis350ubapfb, ibacs6xx, bc, 1.32, 85, vih, S, low, 0, 0.793
amis350ubapfb, ibacs6xx, bc, 1.32, 85, vih, S, high, 0, 0.920
amis350ubapfb, ibacs6xx, bc, 1.32, 85, vil, S, low, 0, 0.386
amis350ubapfb, ibacs6xx, bc, 1.32, 85, vil, S, high, 0, 0.514
amis350ubapfb, ibacs6xx, bc, 1.32, 85, iih, no_mode, low, 0, -1.549e-08
amis350ubapfb, ibacs6xx, bc, 1.32, 85, iih, no_mode, high, 0, -6.7e-10
