LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
amis350ubaptb, ibacs6c3_mt, bc, 3.63, 150, vhys, no_mode, low, 0, 0.965
amis350ubaptb, ibacs6c3_mt, bc, 3.63, 150, vhys, no_mode, high, 0, 1.103
amis350ubaptb, ibacs6c3_mt, bc, 3.63, 150, vih, S, low, 0, 2.285
amis350ubaptb, ibacs6c3_mt, bc, 3.63, 150, vih, S, high, 0, 2.442
amis350ubaptb, ibacs6c3_mt, bc, 3.63, 150, vil, S, low, 0, 1.244
amis350ubaptb, ibacs6c3_mt, bc, 3.63, 150, vil, S, high, 0, 1.432
amis350ubaptb, ibacs6c3_mt, bc, 3.63, 150, iih, no_mode, low, 0, -9.58e-07
amis350ubaptb, ibacs6c3_mt, bc, 3.63, 150, iih, no_mode, high, 0, -4.55e-07
amis350ubaptb, ibacs6c3_mt, bc, 3.63, 150, iil, no_mode, low, 0, 1.591e-09
amis350ubaptb, ibacs6c3_mt, bc, 3.63, 150, iil, no_mode, high, 0, 3.043e-08
amis350ubaptb, ibacs6c3_mt, bc, 3.63, 150, ipd, 0, single, 0, 6.71e-05
amis350ubaptb, ibacs6c3_mt, bc, 3.63, 150, ipu, 3, single, 0, -9.369e-05
amis350ubaptb, ibacs6c3_mt, bc, 3.63, 150, ibkpu, 2, single, 0, -6.209e-05
amis350ubaptb, ibacs6c3_mt, bc, 3.63, 150, ibkpd, 2, single, 0, 4.221e-05
amis350ubaptb, ibacs6xx_mt, bc, 3.63, 150, vhys, no_mode, low, 0, 0.965
amis350ubaptb, ibacs6xx_mt, bc, 3.63, 150, vhys, no_mode, high, 0, 1.103
amis350ubaptb, ibacs6xx_mt, bc, 3.63, 150, vih, S, low, 0, 2.285
amis350ubaptb, ibacs6xx_mt, bc, 3.63, 150, vih, S, high, 0, 2.442
amis350ubaptb, ibacs6xx_mt, bc, 3.63, 150, vil, S, low, 0, 1.244
amis350ubaptb, ibacs6xx_mt, bc, 3.63, 150, vil, S, high, 0, 1.432
