LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
amis350ucapfb, ibacs6c3, bc, 2.75, 150, vhys, no_mode, low, 0, 0.773
amis350ucapfb, ibacs6c3, bc, 2.75, 150, vhys, no_mode, high, 0, 0.891
amis350ucapfb, ibacs6c3, bc, 2.75, 150, vih, S, low, 0, 1.694
amis350ucapfb, ibacs6c3, bc, 2.75, 150, vih, S, high, 0, 1.920
amis350ucapfb, ibacs6c3, bc, 2.75, 150, vil, S, low, 0, 0.832
amis350ucapfb, ibacs6c3, bc, 2.75, 150, vil, S, high, 0, 1.110
amis350ucapfb, ibacs6c3, bc, 2.75, 150, iih, no_mode, low, 0, -6.56e-07
amis350ucapfb, ibacs6c3, bc, 2.75, 150, iih, no_mode, high, 0, -2.81e-07
amis350ucapfb, ibacs6c3, bc, 2.75, 150, iil, no_mode, low, 0, 3.363e-11
amis350ucapfb, ibacs6c3, bc, 2.75, 150, iil, no_mode, high, 0, 2.085e-09
amis350ucapfb, ibacs6c3, bc, 2.75, 150, ipd, 0, single, 0, 4.117e-05
amis350ucapfb, ibacs6c3, bc, 2.75, 150, ipu, 3, single, 0, -5.93e-05
amis350ucapfb, ibacs6c3, bc, 2.75, 150, ibkpu, 2, single, 0, -3.761e-05
amis350ucapfb, ibacs6c3, bc, 2.75, 150, ibkpd, 2, single, 0, 2.599e-05
amis350ucapfb, ibacs6xx, bc, 2.75, 150, vhys, no_mode, low, 0, 0.773
amis350ucapfb, ibacs6xx, bc, 2.75, 150, vhys, no_mode, high, 0, 0.891
amis350ucapfb, ibacs6xx, bc, 2.75, 150, vih, S, low, 0, 1.694
amis350ucapfb, ibacs6xx, bc, 2.75, 150, vih, S, high, 0, 1.920
amis350ucapfb, ibacs6xx, bc, 2.75, 150, vil, S, low, 0, 0.832
amis350ucapfb, ibacs6xx, bc, 2.75, 150, vil, S, high, 0, 1.110
amis350ucapfb, ibacs6xx, bc, 2.75, 150, iih, no_mode, low, 0, -6.42e-07
amis350ucapfb, ibacs6xx, bc, 2.75, 150, iih, no_mode, high, 0, -2.81e-07
amis350ucapfb, ibacs6xx, bc, 2.75, 150, iil, no_mode, low, 0, 2.657e-11
amis350ucapfb, ibacs6xx, bc, 2.75, 150, iil, no_mode, high, 0, 1.306e-09
amis350ucapfb, ibacstxx, bc, 2.75, 150, vhys, no_mode, low, 0, 0.828
amis350ucapfb, ibacstxx, bc, 2.75, 150, vhys, no_mode, high, 0, 1.127
amis350ucapfb, ibacstxx, bc, 2.75, 150, vih, S, low, 0, 1.627
amis350ucapfb, ibacstxx, bc, 2.75, 150, vih, S, high, 0, 2.021
amis350ucapfb, ibacstxx, bc, 2.75, 150, vil, S, low, 0, 0.628
amis350ucapfb, ibacstxx, bc, 2.75, 150, vil, S, high, 0, 1.072
amis350ucapfb, ibacstxx, bc, 2.75, 150, iih, no_mode, low, 0, -1.775e-06
amis350ucapfb, ibacstxx, bc, 2.75, 150, iih, no_mode, high, 0, -8.4e-07
amis350ucapfb, ibacstxx, bc, 2.75, 150, iil, no_mode, low, 0, 1.71e-07
amis350ucapfb, ibacstxx, bc, 2.75, 150, iil, no_mode, high, 0, 2.68e-07
amis350ucapfb, ibacx6c3, bc, 2.75, 150, vih, no_mode, low, 0, 1.141
amis350ucapfb, ibacx6c3, bc, 2.75, 150, vih, no_mode, high, 0, 1.616
amis350ucapfb, ibacx6c3, bc, 2.75, 150, vil, no_mode, low, 0, 1.141
amis350ucapfb, ibacx6c3, bc, 2.75, 150, vil, no_mode, high, 0, 1.616
amis350ucapfb, ibacx6c3, bc, 2.75, 150, iih, no_mode, low, 0, -6.56e-07
amis350ucapfb, ibacx6c3, bc, 2.75, 150, iih, no_mode, high, 0, -2.81e-07
amis350ucapfb, ibacx6c3, bc, 2.75, 150, iil, no_mode, low, 0, 3.363e-11
amis350ucapfb, ibacx6c3, bc, 2.75, 150, iil, no_mode, high, 0, 2.085e-09
amis350ucapfb, ibacx6c3, bc, 2.75, 150, ipd, 0, single, 0, 4.117e-05
amis350ucapfb, ibacx6c3, bc, 2.75, 150, ipu, 3, single, 0, -5.93e-05
amis350ucapfb, ibacx6c3, bc, 2.75, 150, ibkpu, 2, single, 0, -3.761e-05
amis350ucapfb, ibacx6c3, bc, 2.75, 150, ibkpd, 2, single, 0, 2.599e-05
amis350ucapfb, ibacx6xx, bc, 2.75, 150, vih, no_mode, low, 0, 1.141
amis350ucapfb, ibacx6xx, bc, 2.75, 150, vih, no_mode, high, 0, 1.616
amis350ucapfb, ibacx6xx, bc, 2.75, 150, vil, no_mode, low, 0, 1.141
amis350ucapfb, ibacx6xx, bc, 2.75, 150, vil, no_mode, high, 0, 1.616
amis350ucapfb, ibacx6xx, bc, 2.75, 150, iih, no_mode, low, 0, -6.42e-07
amis350ucapfb, ibacx6xx, bc, 2.75, 150, iih, no_mode, high, 0, -2.81e-07
amis350ucapfb, ibacx6xx, bc, 2.75, 150, iil, no_mode, low, 0, 2.657e-11
amis350ucapfb, ibacx6xx, bc, 2.75, 150, iil, no_mode, high, 0, 1.306e-09
amis350ucapfb, ibacxtpt, bc, 2.75, 150, vih, no_mode, low, 0, 1.127
amis350ucapfb, ibacxtpt, bc, 2.75, 150, vih, no_mode, high, 0, 1.599
amis350ucapfb, ibacxtpt, bc, 2.75, 150, vil, no_mode, low, 0, 1.127
amis350ucapfb, ibacxtpt, bc, 2.75, 150, vil, no_mode, high, 0, 1.599
amis350ucapfb, ibacxtpt, bc, 2.75, 150, iih, no_mode, low, 0, -1.799e-06
amis350ucapfb, ibacxtpt, bc, 2.75, 150, iih, no_mode, high, 0, -8.4e-07
amis350ucapfb, ibacxtpt, bc, 2.75, 150, iil, no_mode, low, 0, 1.71e-07
amis350ucapfb, ibacxtpt, bc, 2.75, 150, iil, no_mode, high, 0, 2.7e-07
amis350ucapfb, ibacxtpt, bc, 2.75, 150, ipd, 0, single, 0, 3.868e-05
amis350ucapfb, ibacxtpt, bc, 2.75, 150, ipu, 3, single, 0, -5.523e-05
amis350ucapfb, ioacs6c3csxe02, bc, 2.75, 150, vhys, no_mode, low, 0, 0.773
amis350ucapfb, ioacs6c3csxe02, bc, 2.75, 150, vhys, no_mode, high, 0, 0.891
amis350ucapfb, ioacs6c3csxe02, bc, 2.75, 150, vih, S, low, 0, 1.694
amis350ucapfb, ioacs6c3csxe02, bc, 2.75, 150, vih, S, high, 0, 1.920
amis350ucapfb, ioacs6c3csxe02, bc, 2.75, 150, vil, S, low, 0, 0.832
amis350ucapfb, ioacs6c3csxe02, bc, 2.75, 150, vil, S, high, 0, 1.110
amis350ucapfb, ioacs6c3csxe02, bc, 2.75, 150, iih, no_mode, low, 0, -8.64e-07
amis350ucapfb, ioacs6c3csxe02, bc, 2.75, 150, iih, no_mode, high, 0, -3.96e-07
amis350ucapfb, ioacs6c3csxe02, bc, 2.75, 150, iil, no_mode, low, 0, 2.79e-07
amis350ucapfb, ioacs6c3csxe02, bc, 2.75, 150, iil, no_mode, high, 0, 3.11e-07
amis350ucapfb, ioacs6c3csxe02, bc, 2.75, 150, ipd, 0, single, 0, 4.138e-05
amis350ucapfb, ioacs6c3csxe02, bc, 2.75, 150, ipu, 3, single, 0, -5.961e-05
amis350ucapfb, ioacs6c3csxe02, bc, 2.75, 150, ibkpu, 2, single, 0, -3.77e-05
amis350ucapfb, ioacs6c3csxe02, bc, 2.75, 150, ibkpd, 2, single, 0, 2.589e-05
amis350ucapfb, ioacs6c3csxe02, bc, 2.75, 150, ioh, no_mode, single, 2, -0.00284
amis350ucapfb, ioacs6c3csxe02, bc, 2.75, 150, iol, no_mode, single, 2, 0.003607
amis350ucapfb, ioacs6c3csxe04, bc, 2.75, 150, vhys, no_mode, low, 0, 0.773
amis350ucapfb, ioacs6c3csxe04, bc, 2.75, 150, vhys, no_mode, high, 0, 0.891
amis350ucapfb, ioacs6c3csxe04, bc, 2.75, 150, vih, S, low, 0, 1.694
amis350ucapfb, ioacs6c3csxe04, bc, 2.75, 150, vih, S, high, 0, 1.920
amis350ucapfb, ioacs6c3csxe04, bc, 2.75, 150, vil, S, low, 0, 0.832
amis350ucapfb, ioacs6c3csxe04, bc, 2.75, 150, vil, S, high, 0, 1.110
amis350ucapfb, ioacs6c3csxe04, bc, 2.75, 150, iih, no_mode, low, 0, -8.64e-07
amis350ucapfb, ioacs6c3csxe04, bc, 2.75, 150, iih, no_mode, high, 0, -3.96e-07
amis350ucapfb, ioacs6c3csxe04, bc, 2.75, 150, iil, no_mode, low, 0, 2.79e-07
amis350ucapfb, ioacs6c3csxe04, bc, 2.75, 150, iil, no_mode, high, 0, 3.11e-07
amis350ucapfb, ioacs6c3csxe04, bc, 2.75, 150, ipd, 0, single, 0, 4.138e-05
amis350ucapfb, ioacs6c3csxe04, bc, 2.75, 150, ipu, 3, single, 0, -5.961e-05
amis350ucapfb, ioacs6c3csxe04, bc, 2.75, 150, ibkpu, 2, single, 0, -3.77e-05
amis350ucapfb, ioacs6c3csxe04, bc, 2.75, 150, ibkpd, 2, single, 0, 2.589e-05
amis350ucapfb, ioacs6c3csxe04, bc, 2.75, 150, ioh, no_mode, single, 4, -0.005678
amis350ucapfb, ioacs6c3csxe04, bc, 2.75, 150, iol, no_mode, single, 4, 0.00721
amis350ucapfb, ioacs6c3csxe08, bc, 2.75, 150, vhys, no_mode, low, 0, 0.773
amis350ucapfb, ioacs6c3csxe08, bc, 2.75, 150, vhys, no_mode, high, 0, 0.891
amis350ucapfb, ioacs6c3csxe08, bc, 2.75, 150, vih, S, low, 0, 1.694
amis350ucapfb, ioacs6c3csxe08, bc, 2.75, 150, vih, S, high, 0, 1.920
amis350ucapfb, ioacs6c3csxe08, bc, 2.75, 150, vil, S, low, 0, 0.832
amis350ucapfb, ioacs6c3csxe08, bc, 2.75, 150, vil, S, high, 0, 1.110
amis350ucapfb, ioacs6c3csxe08, bc, 2.75, 150, iih, no_mode, low, 0, -8.64e-07
amis350ucapfb, ioacs6c3csxe08, bc, 2.75, 150, iih, no_mode, high, 0, -3.96e-07
amis350ucapfb, ioacs6c3csxe08, bc, 2.75, 150, iil, no_mode, low, 0, 2.78e-07
amis350ucapfb, ioacs6c3csxe08, bc, 2.75, 150, iil, no_mode, high, 0, 3.11e-07
