LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
amis500cxaprz, obaxxcxtn02, bc, 3.63, 100, iih, no_mode, low, 0, -1.326e-08
amis500cxaprz, obaxxcxtn02, bc, 3.63, 100, iih, no_mode, high, 0, -1.175e-09
amis500cxaprz, obaxxcxtn02, bc, 3.63, 100, iil, no_mode, low, 0, 0
amis500cxaprz, obaxxcxtn02, bc, 3.63, 100, iil, no_mode, high, 0, 0
amis500cxaprz, obaxxcxtn02, bc, 3.63, 100, iol, no_mode, single, 2, 0.00784
amis500cxaprz, obaxxcxtn02, wc, 2.97, -55, iih, no_mode, low, 0, -7.7e-11
amis500cxaprz, obaxxcxtn02, wc, 2.97, -55, iih, no_mode, high, 0, -7.7e-11
amis500cxaprz, obaxxcxtn02, wc, 2.97, -55, iil, no_mode, low, 0, 0
amis500cxaprz, obaxxcxtn02, wc, 2.97, -55, iil, no_mode, high, 0, 0
amis500cxaprz, obaxxcxtn02, wc, 2.97, -55, iol, no_mode, single, 2, 0.008701
amis500cxaprz, obaxxcxtn02, bc, 3.63, -55, iih, no_mode, low, 0, -7.7e-11
amis500cxaprz, obaxxcxtn02, bc, 3.63, -55, iih, no_mode, high, 0, -7.7e-11
amis500cxaprz, obaxxcxtn02, bc, 3.63, -55, iil, no_mode, low, 0, 0
amis500cxaprz, obaxxcxtn02, bc, 3.63, -55, iil, no_mode, high, 0, 0
amis500cxaprz, obaxxcxtn02, bc, 3.63, -55, iol, no_mode, single, 2, 0.01244
amis500cxaprz, obaxxcxtn02, tc, 3.3, 25, iih, no_mode, low, 0, -1.26e-10
amis500cxaprz, obaxxcxtn02, tc, 3.3, 25, iih, no_mode, high, 0, -7.96e-11
amis500cxaprz, obaxxcxtn02, tc, 3.3, 25, iil, no_mode, low, 0, 0
amis500cxaprz, obaxxcxtn02, tc, 3.3, 25, iil, no_mode, high, 0, 0
amis500cxaprz, obaxxcxtn02, tc, 3.3, 25, iol, no_mode, single, 2, 0.008045
amis500cxaprz, obaxxcxtn02, wc, 2.97, 100, iih, no_mode, low, 0, -1.326e-08
amis500cxaprz, obaxxcxtn02, wc, 2.97, 100, iih, no_mode, high, 0, -1.175e-09
amis500cxaprz, obaxxcxtn02, wc, 2.97, 100, iil, no_mode, low, 0, 0
amis500cxaprz, obaxxcxtn02, wc, 2.97, 100, iil, no_mode, high, 0, 0
amis500cxaprz, obaxxcxtn02, wc, 2.97, 100, iol, no_mode, single, 2, 0.005199
