LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
amis500cxopcm, ibacs6p3_cm, bc, 2.75, 150, vhys, no_mode, low, 0, 0.864
amis500cxopcm, ibacs6p3_cm, bc, 2.75, 150, vhys, no_mode, high, 0, 0.908
amis500cxopcm, ibacs6p3_cm, bc, 2.75, 150, vih, S, low, 0, 1.824
amis500cxopcm, ibacs6p3_cm, bc, 2.75, 150, vih, S, high, 0, 1.884
amis500cxopcm, ibacs6p3_cm, bc, 2.75, 150, vil, S, low, 0, 0.926
amis500cxopcm, ibacs6p3_cm, bc, 2.75, 150, vil, S, high, 0, 1.003
amis500cxopcm, ibacs6p3_cm, bc, 2.75, 150, iih, no_mode, low, 0, -9.344e-09
amis500cxopcm, ibacs6p3_cm, bc, 2.75, 150, iih, no_mode, high, 0, -2.515e-09
amis500cxopcm, ibacs6p3_cm, bc, 2.75, 150, iil, no_mode, low, 0, 2.599e-11
amis500cxopcm, ibacs6p3_cm, bc, 2.75, 150, iil, no_mode, high, 0, 2.602e-11
amis500cxopcm, ibacs6p3_cm, bc, 2.75, 150, ipd, 0, single, 0, 1.27e-05
amis500cxopcm, ibacs6p3_cm, bc, 2.75, 150, ipu, 3, single, 0, -1.708e-05
amis500cxopcm, ibacs6xx_cm, bc, 2.75, 150, vhys, no_mode, low, 0, 0.864
amis500cxopcm, ibacs6xx_cm, bc, 2.75, 150, vhys, no_mode, high, 0, 0.908
amis500cxopcm, ibacs6xx_cm, bc, 2.75, 150, vih, S, low, 0, 1.824
amis500cxopcm, ibacs6xx_cm, bc, 2.75, 150, vih, S, high, 0, 1.884
amis500cxopcm, ibacs6xx_cm, bc, 2.75, 150, vil, S, low, 0, 0.926
amis500cxopcm, ibacs6xx_cm, bc, 2.75, 150, vil, S, high, 0, 1.003
amis500cxopcm, ibacs6xx_cm, bc, 2.75, 150, iih, no_mode, low, 0, -9.339e-09
amis500cxopcm, ibacs6xx_cm, bc, 2.75, 150, iih, no_mode, high, 0, -2.51e-09
amis500cxopcm, ibacs6xx_cm, bc, 2.75, 150, iil, no_mode, low, 0, 0
amis500cxopcm, ibacs6xx_cm, bc, 2.75, 150, iil, no_mode, high, 0, 0
amis500cxopcm, ibacx6p3_cm, bc, 2.75, 150, vih, no_mode, low, 0, 1.306
amis500cxopcm, ibacx6p3_cm, bc, 2.75, 150, vih, no_mode, high, 0, 1.443
amis500cxopcm, ibacx6p3_cm, bc, 2.75, 150, vil, no_mode, low, 0, 1.306
amis500cxopcm, ibacx6p3_cm, bc, 2.75, 150, vil, no_mode, high, 0, 1.443
amis500cxopcm, ibacx6p3_cm, bc, 2.75, 150, iih, no_mode, low, 0, -9.344e-09
amis500cxopcm, ibacx6p3_cm, bc, 2.75, 150, iih, no_mode, high, 0, -2.515e-09
amis500cxopcm, ibacx6p3_cm, bc, 2.75, 150, iil, no_mode, low, 0, 2.599e-11
amis500cxopcm, ibacx6p3_cm, bc, 2.75, 150, iil, no_mode, high, 0, 2.602e-11
amis500cxopcm, ibacx6p3_cm, bc, 2.75, 150, ipd, 0, single, 0, 1.27e-05
amis500cxopcm, ibacx6p3_cm, bc, 2.75, 150, ipu, 3, single, 0, -1.708e-05
amis500cxopcm, ibacx6xx_cm, bc, 2.75, 150, vih, no_mode, low, 0, 1.306
amis500cxopcm, ibacx6xx_cm, bc, 2.75, 150, vih, no_mode, high, 0, 1.443
amis500cxopcm, ibacx6xx_cm, bc, 2.75, 150, vil, no_mode, low, 0, 1.306
amis500cxopcm, ibacx6xx_cm, bc, 2.75, 150, vil, no_mode, high, 0, 1.443
amis500cxopcm, ibacx6xx_cm, bc, 2.75, 150, iih, no_mode, low, 0, -9.339e-09
amis500cxopcm, ibacx6xx_cm, bc, 2.75, 150, iih, no_mode, high, 0, -2.51e-09
amis500cxopcm, ibacx6xx_cm, bc, 2.75, 150, iil, no_mode, low, 0, 0
amis500cxopcm, ibacx6xx_cm, bc, 2.75, 150, iil, no_mode, high, 0, 0
amis500cxopcm, ioacs6p3csxe02_cm, bc, 2.75, 150, vhys, no_mode, low, 0, 0.864
amis500cxopcm, ioacs6p3csxe02_cm, bc, 2.75, 150, vhys, no_mode, high, 0, 0.908
amis500cxopcm, ioacs6p3csxe02_cm, bc, 2.75, 150, vih, S, low, 0, 1.824
