LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
amis500cxoprx, ibacr0xx, bc, 3.63, 150, iih, no_mode, low, 0, -6.442e-08
amis500cxoprx, ibacr0xx, bc, 3.63, 150, iih, no_mode, high, 0, -9.042e-09
amis500cxoprx, ibacr0xx, bc, 3.63, 150, iil, no_mode, low, 0, 7.067e-09
amis500cxoprx, ibacr0xx, bc, 3.63, 150, iil, no_mode, high, 0, 8.982e-09
amis500cxoprx, ibacs3p3, bc, 3.63, 150, vhys, no_mode, low, 0, 1.024
amis500cxoprx, ibacs3p3, bc, 3.63, 150, vhys, no_mode, high, 0, 1.092
amis500cxoprx, ibacs3p3, bc, 3.63, 150, vih, S, low, 0, 2.459
amis500cxoprx, ibacs3p3, bc, 3.63, 150, vih, S, high, 0, 2.523
amis500cxoprx, ibacs3p3, bc, 3.63, 150, vil, S, low, 0, 1.380
amis500cxoprx, ibacs3p3, bc, 3.63, 150, vil, S, high, 0, 1.483
amis500cxoprx, ibacs3p3, bc, 3.63, 150, iih, no_mode, low, 0, -6.484e-08
amis500cxoprx, ibacs3p3, bc, 3.63, 150, iih, no_mode, high, 0, -9.393e-09
amis500cxoprx, ibacs3p3, bc, 3.63, 150, iil, no_mode, low, 0, 7.125e-09
amis500cxoprx, ibacs3p3, bc, 3.63, 150, iil, no_mode, high, 0, 9.041e-09
amis500cxoprx, ibacs3p3, bc, 3.63, 150, ipd, 0, single, 0, 1.848e-05
amis500cxoprx, ibacs3p3, bc, 3.63, 150, ipu, 3, single, 0, -2.55e-05
amis500cxoprx, ibacs3u5, bc, 3.63, 150, vhys, no_mode, low, 0, 1.024
amis500cxoprx, ibacs3u5, bc, 3.63, 150, vhys, no_mode, high, 0, 1.092
amis500cxoprx, ibacs3u5, bc, 3.63, 150, vih, S, low, 0, 2.459
amis500cxoprx, ibacs3u5, bc, 3.63, 150, vih, S, high, 0, 2.523
amis500cxoprx, ibacs3u5, bc, 3.63, 150, vil, S, low, 0, 1.380
amis500cxoprx, ibacs3u5, bc, 3.63, 150, vil, S, high, 0, 1.483
amis500cxoprx, ibacs3u5, bc, 3.63, 150, iih, no_mode, low, 0, -6.483e-08
amis500cxoprx, ibacs3u5, bc, 3.63, 150, iih, no_mode, high, 0, -9.385e-09
amis500cxoprx, ibacs3u5, bc, 3.63, 150, ipu, no_mode, single, 0, -4.214e-05
amis500cxoprx, ibacs3xx, bc, 3.63, 150, vhys, no_mode, low, 0, 1.024
amis500cxoprx, ibacs3xx, bc, 3.63, 150, vhys, no_mode, high, 0, 1.092
amis500cxoprx, ibacs3xx, bc, 3.63, 150, vih, S, low, 0, 2.459
amis500cxoprx, ibacs3xx, bc, 3.63, 150, vih, S, high, 0, 2.523
amis500cxoprx, ibacs3xx, bc, 3.63, 150, vil, S, low, 0, 1.380
amis500cxoprx, ibacs3xx, bc, 3.63, 150, vil, S, high, 0, 1.483
amis500cxoprx, ibacs3xx, bc, 3.63, 150, iih, no_mode, low, 0, -6.442e-08
amis500cxoprx, ibacs3xx, bc, 3.63, 150, iih, no_mode, high, 0, -9.042e-09
amis500cxoprx, ibacs3xx, bc, 3.63, 150, iil, no_mode, low, 0, 7.067e-09
amis500cxoprx, ibacs3xx, bc, 3.63, 150, iil, no_mode, high, 0, 8.982e-09
amis500cxoprx, ibacx3p3, bc, 3.63, 150, vih, no_mode, low, 0, 1.848
amis500cxoprx, ibacx3p3, bc, 3.63, 150, vih, no_mode, high, 0, 2.009
amis500cxoprx, ibacx3p3, bc, 3.63, 150, vil, no_mode, low, 0, 1.848
amis500cxoprx, ibacx3p3, bc, 3.63, 150, vil, no_mode, high, 0, 2.009
amis500cxoprx, ibacx3p3, bc, 3.63, 150, iih, no_mode, low, 0, -6.484e-08
amis500cxoprx, ibacx3p3, bc, 3.63, 150, iih, no_mode, high, 0, -9.393e-09
amis500cxoprx, ibacx3p3, bc, 3.63, 150, iil, no_mode, low, 0, 7.125e-09
amis500cxoprx, ibacx3p3, bc, 3.63, 150, iil, no_mode, high, 0, 9.041e-09
amis500cxoprx, ibacx3p3, bc, 3.63, 150, ipd, 0, single, 0, 1.848e-05
amis500cxoprx, ibacx3p3, bc, 3.63, 150, ipu, 3, single, 0, -2.55e-05
amis500cxoprx, ibacx3u5, bc, 3.63, 150, vih, no_mode, low, 0, 1.848
amis500cxoprx, ibacx3u5, bc, 3.63, 150, vih, no_mode, high, 0, 2.009
amis500cxoprx, ibacx3u5, bc, 3.63, 150, vil, no_mode, low, 0, 1.848
amis500cxoprx, ibacx3u5, bc, 3.63, 150, vil, no_mode, high, 0, 2.009
amis500cxoprx, ibacx3u5, bc, 3.63, 150, iih, no_mode, low, 0, -6.483e-08
amis500cxoprx, ibacx3u5, bc, 3.63, 150, iih, no_mode, high, 0, -9.385e-09
amis500cxoprx, ibacx3u5, bc, 3.63, 150, ipu, no_mode, single, 0, -4.214e-05
amis500cxoprx, ibacx3xx, bc, 3.63, 150, vih, no_mode, low, 0, 1.848
amis500cxoprx, ibacx3xx, bc, 3.63, 150, vih, no_mode, high, 0, 2.009
amis500cxoprx, ibacx3xx, bc, 3.63, 150, vil, no_mode, low, 0, 1.848
amis500cxoprx, ibacx3xx, bc, 3.63, 150, vil, no_mode, high, 0, 2.009
amis500cxoprx, ibacx3xx, bc, 3.63, 150, iih, no_mode, low, 0, -6.442e-08
amis500cxoprx, ibacx3xx, bc, 3.63, 150, iih, no_mode, high, 0, -9.042e-09
amis500cxoprx, ibacx3xx, bc, 3.63, 150, iil, no_mode, low, 0, 7.067e-09
amis500cxoprx, ibacx3xx, bc, 3.63, 150, iil, no_mode, high, 0, 8.982e-09
amis500cxoprx, ibacx6p3, bc, 3.63, 150, vih, no_mode, low, 0, 1.849
amis500cxoprx, ibacx6p3, bc, 3.63, 150, vih, no_mode, high, 0, 2.010
amis500cxoprx, ibacx6p3, bc, 3.63, 150, vil, no_mode, low, 0, 1.849
amis500cxoprx, ibacx6p3, bc, 3.63, 150, vil, no_mode, high, 0, 2.010
amis500cxoprx, ibacx6p3, bc, 3.63, 150, iih, no_mode, low, 0, -6.484e-08
amis500cxoprx, ibacx6p3, bc, 3.63, 150, iih, no_mode, high, 0, -9.393e-09
amis500cxoprx, ibacx6p3, bc, 3.63, 150, iil, no_mode, low, 0, 7.125e-09
amis500cxoprx, ibacx6p3, bc, 3.63, 150, iil, no_mode, high, 0, 9.041e-09
amis500cxoprx, ibacx6p3, bc, 3.63, 150, ipd, 0, single, 0, 1.848e-05
amis500cxoprx, ibacx6p3, bc, 3.63, 150, ipu, 3, single, 0, -2.55e-05
amis500cxoprx, ibacx6u5, bc, 3.63, 150, vih, no_mode, low, 0, 1.849
amis500cxoprx, ibacx6u5, bc, 3.63, 150, vih, no_mode, high, 0, 2.010
amis500cxoprx, ibacx6u5, bc, 3.63, 150, vil, no_mode, low, 0, 1.849
amis500cxoprx, ibacx6u5, bc, 3.63, 150, vil, no_mode, high, 0, 2.010
amis500cxoprx, ibacx6u5, bc, 3.63, 150, iih, no_mode, low, 0, -6.483e-08
amis500cxoprx, ibacx6u5, bc, 3.63, 150, iih, no_mode, high, 0, -9.385e-09
amis500cxoprx, ibacx6u5, bc, 3.63, 150, ipu, no_mode, single, 0, -4.214e-05
amis500cxoprx, ibacx6xx, bc, 3.63, 150, vih, no_mode, low, 0, 1.849
amis500cxoprx, ibacx6xx, bc, 3.63, 150, vih, no_mode, high, 0, 2.010
amis500cxoprx, ibacx6xx, bc, 3.63, 150, vil, no_mode, low, 0, 1.849
amis500cxoprx, ibacx6xx, bc, 3.63, 150, vil, no_mode, high, 0, 2.010
amis500cxoprx, ibacx6xx, bc, 3.63, 150, iih, no_mode, low, 0, -6.442e-08
amis500cxoprx, ibacx6xx, bc, 3.63, 150, iih, no_mode, high, 0, -9.042e-09
amis500cxoprx, ibacx6xx, bc, 3.63, 150, iil, no_mode, low, 0, 7.067e-09
amis500cxoprx, ibacx6xx, bc, 3.63, 150, iil, no_mode, high, 0, 8.982e-09
amis500cxoprx, ibaqc3xx, bc, 3.63, 150, vih, no_mode, low, 0, 1.848
amis500cxoprx, ibaqc3xx, bc, 3.63, 150, vih, no_mode, high, 0, 2.009
amis500cxoprx, ibaqc3xx, bc, 3.63, 150, vil, no_mode, low, 0, 1.848
amis500cxoprx, ibaqc3xx, bc, 3.63, 150, vil, no_mode, high, 0, 2.009
amis500cxoprx, ibaqc3xx, bc, 3.63, 150, iih, no_mode, low, 0, -6.442e-08
amis500cxoprx, ibaqc3xx, bc, 3.63, 150, iih, no_mode, high, 0, -9.042e-09
amis500cxoprx, ibaqc3xx, bc, 3.63, 150, iil, no_mode, low, 0, 7.067e-09
amis500cxoprx, ibaqc3xx, bc, 3.63, 150, iil, no_mode, high, 0, 8.982e-09
amis500cxoprx, ibaqs3xx, bc, 3.63, 150, vhys, no_mode, low, 0, 1.024
amis500cxoprx, ibaqs3xx, bc, 3.63, 150, vhys, no_mode, high, 0, 1.092
amis500cxoprx, ibaqs3xx, bc, 3.63, 150, vih, S, low, 0, 2.459
amis500cxoprx, ibaqs3xx, bc, 3.63, 150, vih, S, high, 0, 2.523
amis500cxoprx, ibaqs3xx, bc, 3.63, 150, vil, S, low, 0, 1.380
amis500cxoprx, ibaqs3xx, bc, 3.63, 150, vil, S, high, 0, 1.483
amis500cxoprx, ibaqs3xx, bc, 3.63, 150, iih, no_mode, low, 0, -6.442e-08
amis500cxoprx, ibaqs3xx, bc, 3.63, 150, iih, no_mode, high, 0, -9.042e-09
amis500cxoprx, ibaqs3xx, bc, 3.63, 150, iil, no_mode, low, 0, 7.067e-09
amis500cxoprx, ibaqs3xx, bc, 3.63, 150, iil, no_mode, high, 0, 8.982e-09
amis500cxoprx, ibavs3p3, bc, 3.63, 150, vhys, no_mode, low, 0, 0.565
amis500cxoprx, ibavs3p3, bc, 3.63, 150, vhys, no_mode, high, 0, 0.629
amis500cxoprx, ibavs3p3, bc, 3.63, 150, vih, S, low, 0, 1.739
amis500cxoprx, ibavs3p3, bc, 3.63, 150, vih, S, high, 0, 1.882
amis500cxoprx, ibavs3p3, bc, 3.63, 150, vil, S, low, 0, 1.152
amis500cxoprx, ibavs3p3, bc, 3.63, 150, vil, S, high, 0, 1.272
amis500cxoprx, ibavs3p3, bc, 3.63, 150, iih, no_mode, low, 0, -6.484e-08
amis500cxoprx, ibavs3p3, bc, 3.63, 150, iih, no_mode, high, 0, -9.393e-09
amis500cxoprx, ibavs3p3, bc, 3.63, 150, iil, no_mode, low, 0, 7.125e-09
amis500cxoprx, ibavs3p3, bc, 3.63, 150, iil, no_mode, high, 0, 9.041e-09
amis500cxoprx, ibavs3p3, bc, 3.63, 150, ipd, 0, single, 0, 1.848e-05
amis500cxoprx, ibavs3p3, bc, 3.63, 150, ipu, 3, single, 0, -2.55e-05
amis500cxoprx, ibavs3u5, bc, 3.63, 150, vhys, no_mode, low, 0, 0.565
amis500cxoprx, ibavs3u5, bc, 3.63, 150, vhys, no_mode, high, 0, 0.629
amis500cxoprx, ibavs3u5, bc, 3.63, 150, vih, S, low, 0, 1.739
amis500cxoprx, ibavs3u5, bc, 3.63, 150, vih, S, high, 0, 1.882
amis500cxoprx, ibavs3u5, bc, 3.63, 150, vil, S, low, 0, 1.152
amis500cxoprx, ibavs3u5, bc, 3.63, 150, vil, S, high, 0, 1.272
amis500cxoprx, ibavs3u5, bc, 3.63, 150, iih, no_mode, low, 0, -6.483e-08
amis500cxoprx, ibavs3u5, bc, 3.63, 150, iih, no_mode, high, 0, -9.385e-09
amis500cxoprx, ibavs3u5, bc, 3.63, 150, ipu, no_mode, single, 0, -4.214e-05
amis500cxoprx, ibavs3xx, bc, 3.63, 150, vhys, no_mode, low, 0, 0.565
amis500cxoprx, ibavs3xx, bc, 3.63, 150, vhys, no_mode, high, 0, 0.629
amis500cxoprx, ibavs3xx, bc, 3.63, 150, vih, S, low, 0, 1.739
amis500cxoprx, ibavs3xx, bc, 3.63, 150, vih, S, high, 0, 1.882
amis500cxoprx, ibavs3xx, bc, 3.63, 150, vil, S, low, 0, 1.152
amis500cxoprx, ibavs3xx, bc, 3.63, 150, vil, S, high, 0, 1.272
amis500cxoprx, ibavs3xx, bc, 3.63, 150, iih, no_mode, low, 0, -6.442e-08
amis500cxoprx, ibavs3xx, bc, 3.63, 150, iih, no_mode, high, 0, -9.042e-09
amis500cxoprx, ibavs3xx, bc, 3.63, 150, iil, no_mode, low, 0, 7.067e-09
amis500cxoprx, ibavs3xx, bc, 3.63, 150, iil, no_mode, high, 0, 8.982e-09
amis500cxoprx, ibavx3p3, bc, 3.63, 150, vih, no_mode, low, 0, 1.522
amis500cxoprx, ibavx3p3, bc, 3.63, 150, vih, no_mode, high, 0, 1.688
amis500cxoprx, ibavx3p3, bc, 3.63, 150, vil, no_mode, low, 0, 1.522
amis500cxoprx, ibavx3p3, bc, 3.63, 150, vil, no_mode, high, 0, 1.688
amis500cxoprx, ibavx3p3, bc, 3.63, 150, iih, no_mode, low, 0, -6.484e-08
amis500cxoprx, ibavx3p3, bc, 3.63, 150, iih, no_mode, high, 0, -9.393e-09
amis500cxoprx, ibavx3p3, bc, 3.63, 150, iil, no_mode, low, 0, 7.125e-09
amis500cxoprx, ibavx3p3, bc, 3.63, 150, iil, no_mode, high, 0, 9.041e-09
amis500cxoprx, ibavx3p3, bc, 3.63, 150, ipd, 0, single, 0, 1.848e-05
amis500cxoprx, ibavx3p3, bc, 3.63, 150, ipu, 3, single, 0, -2.55e-05
amis500cxoprx, ibavx3u5, bc, 3.63, 150, vih, no_mode, low, 0, 1.522
amis500cxoprx, ibavx3u5, bc, 3.63, 150, vih, no_mode, high, 0, 1.688
amis500cxoprx, ibavx3u5, bc, 3.63, 150, vil, no_mode, low, 0, 1.522
amis500cxoprx, ibavx3u5, bc, 3.63, 150, vil, no_mode, high, 0, 1.688
amis500cxoprx, ibavx3u5, bc, 3.63, 150, iih, no_mode, low, 0, -6.483e-08
amis500cxoprx, ibavx3u5, bc, 3.63, 150, iih, no_mode, high, 0, -9.385e-09
amis500cxoprx, ibavx3u5, bc, 3.63, 150, ipu, no_mode, single, 0, -4.214e-05
amis500cxoprx, ibavx3xx, bc, 3.63, 150, vih, no_mode, low, 0, 1.522
amis500cxoprx, ibavx3xx, bc, 3.63, 150, vih, no_mode, high, 0, 1.688
amis500cxoprx, ibavx3xx, bc, 3.63, 150, vil, no_mode, low, 0, 1.522
amis500cxoprx, ibavx3xx, bc, 3.63, 150, vil, no_mode, high, 0, 1.688
amis500cxoprx, ibavx3xx, bc, 3.63, 150, iih, no_mode, low, 0, -6.442e-08
amis500cxoprx, ibavx3xx, bc, 3.63, 150, iih, no_mode, high, 0, -9.042e-09
amis500cxoprx, ibavx3xx, bc, 3.63, 150, iil, no_mode, low, 0, 7.067e-09
amis500cxoprx, ibavx3xx, bc, 3.63, 150, iil, no_mode, high, 0, 8.982e-09
amis500cxoprx, ibcbx6, bc, 3.63, 150, iih, no_mode, low, 0, -6.442e-08
amis500cxoprx, ibcbx6, bc, 3.63, 150, iih, no_mode, high, 0, -9.042e-09
amis500cxoprx, ibcbx6, bc, 3.63, 150, iil, no_mode, low, 0, 7.067e-09
amis500cxoprx, ibcbx6, bc, 3.63, 150, iil, no_mode, high, 0, 8.982e-09
amis500cxoprx, ibgtl, bc, 3.63, 150, iih, no_mode, low, 0, -6.442e-08
amis500cxoprx, ibgtl, bc, 3.63, 150, iih, no_mode, high, 0, -9.042e-09
amis500cxoprx, ibgtl, bc, 3.63, 150, iil, no_mode, low, 0, 7.067e-09
amis500cxoprx, ibgtl, bc, 3.63, 150, iil, no_mode, high, 0, 8.982e-09
amis500cxoprx, ioacs3p3chxe24, bc, 3.63, 150, vhys, no_mode, low, 0, 1.024
amis500cxoprx, ioacs3p3chxe24, bc, 3.63, 150, vhys, no_mode, high, 0, 1.092
amis500cxoprx, ioacs3p3chxe24, bc, 3.63, 150, vih, S, low, 0, 2.459
amis500cxoprx, ioacs3p3chxe24, bc, 3.63, 150, vih, S, high, 0, 2.523
amis500cxoprx, ioacs3p3chxe24, bc, 3.63, 150, vil, S, low, 0, 1.380
amis500cxoprx, ioacs3p3chxe24, bc, 3.63, 150, vil, S, high, 0, 1.483
amis500cxoprx, ioacs3p3chxe24, bc, 3.63, 150, iih, no_mode, low, 0, -6.484e-08
amis500cxoprx, ioacs3p3chxe24, bc, 3.63, 150, iih, no_mode, high, 0, -9.393e-09
amis500cxoprx, ioacs3p3chxe24, bc, 3.63, 150, iil, no_mode, low, 0, 7.125e-09
amis500cxoprx, ioacs3p3chxe24, bc, 3.63, 150, iil, no_mode, high, 0, 9.041e-09
amis500cxoprx, ioacs3p3chxe24, bc, 3.63, 150, ipd, 0, single, 0, 1.848e-05
amis500cxoprx, ioacs3p3chxe24, bc, 3.63, 150, ipu, 3, single, 0, -2.55e-05
amis500cxoprx, ioacs3p3chxe24, bc, 3.63, 150, ioh, no_mode, single, 24, -0.07195
amis500cxoprx, ioacs3p3chxe24, bc, 3.63, 150, iol, no_mode, single, 24, 0.04336
amis500cxoprx, ioacs3p3csxe04, bc, 3.63, 150, vhys, no_mode, low, 0, 1.024
amis500cxoprx, ioacs3p3csxe04, bc, 3.63, 150, vhys, no_mode, high, 0, 1.092
amis500cxoprx, ioacs3p3csxe04, bc, 3.63, 150, vih, S, low, 0, 2.459
amis500cxoprx, ioacs3p3csxe04, bc, 3.63, 150, vih, S, high, 0, 2.523
amis500cxoprx, ioacs3p3csxe04, bc, 3.63, 150, vil, S, low, 0, 1.380
amis500cxoprx, ioacs3p3csxe04, bc, 3.63, 150, vil, S, high, 0, 1.483
amis500cxoprx, ioacs3p3csxe04, bc, 3.63, 150, iih, no_mode, low, 0, -6.526e-08
amis500cxoprx, ioacs3p3csxe04, bc, 3.63, 150, iih, no_mode, high, 0, -9.735e-09
amis500cxoprx, ioacs3p3csxe04, bc, 3.63, 150, iil, no_mode, low, 0, 7.129e-09
amis500cxoprx, ioacs3p3csxe04, bc, 3.63, 150, iil, no_mode, high, 0, 9.044e-09
amis500cxoprx, ioacs3p3csxe04, bc, 3.63, 150, ipd, 0, single, 0, 1.848e-05
amis500cxoprx, ioacs3p3csxe04, bc, 3.63, 150, ipu, 3, single, 0, -2.55e-05
amis500cxoprx, ioacs3p3csxe04, bc, 3.63, 150, ioh, no_mode, single, 4, -0.01802
amis500cxoprx, ioacs3p3csxe04, bc, 3.63, 150, iol, no_mode, single, 4, 0.007228
amis500cxoprx, ioacs3p3csxe08, bc, 3.63, 150, vhys, no_mode, low, 0, 1.024
amis500cxoprx, ioacs3p3csxe08, bc, 3.63, 150, vhys, no_mode, high, 0, 1.092
amis500cxoprx, ioacs3p3csxe08, bc, 3.63, 150, vih, S, low, 0, 2.459
amis500cxoprx, ioacs3p3csxe08, bc, 3.63, 150, vih, S, high, 0, 2.523
amis500cxoprx, ioacs3p3csxe08, bc, 3.63, 150, vil, S, low, 0, 1.380
amis500cxoprx, ioacs3p3csxe08, bc, 3.63, 150, vil, S, high, 0, 1.483
amis500cxoprx, ioacs3p3csxe08, bc, 3.63, 150, iih, no_mode, low, 0, -6.527e-08
amis500cxoprx, ioacs3p3csxe08, bc, 3.63, 150, iih, no_mode, high, 0, -9.746e-09
amis500cxoprx, ioacs3p3csxe08, bc, 3.63, 150, iil, no_mode, low, 0, 7.14e-09
amis500cxoprx, ioacs3p3csxe08, bc, 3.63, 150, iil, no_mode, high, 0, 9.055e-09
amis500cxoprx, ioacs3p3csxe08, bc, 3.63, 150, ipd, 0, single, 0, 1.848e-05
