LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn055glopt3, ibpcs6c3_t3, bc, 3.63, 125, vhys, no_mode, low, 0, 0.578
onnn055glopt3, ibpcs6c3_t3, bc, 3.63, 125, vhys, no_mode, high, 0, 0.615
onnn055glopt3, ibpcs6c3_t3, bc, 3.63, 125, vih, S, low, 0, 1.785
onnn055glopt3, ibpcs6c3_t3, bc, 3.63, 125, vih, S, high, 0, 1.883
onnn055glopt3, ibpcs6c3_t3, bc, 3.63, 125, vil, S, low, 0, 1.188
onnn055glopt3, ibpcs6c3_t3, bc, 3.63, 125, vil, S, high, 0, 1.285
onnn055glopt3, ibpcs6c3_t3, bc, 3.63, 125, iih, no_mode, low, 0, -6.552e-09
onnn055glopt3, ibpcs6c3_t3, bc, 3.63, 125, iih, no_mode, high, 0, -5.248e-09
onnn055glopt3, ibpcs6c3_t3, bc, 3.63, 125, iil, no_mode, low, 0, 1.134e-11
onnn055glopt3, ibpcs6c3_t3, bc, 3.63, 125, iil, no_mode, high, 0, 3.616e-11
onnn055glopt3, ibpcs6c3_t3, bc, 3.63, 125, ipd, 0, single, 0, 2.917e-05
onnn055glopt3, ibpcs6c3_t3, bc, 3.63, 125, ipu, 3, single, 0, -2.908e-05
onnn055glopt3, ibpcs6c3_t3, bc, 3.63, 125, ibkpu, 2, single, 0, -8.726e-06
onnn055glopt3, ibpcs6c3_t3, bc, 3.63, 125, ibkpd, 2, single, 0, 8.754e-06
onnn055glopt3, ibpcs6xx_t3, bc, 3.63, 125, vhys, no_mode, low, 0, 0.578
onnn055glopt3, ibpcs6xx_t3, bc, 3.63, 125, vhys, no_mode, high, 0, 0.615
onnn055glopt3, ibpcs6xx_t3, bc, 3.63, 125, vih, S, low, 0, 1.785
onnn055glopt3, ibpcs6xx_t3, bc, 3.63, 125, vih, S, high, 0, 1.883
onnn055glopt3, ibpcs6xx_t3, bc, 3.63, 125, vil, S, low, 0, 1.188
onnn055glopt3, ibpcs6xx_t3, bc, 3.63, 125, vil, S, high, 0, 1.285
onnn055glopt3, ibpcs6xx_t3, bc, 3.63, 125, iih, no_mode, low, 0, -6.546e-09
onnn055glopt3, ibpcs6xx_t3, bc, 3.63, 125, iih, no_mode, high, 0, -5.244e-09
onnn055glopt3, ibpcs6xx_t3, bc, 3.63, 125, iil, no_mode, low, 0, 3.872e-12
onnn055glopt3, ibpcs6xx_t3, bc, 3.63, 125, iil, no_mode, high, 0, 3.872e-12
onnn055glopt3, ibpcx6c3_t3, bc, 3.63, 125, vih, no_mode, low, 0, 1.533
onnn055glopt3, ibpcx6c3_t3, bc, 3.63, 125, vih, no_mode, high, 0, 1.679
onnn055glopt3, ibpcx6c3_t3, bc, 3.63, 125, vil, no_mode, low, 0, 1.533
onnn055glopt3, ibpcx6c3_t3, bc, 3.63, 125, vil, no_mode, high, 0, 1.679
onnn055glopt3, ibpcx6c3_t3, bc, 3.63, 125, iih, no_mode, low, 0, -6.552e-09
onnn055glopt3, ibpcx6c3_t3, bc, 3.63, 125, iih, no_mode, high, 0, -5.248e-09
onnn055glopt3, ibpcx6c3_t3, bc, 3.63, 125, iil, no_mode, low, 0, 1.134e-11
