LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn055gxopl3, ibadlvdsj0p85gt33, bc, 3.63, 150, iih, no_mode, low, 0, -8.53e-10
onnn055gxopl3, ibadlvdsj0p85gt33, bc, 3.63, 150, iih, no_mode, high, 0, -1.65e-10
onnn055gxopl3, ibadlvdsj0p85gt33, bc, 3.63, 150, iil, no_mode, low, 0, 1.23e-10
onnn055gxopl3, ibadlvdsj0p85gt33, bc, 3.63, 150, iil, no_mode, high, 0, 3.68e-10
onnn055gxopl3, ibadlvdsj0p85gt33, bc, 3.63, 150, ipu, no_mode, single, 0, -4.043e-05
onnn055gxopl3, obadlvdsj0p85gx33, bc, 3.63, 150, iih, no_mode, low, 0, -1.63e-07
onnn055gxopl3, obadlvdsj0p85gx33, bc, 3.63, 150, iih, no_mode, high, 0, -8.605e-08
onnn055gxopl3, obadlvdsj0p85gx33, bc, 3.63, 150, iil, no_mode, low, 0, 1.62e-07
onnn055gxopl3, obadlvdsj0p85gx33, bc, 3.63, 150, iil, no_mode, high, 0, 1.77e-07
onnn055gxopl3, obadlvdsj0p85gx33, bc, 3.63, 150, ioh, no_mode, single, 1, -0.00459
onnn055gxopl3, obadlvdsj0p85gx33, bc, 3.63, 150, iol, no_mode, single, 1, 0.004174
onnn055gxopl3, ibadlvdsj0p85gt33, wc, 2.97, -55, iih, no_mode, low, 0, -6.537e-11
onnn055gxopl3, ibadlvdsj0p85gt33, wc, 2.97, -55, iih, no_mode, high, 0, -6.536e-11
onnn055gxopl3, ibadlvdsj0p85gt33, wc, 2.97, -55, iil, no_mode, low, 0, 4.175e-11
onnn055gxopl3, ibadlvdsj0p85gt33, wc, 2.97, -55, iil, no_mode, high, 0, 4.3e-11
onnn055gxopl3, ibadlvdsj0p85gt33, wc, 2.97, -55, ipu, no_mode, single, 0, -1.607e-05
onnn055gxopl3, obadlvdsj0p85gx33, wc, 2.97, -55, iih, no_mode, low, 0, -2.63e-10
onnn055gxopl3, obadlvdsj0p85gx33, wc, 2.97, -55, iih, no_mode, high, 0, -2.53e-10
onnn055gxopl3, obadlvdsj0p85gx33, wc, 2.97, -55, iil, no_mode, low, 0, 3.8e-10
onnn055gxopl3, obadlvdsj0p85gx33, wc, 2.97, -55, iil, no_mode, high, 0, 4.26e-10
onnn055gxopl3, obadlvdsj0p85gx33, wc, 2.97, -55, ioh, no_mode, single, 1, -0.002536
onnn055gxopl3, obadlvdsj0p85gx33, wc, 2.97, -55, iol, no_mode, single, 1, 0.002945
onnn055gxopl3, ibadlvdsj0p85gt33, bc, 3.63, 0, iih, no_mode, low, 0, -8.024e-11
onnn055gxopl3, ibadlvdsj0p85gt33, bc, 3.63, 0, iih, no_mode, high, 0, -7.997e-11
onnn055gxopl3, ibadlvdsj0p85gt33, bc, 3.63, 0, iil, no_mode, low, 0, 6.096e-11
