LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn055gxopt2, ibpcs6c2_t2, bc, 2.75, 125, vhys, no_mode, low, 0, 0.357
onnn055gxopt2, ibpcs6c2_t2, bc, 2.75, 125, vhys, no_mode, high, 0, 0.403
onnn055gxopt2, ibpcs6c2_t2, bc, 2.75, 125, vih, S, low, 0, 1.467
onnn055gxopt2, ibpcs6c2_t2, bc, 2.75, 125, vih, S, high, 0, 1.573
onnn055gxopt2, ibpcs6c2_t2, bc, 2.75, 125, vil, S, low, 0, 1.091
onnn055gxopt2, ibpcs6c2_t2, bc, 2.75, 125, vil, S, high, 0, 1.191
onnn055gxopt2, ibpcs6c2_t2, bc, 2.75, 125, iih, no_mode, low, 0, -2.498e-09
onnn055gxopt2, ibpcs6c2_t2, bc, 2.75, 125, iih, no_mode, high, 0, -5.013e-11
onnn055gxopt2, ibpcs6c2_t2, bc, 2.75, 125, iil, no_mode, low, 0, 8.915e-11
onnn055gxopt2, ibpcs6c2_t2, bc, 2.75, 125, iil, no_mode, high, 0, 4.188e-09
onnn055gxopt2, ibpcs6c2_t2, bc, 2.75, 125, ipd, 0, single, 0, 4.505e-05
onnn055gxopt2, ibpcs6c2_t2, bc, 2.75, 125, ipu, 3, single, 0, -4.539e-05
onnn055gxopt2, ibpcs6c2_t2, bc, 2.75, 125, ibkpu, 2, single, 0, -1.362e-05
onnn055gxopt2, ibpcs6c2_t2, bc, 2.75, 125, ibkpd, 2, single, 0, 1.352e-05
onnn055gxopt2, ibpcs6xx_t2, bc, 2.75, 125, vhys, no_mode, low, 0, 0.357
onnn055gxopt2, ibpcs6xx_t2, bc, 2.75, 125, vhys, no_mode, high, 0, 0.403
onnn055gxopt2, ibpcs6xx_t2, bc, 2.75, 125, vih, S, low, 0, 1.467
onnn055gxopt2, ibpcs6xx_t2, bc, 2.75, 125, vih, S, high, 0, 1.573
onnn055gxopt2, ibpcs6xx_t2, bc, 2.75, 125, vil, S, low, 0, 1.091
onnn055gxopt2, ibpcs6xx_t2, bc, 2.75, 125, vil, S, high, 0, 1.191
onnn055gxopt2, ibpcs6xx_t2, bc, 2.75, 125, iih, no_mode, low, 0, -2.469e-11
onnn055gxopt2, ibpcs6xx_t2, bc, 2.75, 125, iih, no_mode, high, 0, -2.469e-11
onnn055gxopt2, ibpcs6xx_t2, bc, 2.75, 125, iil, no_mode, low, 0, 2.573e-11
onnn055gxopt2, ibpcs6xx_t2, bc, 2.75, 125, iil, no_mode, high, 0, 2.573e-11
onnn055gxopt2, ibpcx6c2_t2, bc, 2.75, 125, vih, no_mode, low, 0, 1.327
onnn055gxopt2, ibpcx6c2_t2, bc, 2.75, 125, vih, no_mode, high, 0, 1.470
onnn055gxopt2, ibpcx6c2_t2, bc, 2.75, 125, vil, no_mode, low, 0, 1.327
onnn055gxopt2, ibpcx6c2_t2, bc, 2.75, 125, vil, no_mode, high, 0, 1.470
onnn055gxopt2, ibpcx6c2_t2, bc, 2.75, 125, iih, no_mode, low, 0, -2.498e-09
onnn055gxopt2, ibpcx6c2_t2, bc, 2.75, 125, iih, no_mode, high, 0, -5.013e-11
onnn055gxopt2, ibpcx6c2_t2, bc, 2.75, 125, iil, no_mode, low, 0, 8.915e-11
onnn055gxopt2, ibpcx6c2_t2, bc, 2.75, 125, iil, no_mode, high, 0, 4.188e-09
onnn055gxopt2, ibpcx6c2_t2, bc, 2.75, 125, ipd, 0, single, 0, 4.505e-05
onnn055gxopt2, ibpcx6c2_t2, bc, 2.75, 125, ipu, 3, single, 0, -4.539e-05
onnn055gxopt2, ibpcx6c2_t2, bc, 2.75, 125, ibkpu, 2, single, 0, -1.362e-05
onnn055gxopt2, ibpcx6c2_t2, bc, 2.75, 125, ibkpd, 2, single, 0, 1.352e-05
onnn055gxopt2, ibpcx6xx_t2, bc, 2.75, 125, vih, no_mode, low, 0, 1.327
onnn055gxopt2, ibpcx6xx_t2, bc, 2.75, 125, vih, no_mode, high, 0, 1.470
onnn055gxopt2, ibpcx6xx_t2, bc, 2.75, 125, vil, no_mode, low, 0, 1.327
onnn055gxopt2, ibpcx6xx_t2, bc, 2.75, 125, vil, no_mode, high, 0, 1.470
onnn055gxopt2, ibpcx6xx_t2, bc, 2.75, 125, iih, no_mode, low, 0, -2.469e-11
onnn055gxopt2, ibpcx6xx_t2, bc, 2.75, 125, iih, no_mode, high, 0, -2.469e-11
onnn055gxopt2, ibpcx6xx_t2, bc, 2.75, 125, iil, no_mode, low, 0, 2.573e-11
onnn055gxopt2, ibpcx6xx_t2, bc, 2.75, 125, iil, no_mode, high, 0, 2.573e-11
onnn055gxopt2, iopgs6c2cpxe02_t2, bc, 2.75, 125, vhys, no_mode, low, 0, 0.335
onnn055gxopt2, iopgs6c2cpxe02_t2, bc, 2.75, 125, vhys, no_mode, high, 0, 0.371
onnn055gxopt2, iopgs6c2cpxe02_t2, bc, 2.75, 125, vih, S, low, 0, 1.456
onnn055gxopt2, iopgs6c2cpxe02_t2, bc, 2.75, 125, vih, S, high, 0, 1.558
onnn055gxopt2, iopgs6c2cpxe02_t2, bc, 2.75, 125, vil, S, low, 0, 1.101
onnn055gxopt2, iopgs6c2cpxe02_t2, bc, 2.75, 125, vil, S, high, 0, 1.208
onnn055gxopt2, iopgs6c2cpxe02_t2, bc, 2.75, 125, iih, no_mode, low, 0, -2.72e-08
onnn055gxopt2, iopgs6c2cpxe02_t2, bc, 2.75, 125, iih, no_mode, high, 0, -1.056e-08
onnn055gxopt2, iopgs6c2cpxe02_t2, bc, 2.75, 125, iil, no_mode, low, 0, 1.161e-08
onnn055gxopt2, iopgs6c2cpxe02_t2, bc, 2.75, 125, iil, no_mode, high, 0, 6.326e-08
onnn055gxopt2, iopgs6c2cpxe02_t2, bc, 2.75, 125, ipd, 0, single, 0, 4.508e-05
onnn055gxopt2, iopgs6c2cpxe02_t2, bc, 2.75, 125, ipu, 3, single, 0, -4.545e-05
onnn055gxopt2, iopgs6c2cpxe02_t2, bc, 2.75, 125, ibkpu, 2, single, 0, -1.362e-05
onnn055gxopt2, iopgs6c2cpxe02_t2, bc, 2.75, 125, ibkpd, 2, single, 0, 1.349e-05
onnn055gxopt2, iopgs6c2cpxe02_t2, bc, 2.75, 125, ioh, no_mode, single, 2, -0.003306
onnn055gxopt2, iopgs6c2cpxe02_t2, bc, 2.75, 125, iol, no_mode, single, 2, 0.002945
onnn055gxopt2, iopgs6c2cpxe04_t2, bc, 2.75, 125, vhys, no_mode, low, 0, 0.335
onnn055gxopt2, iopgs6c2cpxe04_t2, bc, 2.75, 125, vhys, no_mode, high, 0, 0.371
onnn055gxopt2, iopgs6c2cpxe04_t2, bc, 2.75, 125, vih, S, low, 0, 1.456
onnn055gxopt2, iopgs6c2cpxe04_t2, bc, 2.75, 125, vih, S, high, 0, 1.558
onnn055gxopt2, iopgs6c2cpxe04_t2, bc, 2.75, 125, vil, S, low, 0, 1.101
onnn055gxopt2, iopgs6c2cpxe04_t2, bc, 2.75, 125, vil, S, high, 0, 1.208
