LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn065cxiplx, ILVDS15D_A, bc, 1.65, 125, iih, no_mode, low, 0, -2.04e-07
onnn065cxiplx, ILVDS15D_A, bc, 1.65, 125, iih, no_mode, high, 0, -7.969e-09
onnn065cxiplx, ILVDS15D_A, bc, 1.65, 125, iil, no_mode, low, 0, 2.155e-09
onnn065cxiplx, ILVDS15D_A, bc, 1.65, 125, iil, no_mode, high, 0, 1.51e-07
onnn065cxiplx, ILVDS15D_B, bc, 1.65, 125, iih, no_mode, low, 0, -2.04e-07
onnn065cxiplx, ILVDS15D_B, bc, 1.65, 125, iih, no_mode, high, 0, -7.969e-09
onnn065cxiplx, ILVDS15D_B, bc, 1.65, 125, iil, no_mode, low, 0, 2.155e-09
onnn065cxiplx, ILVDS15D_B, bc, 1.65, 125, iil, no_mode, high, 0, 1.51e-07
onnn065cxiplx, ILVDS15_A, bc, 1.65, 125, iih, no_mode, low, 0, -2.04e-07
onnn065cxiplx, ILVDS15_A, bc, 1.65, 125, iih, no_mode, high, 0, -7.96e-09
onnn065cxiplx, ILVDS15_A, bc, 1.65, 125, iil, no_mode, low, 0, 2.155e-09
onnn065cxiplx, ILVDS15_A, bc, 1.65, 125, iil, no_mode, high, 0, 1.51e-07
onnn065cxiplx, ILVDS15_B, bc, 1.65, 125, iih, no_mode, low, 0, -2.04e-07
onnn065cxiplx, ILVDS15_B, bc, 1.65, 125, iih, no_mode, high, 0, -7.96e-09
onnn065cxiplx, ILVDS15_B, bc, 1.65, 125, iil, no_mode, low, 0, 2.155e-09
onnn065cxiplx, ILVDS15_B, bc, 1.65, 125, iil, no_mode, high, 0, 1.51e-07
onnn065cxiplx, OLVDS15_A, bc, 1.65, 125, iih, no_mode, low, 0, -8.093e-08
onnn065cxiplx, OLVDS15_A, bc, 1.65, 125, iih, no_mode, high, 0, -5.581e-09
onnn065cxiplx, OLVDS15_A, bc, 1.65, 125, iil, no_mode, low, 0, 6.459e-09
onnn065cxiplx, OLVDS15_A, bc, 1.65, 125, iil, no_mode, high, 0, 5.25e-07
onnn065cxiplx, OLVDS15_A, bc, 1.65, 125, ioh, no_mode, single, 1, -0.009063
onnn065cxiplx, OLVDS15_A, bc, 1.65, 125, iol, no_mode, single, 1, 0.004483
onnn065cxiplx, ILVDS18D_A, bc, 1.98, 125, iih, no_mode, low, 0, -2.69e-07
onnn065cxiplx, ILVDS18D_A, bc, 1.98, 125, iih, no_mode, high, 0, -9.296e-09
onnn065cxiplx, ILVDS18D_A, bc, 1.98, 125, iil, no_mode, low, 0, 2.961e-09
onnn065cxiplx, ILVDS18D_A, bc, 1.98, 125, iil, no_mode, high, 0, 2.43e-07
onnn065cxiplx, ILVDS18_A, bc, 1.98, 125, iih, no_mode, low, 0, -2.69e-07
onnn065cxiplx, ILVDS18_A, bc, 1.98, 125, iih, no_mode, high, 0, -9.285e-09
onnn065cxiplx, ILVDS18_A, bc, 1.98, 125, iil, no_mode, low, 0, 2.961e-09
onnn065cxiplx, ILVDS18_A, bc, 1.98, 125, iil, no_mode, high, 0, 2.43e-07
onnn065cxiplx, OLVDS18_A, bc, 1.98, 125, iih, no_mode, low, 0, -1.9e-07
onnn065cxiplx, OLVDS18_A, bc, 1.98, 125, iih, no_mode, high, 0, -9.1e-09
onnn065cxiplx, OLVDS18_A, bc, 1.98, 125, iil, no_mode, low, 0, 1.147e-08
onnn065cxiplx, OLVDS18_A, bc, 1.98, 125, iil, no_mode, high, 0, 9.67e-07
onnn065cxiplx, OLVDS18_A, bc, 1.98, 125, ioh, no_mode, single, 1, -0.02405
