LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn065cxopc3, ibpgs6c3_c3, bc, 3.63, 150, vhys, no_mode, low, 0, 0.609
onnn065cxopc3, ibpgs6c3_c3, bc, 3.63, 150, vhys, no_mode, high, 0, 0.654
onnn065cxopc3, ibpgs6c3_c3, bc, 3.63, 150, vih, S, low, 0, 1.777
onnn065cxopc3, ibpgs6c3_c3, bc, 3.63, 150, vih, S, high, 0, 1.886
onnn065cxopc3, ibpgs6c3_c3, bc, 3.63, 150, vil, S, low, 0, 1.140
onnn065cxopc3, ibpgs6c3_c3, bc, 3.63, 150, vil, S, high, 0, 1.258
onnn065cxopc3, ibpgs6c3_c3, bc, 3.63, 150, iih, no_mode, low, 0, -7.877e-11
onnn065cxopc3, ibpgs6c3_c3, bc, 3.63, 150, iih, no_mode, high, 0, -2.109e-11
onnn065cxopc3, ibpgs6c3_c3, bc, 3.63, 150, iil, no_mode, low, 0, 1.81e-11
onnn065cxopc3, ibpgs6c3_c3, bc, 3.63, 150, iil, no_mode, high, 0, 6.431e-11
onnn065cxopc3, ibpgs6c3_c3, bc, 3.63, 150, ipd, 0, single, 0, 5.539e-05
onnn065cxopc3, ibpgs6c3_c3, bc, 3.63, 150, ipu, 3, single, 0, -5.581e-05
onnn065cxopc3, ibpgs6c3_c3, bc, 3.63, 150, ibkpu, 2, single, 0, -1.676e-05
onnn065cxopc3, ibpgs6c3_c3, bc, 3.63, 150, ibkpd, 2, single, 0, 1.665e-05
onnn065cxopc3, ibpgs6xx_c3, bc, 3.63, 150, vhys, no_mode, low, 0, 0.609
onnn065cxopc3, ibpgs6xx_c3, bc, 3.63, 150, vhys, no_mode, high, 0, 0.654
onnn065cxopc3, ibpgs6xx_c3, bc, 3.63, 150, vih, S, low, 0, 1.777
onnn065cxopc3, ibpgs6xx_c3, bc, 3.63, 150, vih, S, high, 0, 1.886
onnn065cxopc3, ibpgs6xx_c3, bc, 3.63, 150, vil, S, low, 0, 1.140
onnn065cxopc3, ibpgs6xx_c3, bc, 3.63, 150, vil, S, high, 0, 1.258
onnn065cxopc3, ibpgs6xx_c3, bc, 3.63, 150, iih, no_mode, low, 0, -1.173e-11
onnn065cxopc3, ibpgs6xx_c3, bc, 3.63, 150, iih, no_mode, high, 0, -1.173e-11
onnn065cxopc3, ibpgs6xx_c3, bc, 3.63, 150, iil, no_mode, low, 0, 5.643e-12
onnn065cxopc3, ibpgs6xx_c3, bc, 3.63, 150, iil, no_mode, high, 0, 5.643e-12
onnn065cxopc3, ibpgx6c3_c3, bc, 3.63, 150, vih, no_mode, low, 0, 1.498
onnn065cxopc3, ibpgx6c3_c3, bc, 3.63, 150, vih, no_mode, high, 0, 1.677
onnn065cxopc3, ibpgx6c3_c3, bc, 3.63, 150, vil, no_mode, low, 0, 1.498
onnn065cxopc3, ibpgx6c3_c3, bc, 3.63, 150, vil, no_mode, high, 0, 1.677
onnn065cxopc3, ibpgx6c3_c3, bc, 3.63, 150, iih, no_mode, low, 0, -7.866e-11
onnn065cxopc3, ibpgx6c3_c3, bc, 3.63, 150, iih, no_mode, high, 0, -2.109e-11
onnn065cxopc3, ibpgx6c3_c3, bc, 3.63, 150, iil, no_mode, low, 0, 1.81e-11
onnn065cxopc3, ibpgx6c3_c3, bc, 3.63, 150, iil, no_mode, high, 0, 6.431e-11
onnn065cxopc3, ibpgx6c3_c3, bc, 3.63, 150, ipd, 0, single, 0, 5.539e-05
onnn065cxopc3, ibpgx6c3_c3, bc, 3.63, 150, ipu, 3, single, 0, -5.581e-05
onnn065cxopc3, ibpgx6c3_c3, bc, 3.63, 150, ibkpu, 2, single, 0, -1.676e-05
onnn065cxopc3, ibpgx6c3_c3, bc, 3.63, 150, ibkpd, 2, single, 0, 1.665e-05
onnn065cxopc3, ibpgx6xx_c3, bc, 3.63, 150, vih, no_mode, low, 0, 1.498
onnn065cxopc3, ibpgx6xx_c3, bc, 3.63, 150, vih, no_mode, high, 0, 1.677
onnn065cxopc3, ibpgx6xx_c3, bc, 3.63, 150, vil, no_mode, low, 0, 1.498
onnn065cxopc3, ibpgx6xx_c3, bc, 3.63, 150, vil, no_mode, high, 0, 1.677
onnn065cxopc3, ibpgx6xx_c3, bc, 3.63, 150, iih, no_mode, low, 0, -1.173e-11
onnn065cxopc3, ibpgx6xx_c3, bc, 3.63, 150, iih, no_mode, high, 0, -1.173e-11
onnn065cxopc3, ibpgx6xx_c3, bc, 3.63, 150, iil, no_mode, low, 0, 5.643e-12
onnn065cxopc3, ibpgx6xx_c3, bc, 3.63, 150, iil, no_mode, high, 0, 5.643e-12
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, vhys, no_mode, low, 0, 0.609
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, vhys, no_mode, high, 0, 0.654
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, vih, S, low, 0, 1.777
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, vih, S, high, 0, 1.886
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, vil, S, low, 0, 1.140
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, vil, S, high, 0, 1.258
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, iih, no_mode, low, 0, -4.605e-08
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, iih, no_mode, high, 0, -4.033e-08
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, iil, no_mode, low, 0, 8.061e-08
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, iil, no_mode, high, 0, 8.434e-08
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, ipd, 0, single, 0, 5.544e-05
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, ipu, 3, single, 0, -5.589e-05
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, ibkpu, 2, single, 0, -1.679e-05
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, ibkpd, 2, single, 0, 1.661e-05
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, ioh, 0, single, 2, -0.003085
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, iol, 0, single, 2, 0.002961
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, ioh, 1, single, 4, -0.006178
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, iol, 1, single, 4, 0.005918
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, ioh, 2, single, 6, -0.009267
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, iol, 2, single, 6, 0.008871
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, ioh, 3, single, 8, -0.01235
onnn065cxopc3, iopgs6c3csxe02x08p2_c3, bc, 3.63, 150, iol, 3, single, 8, 0.01182
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, vhys, no_mode, low, 0, 0.609
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, vhys, no_mode, high, 0, 0.654
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, vih, S, low, 0, 1.777
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, vih, S, high, 0, 1.886
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, vil, S, low, 0, 1.140
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, vil, S, high, 0, 1.258
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, iih, no_mode, low, 0, -4.605e-08
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, iih, no_mode, high, 0, -4.033e-08
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, iil, no_mode, low, 0, 8.061e-08
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, iil, no_mode, high, 0, 8.434e-08
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, ipd, 0, single, 0, 5.544e-05
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, ipu, 3, single, 0, -5.589e-05
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, ibkpu, 2, single, 0, -1.679e-05
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, ibkpd, 2, single, 0, 1.661e-05
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, ioh, 0, single, 2, -0.003085
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, iol, 0, single, 2, 0.002961
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, ioh, 1, single, 4, -0.006178
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, iol, 1, single, 4, 0.005918
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, ioh, 2, single, 6, -0.009267
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, iol, 2, single, 6, 0.008871
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, ioh, 3, single, 8, -0.01235
onnn065cxopc3, iopgs6c3cxxe02x08p2_c3, bc, 3.63, 150, iol, 3, single, 8, 0.01182
onnn065cxopc3, iopgx6c3csxe02x08p2_c3, bc, 3.63, 150, vih, no_mode, low, 0, 1.498
onnn065cxopc3, iopgx6c3csxe02x08p2_c3, bc, 3.63, 150, vih, no_mode, high, 0, 1.677
onnn065cxopc3, iopgx6c3csxe02x08p2_c3, bc, 3.63, 150, vil, no_mode, low, 0, 1.498
onnn065cxopc3, iopgx6c3csxe02x08p2_c3, bc, 3.63, 150, vil, no_mode, high, 0, 1.677
onnn065cxopc3, iopgx6c3csxe02x08p2_c3, bc, 3.63, 150, iih, no_mode, low, 0, -4.605e-08
onnn065cxopc3, iopgx6c3csxe02x08p2_c3, bc, 3.63, 150, iih, no_mode, high, 0, -4.033e-08
onnn065cxopc3, iopgx6c3csxe02x08p2_c3, bc, 3.63, 150, iil, no_mode, low, 0, 8.061e-08
onnn065cxopc3, iopgx6c3csxe02x08p2_c3, bc, 3.63, 150, iil, no_mode, high, 0, 8.434e-08
onnn065cxopc3, iopgx6c3csxe02x08p2_c3, bc, 3.63, 150, ipd, 0, single, 0, 5.544e-05
