LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn065cxopfd, ib_failsafe_fd, bc, 1.98, 125, vih, no_mode, low, 0, 0.908
onnn065cxopfd, ib_failsafe_fd, bc, 1.98, 125, vih, no_mode, high, 0, 1.021
onnn065cxopfd, ib_failsafe_fd, bc, 1.98, 125, vil, no_mode, low, 0, 0.908
onnn065cxopfd, ib_failsafe_fd, bc, 1.98, 125, vil, no_mode, high, 0, 1.021
onnn065cxopfd, ib_failsafe_fd, bc, 1.98, 125, iih, no_mode, low, 0, -4.156e-08
onnn065cxopfd, ib_failsafe_fd, bc, 1.98, 125, iih, no_mode, high, 0, -1.578e-08
onnn065cxopfd, ib_failsafe_fd, bc, 1.98, 125, iil, no_mode, low, 0, 2.99e-08
onnn065cxopfd, ib_failsafe_fd, bc, 1.98, 125, iil, no_mode, high, 0, 5.304e-08
onnn065cxopfd, ib_failsafe_pull_fd, bc, 1.98, 125, vhys, no_mode, low, 0, 0.354
onnn065cxopfd, ib_failsafe_pull_fd, bc, 1.98, 125, vhys, no_mode, high, 0, 0.418
onnn065cxopfd, ib_failsafe_pull_fd, bc, 1.98, 125, vih, S, low, 0, 1.186
onnn065cxopfd, ib_failsafe_pull_fd, bc, 1.98, 125, vih, S, high, 0, 1.247
onnn065cxopfd, ib_failsafe_pull_fd, bc, 1.98, 125, vil, S, low, 0, 0.795
onnn065cxopfd, ib_failsafe_pull_fd, bc, 1.98, 125, vil, S, high, 0, 0.869
onnn065cxopfd, ib_failsafe_pull_fd, bc, 1.98, 125, vih, no_mode, low, 0, 0.907
onnn065cxopfd, ib_failsafe_pull_fd, bc, 1.98, 125, vih, no_mode, high, 0, 1.021
onnn065cxopfd, ib_failsafe_pull_fd, bc, 1.98, 125, vil, no_mode, low, 0, 0.907
onnn065cxopfd, ib_failsafe_pull_fd, bc, 1.98, 125, vil, no_mode, high, 0, 1.021
onnn065cxopfd, ib_failsafe_pull_fd, bc, 1.98, 125, iih, no_mode, low, 0, -4.196e-08
onnn065cxopfd, ib_failsafe_pull_fd, bc, 1.98, 125, iih, no_mode, high, 0, -1.581e-08
onnn065cxopfd, ib_failsafe_pull_fd, bc, 1.98, 125, iil, no_mode, low, 0, 2.991e-08
onnn065cxopfd, ib_failsafe_pull_fd, bc, 1.98, 125, iil, no_mode, high, 0, 5.309e-08
onnn065cxopfd, ib_failsafe_pull_fd, bc, 1.98, 125, ipd, 1, single, 0, 0.000211
onnn065cxopfd, ib_failsafe_pull_fd, bc, 1.98, 125, ipu, 3, single, 0, -0.000214
onnn065cxopfd, ib_i2c_sclk_fd, bc, 1.98, 125, vhys, no_mode, low, 0, 0.354
onnn065cxopfd, ib_i2c_sclk_fd, bc, 1.98, 125, vhys, no_mode, high, 0, 0.418
onnn065cxopfd, ib_i2c_sclk_fd, bc, 1.98, 125, vih, S, low, 0, 1.186
onnn065cxopfd, ib_i2c_sclk_fd, bc, 1.98, 125, vih, S, high, 0, 1.247
onnn065cxopfd, ib_i2c_sclk_fd, bc, 1.98, 125, vil, S, low, 0, 0.795
onnn065cxopfd, ib_i2c_sclk_fd, bc, 1.98, 125, vil, S, high, 0, 0.869
onnn065cxopfd, ib_i2c_sclk_fd, bc, 1.98, 125, vih, no_mode, low, 0, 0.907
onnn065cxopfd, ib_i2c_sclk_fd, bc, 1.98, 125, vih, no_mode, high, 0, 1.021
onnn065cxopfd, ib_i2c_sclk_fd, bc, 1.98, 125, vil, no_mode, low, 0, 0.907
onnn065cxopfd, ib_i2c_sclk_fd, bc, 1.98, 125, vil, no_mode, high, 0, 1.021
onnn065cxopfd, ib_i2c_sclk_fd, bc, 1.98, 125, iih, no_mode, low, 0, -4.156e-08
onnn065cxopfd, ib_i2c_sclk_fd, bc, 1.98, 125, iih, no_mode, high, 0, -1.578e-08
onnn065cxopfd, ib_i2c_sclk_fd, bc, 1.98, 125, iil, no_mode, low, 0, 2.99e-08
onnn065cxopfd, ib_i2c_sclk_fd, bc, 1.98, 125, iil, no_mode, high, 0, 5.304e-08
onnn065cxopfd, ib_sine_fd, bc, 1.98, 125, vih, no_mode, low, 0, 0.890
onnn065cxopfd, ib_sine_fd, bc, 1.98, 125, vih, no_mode, high, 0, 1.005
onnn065cxopfd, ib_sine_fd, bc, 1.98, 125, vil, no_mode, low, 0, 0.890
onnn065cxopfd, ib_sine_fd, bc, 1.98, 125, vil, no_mode, high, 0, 1.005
onnn065cxopfd, ib_sine_fd, bc, 1.98, 125, iih, no_mode, low, 0, -3.27e-07
onnn065cxopfd, ib_sine_fd, bc, 1.98, 125, iih, no_mode, high, 0, -7.216e-08
onnn065cxopfd, ib_sine_fd, bc, 1.98, 125, iil, no_mode, low, 0, 2.99e-08
onnn065cxopfd, ib_sine_fd, bc, 1.98, 125, iil, no_mode, high, 0, 5.304e-08
onnn065cxopfd, ib_switch_driver_fd, bc, 1.98, 125, vhys, no_mode, low, 0, 0.373
onnn065cxopfd, ib_switch_driver_fd, bc, 1.98, 125, vhys, no_mode, high, 0, 0.443
onnn065cxopfd, ib_switch_driver_fd, bc, 1.98, 125, vih, S, low, 0, 1.184
