LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, vhys, no_mode, low, 0, 0.211
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, vhys, no_mode, high, 0, 0.240
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, vih, S, low, 0, 0.661
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, vih, S, high, 0, 0.725
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, vil, S, low, 0, 0.440
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, vil, S, high, 0, 0.495
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, vih, no_mode, low, 0, 0.493
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, vih, no_mode, high, 0, 0.582
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, vil, no_mode, low, 0, 0.493
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, vil, no_mode, high, 0, 0.582
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, iih, no_mode, low, 0, -2.749e-06
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, iih, no_mode, high, 0, -3.48e-07
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, iil, no_mode, low, 0, 2.75e-07
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, iil, no_mode, high, 0, 2.312e-06
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, ioh, 0, single, 2, -0.004989
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, iol, 0, single, 2, 0.005269
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, ioh, 1, single, 4, -0.009978
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, iol, 1, single, 4, 0.01072
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, ioh, 2, single, 8, -0.0199
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, iol, 2, single, 8, 0.02159
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, ioh, 3, single, 12, -0.02979
onnn065xubpfg, lvio_pon_fg, bc, 1.1, 150, iol, 3, single, 12, 0.03222
onnn065xubpfg, ib_failsafe_pon_fg, bc, 1.98, 150, vhys, no_mode, low, 0, 0.332
onnn065xubpfg, ib_failsafe_pon_fg, bc, 1.98, 150, vhys, no_mode, high, 0, 0.376
onnn065xubpfg, ib_failsafe_pon_fg, bc, 1.98, 150, vih, S, low, 0, 1.166
onnn065xubpfg, ib_failsafe_pon_fg, bc, 1.98, 150, vih, S, high, 0, 1.212
onnn065xubpfg, ib_failsafe_pon_fg, bc, 1.98, 150, vil, S, low, 0, 0.813
onnn065xubpfg, ib_failsafe_pon_fg, bc, 1.98, 150, vil, S, high, 0, 0.858
onnn065xubpfg, ib_failsafe_pon_fg, bc, 1.98, 150, vih, no_mode, low, 0, 0.993
onnn065xubpfg, ib_failsafe_pon_fg, bc, 1.98, 150, vih, no_mode, high, 0, 1.074
onnn065xubpfg, ib_failsafe_pon_fg, bc, 1.98, 150, vil, no_mode, low, 0, 0.993
onnn065xubpfg, ib_failsafe_pon_fg, bc, 1.98, 150, vil, no_mode, high, 0, 1.074
onnn065xubpfg, ib_failsafe_pon_fg, bc, 1.98, 150, iih, no_mode, low, 0, -2.44e-07
onnn065xubpfg, ib_failsafe_pon_fg, bc, 1.98, 150, iih, no_mode, high, 0, -3.458e-08
onnn065xubpfg, ib_failsafe_pon_fg, bc, 1.98, 150, iil, no_mode, low, 0, 7.506e-09
onnn065xubpfg, ib_failsafe_pon_fg, bc, 1.98, 150, iil, no_mode, high, 0, 5.7e-08
onnn065xubpfg, ib_i2c_sclk_pon_fg, bc, 1.98, 150, vhys, no_mode, low, 0, 0.374
