LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn110cajpr1, SCHMITJLS18, bc, 1.32, 125, vhys, no_mode, low, 0, 0.225
onnn110cajpr1, SCHMITJLS18, bc, 1.32, 125, vhys, no_mode, high, 0, 0.260
onnn110cajpr1, SCHMITJLS18, bc, 1.32, 125, vih, S, low, 0, 0.882
onnn110cajpr1, SCHMITJLS18, bc, 1.32, 125, vih, S, high, 0, 0.940
onnn110cajpr1, SCHMITJLS18, bc, 1.32, 125, vil, S, low, 0, 0.640
onnn110cajpr1, SCHMITJLS18, bc, 1.32, 125, vil, S, high, 0, 0.695
onnn110cajpr1, SCHMITJLS18, bc, 1.32, 125, iih, no_mode, low, 0, -4.792e-08
onnn110cajpr1, SCHMITJLS18, bc, 1.32, 125, iih, no_mode, high, 0, -1.752e-08
onnn110cajpr1, SCHMITJLS18, bc, 1.32, 125, iil, no_mode, low, 0, 9.854e-08
onnn110cajpr1, SCHMITJLS18, bc, 1.32, 125, iil, no_mode, high, 0, 9.55e-07
onnn110cajpr1, DDRVREFLS18, bc, 1.65, 125, iih, no_mode, low, 0, -5.951e-08
onnn110cajpr1, DDRVREFLS18, bc, 1.65, 125, iih, no_mode, high, 0, -1.942e-08
onnn110cajpr1, DDRVREFLS18, bc, 1.65, 125, iil, no_mode, low, 0, 1.11e-07
onnn110cajpr1, DDRVREFLS18, bc, 1.65, 125, iil, no_mode, high, 0, 1.086e-06
onnn110cajpr1, BDR25JCDLS18, bc, 1.98, 125, vih, no_mode, low, 0, 0.986
onnn110cajpr1, BDR25JCDLS18, bc, 1.98, 125, vih, no_mode, high, 0, 1.089
onnn110cajpr1, BDR25JCDLS18, bc, 1.98, 125, vil, no_mode, low, 0, 0.986
onnn110cajpr1, BDR25JCDLS18, bc, 1.98, 125, vil, no_mode, high, 0, 1.089
onnn110cajpr1, BDR25JCDLS18, bc, 1.98, 125, iih, no_mode, low, 0, -8.16e-08
onnn110cajpr1, BDR25JCDLS18, bc, 1.98, 125, iih, no_mode, high, 0, -2.177e-08
onnn110cajpr1, BDR25JCDLS18, bc, 1.98, 125, iil, no_mode, low, 0, 1.23e-07
onnn110cajpr1, BDR25JCDLS18, bc, 1.98, 125, iil, no_mode, high, 0, 1.208e-06
onnn110cajpr1, BDR25JCDLS18, bc, 1.98, 125, ipd, no_mode, single, 0, 0.000185
onnn110cajpr1, BDR25JCDLS18, bc, 1.98, 125, ioh, no_mode, single, 16, -0.02105
onnn110cajpr1, BDR25JCDLS18, bc, 1.98, 125, iol, no_mode, single, 16, 0.01987
onnn110cajpr1, BDR25JCLS18, bc, 1.98, 125, vih, no_mode, low, 0, 0.943
onnn110cajpr1, BDR25JCLS18, bc, 1.98, 125, vih, no_mode, high, 0, 1.054
onnn110cajpr1, BDR25JCLS18, bc, 1.98, 125, vil, no_mode, low, 0, 0.943
onnn110cajpr1, BDR25JCLS18, bc, 1.98, 125, vil, no_mode, high, 0, 1.054
onnn110cajpr1, BDR25JCLS18, bc, 1.98, 125, iih, no_mode, low, 0, -8.152e-08
onnn110cajpr1, BDR25JCLS18, bc, 1.98, 125, iih, no_mode, high, 0, -2.176e-08
onnn110cajpr1, BDR25JCLS18, bc, 1.98, 125, iil, no_mode, low, 0, 1.23e-07
onnn110cajpr1, BDR25JCLS18, bc, 1.98, 125, iil, no_mode, high, 0, 1.208e-06
onnn110cajpr1, BDR25JCLS18, bc, 1.98, 125, ioh, no_mode, single, 16, -0.02111
onnn110cajpr1, BDR25JCLS18, bc, 1.98, 125, iol, no_mode, single, 16, 0.01984
onnn110cajpr1, BDR25JCULS18, bc, 1.98, 125, vih, no_mode, low, 0, 0.917
onnn110cajpr1, BDR25JCULS18, bc, 1.98, 125, vih, no_mode, high, 0, 1.028
onnn110cajpr1, BDR25JCULS18, bc, 1.98, 125, vil, no_mode, low, 0, 0.917
onnn110cajpr1, BDR25JCULS18, bc, 1.98, 125, vil, no_mode, high, 0, 1.028
onnn110cajpr1, BDR25JCULS18, bc, 1.98, 125, iih, no_mode, low, 0, -8.152e-08
onnn110cajpr1, BDR25JCULS18, bc, 1.98, 125, iih, no_mode, high, 0, -2.176e-08
onnn110cajpr1, BDR25JCULS18, bc, 1.98, 125, iil, no_mode, low, 0, 1.24e-07
onnn110cajpr1, BDR25JCULS18, bc, 1.98, 125, iil, no_mode, high, 0, 1.209e-06
onnn110cajpr1, BDR25JCULS18, bc, 1.98, 125, ipu, no_mode, single, 0, -0.000133
onnn110cajpr1, BDR25JCULS18, bc, 1.98, 125, ioh, no_mode, single, 16, -0.02112
onnn110cajpr1, BDR25JCULS18, bc, 1.98, 125, iol, no_mode, single, 16, 0.01979
onnn110cajpr1, BDR25JSCDLS18, bc, 1.98, 125, vhys, no_mode, low, 0, 0.255
onnn110cajpr1, BDR25JSCDLS18, bc, 1.98, 125, vhys, no_mode, high, 0, 0.296
onnn110cajpr1, BDR25JSCDLS18, bc, 1.98, 125, vih, S, low, 0, 1.302
onnn110cajpr1, BDR25JSCDLS18, bc, 1.98, 125, vih, S, high, 0, 1.366
onnn110cajpr1, BDR25JSCDLS18, bc, 1.98, 125, vil, S, low, 0, 1.029
onnn110cajpr1, BDR25JSCDLS18, bc, 1.98, 125, vil, S, high, 0, 1.089
onnn110cajpr1, BDR25JSCDLS18, bc, 1.98, 125, iih, no_mode, low, 0, -8.159e-08
onnn110cajpr1, BDR25JSCDLS18, bc, 1.98, 125, iih, no_mode, high, 0, -2.177e-08
onnn110cajpr1, BDR25JSCDLS18, bc, 1.98, 125, iil, no_mode, low, 0, 1.23e-07
onnn110cajpr1, BDR25JSCDLS18, bc, 1.98, 125, iil, no_mode, high, 0, 1.208e-06
onnn110cajpr1, BDR25JSCDLS18, bc, 1.98, 125, ipd, no_mode, single, 0, 0.000183
onnn110cajpr1, BDR25JSCDLS18, bc, 1.98, 125, ioh, no_mode, single, 16, -0.02105
onnn110cajpr1, BDR25JSCDLS18, bc, 1.98, 125, iol, no_mode, single, 16, 0.01987
onnn110cajpr1, BDR25JSCLS18, bc, 1.98, 125, vhys, no_mode, low, 0, 0.253
onnn110cajpr1, BDR25JSCLS18, bc, 1.98, 125, vhys, no_mode, high, 0, 0.293
onnn110cajpr1, BDR25JSCLS18, bc, 1.98, 125, vih, S, low, 0, 1.261
onnn110cajpr1, BDR25JSCLS18, bc, 1.98, 125, vih, S, high, 0, 1.333
onnn110cajpr1, BDR25JSCLS18, bc, 1.98, 125, vil, S, low, 0, 0.990
onnn110cajpr1, BDR25JSCLS18, bc, 1.98, 125, vil, S, high, 0, 1.058
onnn110cajpr1, BDR25JSCLS18, bc, 1.98, 125, iih, no_mode, low, 0, -8.152e-08
onnn110cajpr1, BDR25JSCLS18, bc, 1.98, 125, iih, no_mode, high, 0, -2.176e-08
onnn110cajpr1, BDR25JSCLS18, bc, 1.98, 125, iil, no_mode, low, 0, 1.23e-07
onnn110cajpr1, BDR25JSCLS18, bc, 1.98, 125, iil, no_mode, high, 0, 1.208e-06
onnn110cajpr1, BDR25JSCLS18, bc, 1.98, 125, ioh, no_mode, single, 16, -0.02111
onnn110cajpr1, BDR25JSCLS18, bc, 1.98, 125, iol, no_mode, single, 16, 0.01984
onnn110cajpr1, BDR25JSCULS18, bc, 1.98, 125, vhys, no_mode, low, 0, 0.258
onnn110cajpr1, BDR25JSCULS18, bc, 1.98, 125, vhys, no_mode, high, 0, 0.300
onnn110cajpr1, BDR25JSCULS18, bc, 1.98, 125, vih, S, low, 0, 1.239
onnn110cajpr1, BDR25JSCULS18, bc, 1.98, 125, vih, S, high, 0, 1.310
onnn110cajpr1, BDR25JSCULS18, bc, 1.98, 125, vil, S, low, 0, 0.962
onnn110cajpr1, BDR25JSCULS18, bc, 1.98, 125, vil, S, high, 0, 1.028
onnn110cajpr1, BDR25JSCULS18, bc, 1.98, 125, iih, no_mode, low, 0, -8.152e-08
onnn110cajpr1, BDR25JSCULS18, bc, 1.98, 125, iih, no_mode, high, 0, -2.176e-08
onnn110cajpr1, BDR25JSCULS18, bc, 1.98, 125, iil, no_mode, low, 0, 1.24e-07
onnn110cajpr1, BDR25JSCULS18, bc, 1.98, 125, iil, no_mode, high, 0, 1.209e-06
onnn110cajpr1, BDR25JSCULS18, bc, 1.98, 125, ipu, no_mode, single, 0, -0.00013
onnn110cajpr1, BDR25JSCULS18, bc, 1.98, 125, ioh, no_mode, single, 16, -0.02112
onnn110cajpr1, BDR25JSCULS18, bc, 1.98, 125, iol, no_mode, single, 16, 0.01979
onnn110cajpr1, BDR33JCDLS18, bc, 1.98, 125, vih, no_mode, low, 0, 0.988
onnn110cajpr1, BDR33JCDLS18, bc, 1.98, 125, vih, no_mode, high, 0, 1.091
onnn110cajpr1, BDR33JCDLS18, bc, 1.98, 125, vil, no_mode, low, 0, 0.988
onnn110cajpr1, BDR33JCDLS18, bc, 1.98, 125, vil, no_mode, high, 0, 1.091
onnn110cajpr1, BDR33JCDLS18, bc, 1.98, 125, iih, no_mode, low, 0, -8.159e-08
onnn110cajpr1, BDR33JCDLS18, bc, 1.98, 125, iih, no_mode, high, 0, -2.177e-08
onnn110cajpr1, BDR33JCDLS18, bc, 1.98, 125, iil, no_mode, low, 0, 1.23e-07
onnn110cajpr1, BDR33JCDLS18, bc, 1.98, 125, iil, no_mode, high, 0, 1.208e-06
onnn110cajpr1, BDR33JCDLS18, bc, 1.98, 125, ipd, no_mode, single, 0, 0.000185
onnn110cajpr1, BDR33JCDLS18, bc, 1.98, 125, ioh, no_mode, single, 12, -0.01497
onnn110cajpr1, BDR33JCDLS18, bc, 1.98, 125, iol, no_mode, single, 12, 0.01424
onnn110cajpr1, BDR33JCLS18, bc, 1.98, 125, vih, no_mode, low, 0, 0.943
onnn110cajpr1, BDR33JCLS18, bc, 1.98, 125, vih, no_mode, high, 0, 1.054
onnn110cajpr1, BDR33JCLS18, bc, 1.98, 125, vil, no_mode, low, 0, 0.943
onnn110cajpr1, BDR33JCLS18, bc, 1.98, 125, vil, no_mode, high, 0, 1.054
onnn110cajpr1, BDR33JCLS18, bc, 1.98, 125, iih, no_mode, low, 0, -8.152e-08
onnn110cajpr1, BDR33JCLS18, bc, 1.98, 125, iih, no_mode, high, 0, -2.176e-08
onnn110cajpr1, BDR33JCLS18, bc, 1.98, 125, iil, no_mode, low, 0, 1.23e-07
onnn110cajpr1, BDR33JCLS18, bc, 1.98, 125, iil, no_mode, high, 0, 1.208e-06
onnn110cajpr1, BDR33JCLS18, bc, 1.98, 125, ioh, no_mode, single, 12, -0.01501
onnn110cajpr1, BDR33JCLS18, bc, 1.98, 125, iol, no_mode, single, 12, 0.01422
onnn110cajpr1, BDR33JCULS18, bc, 1.98, 125, vih, no_mode, low, 0, 0.914
onnn110cajpr1, BDR33JCULS18, bc, 1.98, 125, vih, no_mode, high, 0, 1.025
onnn110cajpr1, BDR33JCULS18, bc, 1.98, 125, vil, no_mode, low, 0, 0.914
onnn110cajpr1, BDR33JCULS18, bc, 1.98, 125, vil, no_mode, high, 0, 1.025
onnn110cajpr1, BDR33JCULS18, bc, 1.98, 125, iih, no_mode, low, 0, -8.152e-08
onnn110cajpr1, BDR33JCULS18, bc, 1.98, 125, iih, no_mode, high, 0, -2.176e-08
onnn110cajpr1, BDR33JCULS18, bc, 1.98, 125, iil, no_mode, low, 0, 1.24e-07
onnn110cajpr1, BDR33JCULS18, bc, 1.98, 125, iil, no_mode, high, 0, 1.209e-06
onnn110cajpr1, BDR33JCULS18, bc, 1.98, 125, ipu, no_mode, single, 0, -0.00013
onnn110cajpr1, BDR33JCULS18, bc, 1.98, 125, ioh, no_mode, single, 12, -0.01502
onnn110cajpr1, BDR33JCULS18, bc, 1.98, 125, iol, no_mode, single, 12, 0.01419
onnn110cajpr1, BDR33JSCDLS18, bc, 1.98, 125, vhys, no_mode, low, 0, 0.253
onnn110cajpr1, BDR33JSCDLS18, bc, 1.98, 125, vhys, no_mode, high, 0, 0.294
onnn110cajpr1, BDR33JSCDLS18, bc, 1.98, 125, vih, S, low, 0, 1.306
onnn110cajpr1, BDR33JSCDLS18, bc, 1.98, 125, vih, S, high, 0, 1.369
onnn110cajpr1, BDR33JSCDLS18, bc, 1.98, 125, vil, S, low, 0, 1.035
onnn110cajpr1, BDR33JSCDLS18, bc, 1.98, 125, vil, S, high, 0, 1.095
onnn110cajpr1, BDR33JSCDLS18, bc, 1.98, 125, iih, no_mode, low, 0, -8.159e-08
onnn110cajpr1, BDR33JSCDLS18, bc, 1.98, 125, iih, no_mode, high, 0, -2.177e-08
onnn110cajpr1, BDR33JSCDLS18, bc, 1.98, 125, iil, no_mode, low, 0, 1.23e-07
onnn110cajpr1, BDR33JSCDLS18, bc, 1.98, 125, iil, no_mode, high, 0, 1.208e-06
onnn110cajpr1, BDR33JSCDLS18, bc, 1.98, 125, ipd, no_mode, single, 0, 0.000183
onnn110cajpr1, BDR33JSCDLS18, bc, 1.98, 125, ioh, no_mode, single, 12, -0.01497
onnn110cajpr1, BDR33JSCDLS18, bc, 1.98, 125, iol, no_mode, single, 12, 0.01424
onnn110cajpr1, BDR33JSCLS18, bc, 1.98, 125, vhys, no_mode, low, 0, 0.253
onnn110cajpr1, BDR33JSCLS18, bc, 1.98, 125, vhys, no_mode, high, 0, 0.293
onnn110cajpr1, BDR33JSCLS18, bc, 1.98, 125, vih, S, low, 0, 1.261
onnn110cajpr1, BDR33JSCLS18, bc, 1.98, 125, vih, S, high, 0, 1.333
onnn110cajpr1, BDR33JSCLS18, bc, 1.98, 125, vil, S, low, 0, 0.990
onnn110cajpr1, BDR33JSCLS18, bc, 1.98, 125, vil, S, high, 0, 1.058
onnn110cajpr1, BDR33JSCLS18, bc, 1.98, 125, iih, no_mode, low, 0, -8.152e-08
onnn110cajpr1, BDR33JSCLS18, bc, 1.98, 125, iih, no_mode, high, 0, -2.176e-08
onnn110cajpr1, BDR33JSCLS18, bc, 1.98, 125, iil, no_mode, low, 0, 1.23e-07
onnn110cajpr1, BDR33JSCLS18, bc, 1.98, 125, iil, no_mode, high, 0, 1.208e-06
onnn110cajpr1, BDR33JSCLS18, bc, 1.98, 125, ioh, no_mode, single, 12, -0.01501
onnn110cajpr1, BDR33JSCLS18, bc, 1.98, 125, iol, no_mode, single, 12, 0.01422
onnn110cajpr1, BDR33JSCULS18, bc, 1.98, 125, vhys, no_mode, low, 0, 0.259
onnn110cajpr1, BDR33JSCULS18, bc, 1.98, 125, vhys, no_mode, high, 0, 0.301
onnn110cajpr1, BDR33JSCULS18, bc, 1.98, 125, vih, S, low, 0, 1.238
onnn110cajpr1, BDR33JSCULS18, bc, 1.98, 125, vih, S, high, 0, 1.310
onnn110cajpr1, BDR33JSCULS18, bc, 1.98, 125, vil, S, low, 0, 0.961
onnn110cajpr1, BDR33JSCULS18, bc, 1.98, 125, vil, S, high, 0, 1.027
onnn110cajpr1, BDR33JSCULS18, bc, 1.98, 125, iih, no_mode, low, 0, -8.152e-08
onnn110cajpr1, BDR33JSCULS18, bc, 1.98, 125, iih, no_mode, high, 0, -2.176e-08
onnn110cajpr1, BDR33JSCULS18, bc, 1.98, 125, iil, no_mode, low, 0, 1.24e-07
onnn110cajpr1, BDR33JSCULS18, bc, 1.98, 125, iil, no_mode, high, 0, 1.209e-06
onnn110cajpr1, BDR33JSCULS18, bc, 1.98, 125, ipu, no_mode, single, 0, -0.00013
onnn110cajpr1, BDR33JSCULS18, bc, 1.98, 125, ioh, no_mode, single, 12, -0.01502
onnn110cajpr1, BDR33JSCULS18, bc, 1.98, 125, iol, no_mode, single, 12, 0.01419
onnn110cajpr1, BDR50JCDLS18, bc, 1.98, 125, vih, no_mode, low, 0, 0.989
onnn110cajpr1, BDR50JCDLS18, bc, 1.98, 125, vih, no_mode, high, 0, 1.092
onnn110cajpr1, BDR50JCDLS18, bc, 1.98, 125, vil, no_mode, low, 0, 0.989
onnn110cajpr1, BDR50JCDLS18, bc, 1.98, 125, vil, no_mode, high, 0, 1.092
onnn110cajpr1, BDR50JCDLS18, bc, 1.98, 125, iih, no_mode, low, 0, -8.159e-08
onnn110cajpr1, BDR50JCDLS18, bc, 1.98, 125, iih, no_mode, high, 0, -2.177e-08
onnn110cajpr1, BDR50JCDLS18, bc, 1.98, 125, iil, no_mode, low, 0, 1.23e-07
onnn110cajpr1, BDR50JCDLS18, bc, 1.98, 125, iil, no_mode, high, 0, 1.208e-06
onnn110cajpr1, BDR50JCDLS18, bc, 1.98, 125, ipd, no_mode, single, 0, 0.000185
onnn110cajpr1, BDR50JCDLS18, bc, 1.98, 125, ioh, no_mode, single, 8, -0.01037
onnn110cajpr1, BDR50JCDLS18, bc, 1.98, 125, iol, no_mode, single, 8, 0.009853
onnn110cajpr1, BDR50JCLS18, bc, 1.98, 125, vih, no_mode, low, 0, 0.943
onnn110cajpr1, BDR50JCLS18, bc, 1.98, 125, vih, no_mode, high, 0, 1.054
onnn110cajpr1, BDR50JCLS18, bc, 1.98, 125, vil, no_mode, low, 0, 0.943
onnn110cajpr1, BDR50JCLS18, bc, 1.98, 125, vil, no_mode, high, 0, 1.054
onnn110cajpr1, BDR50JCLS18, bc, 1.98, 125, iih, no_mode, low, 0, -8.152e-08
onnn110cajpr1, BDR50JCLS18, bc, 1.98, 125, iih, no_mode, high, 0, -2.176e-08
onnn110cajpr1, BDR50JCLS18, bc, 1.98, 125, iil, no_mode, low, 0, 1.23e-07
onnn110cajpr1, BDR50JCLS18, bc, 1.98, 125, iil, no_mode, high, 0, 1.208e-06
onnn110cajpr1, BDR50JCLS18, bc, 1.98, 125, ioh, no_mode, single, 8, -0.01044
onnn110cajpr1, BDR50JCLS18, bc, 1.98, 125, iol, no_mode, single, 8, 0.009816
onnn110cajpr1, BDR50JCULS18, bc, 1.98, 125, vih, no_mode, low, 0, 0.913
onnn110cajpr1, BDR50JCULS18, bc, 1.98, 125, vih, no_mode, high, 0, 1.024
onnn110cajpr1, BDR50JCULS18, bc, 1.98, 125, vil, no_mode, low, 0, 0.913
onnn110cajpr1, BDR50JCULS18, bc, 1.98, 125, vil, no_mode, high, 0, 1.024
onnn110cajpr1, BDR50JCULS18, bc, 1.98, 125, iih, no_mode, low, 0, -8.152e-08
onnn110cajpr1, BDR50JCULS18, bc, 1.98, 125, iih, no_mode, high, 0, -2.176e-08
onnn110cajpr1, BDR50JCULS18, bc, 1.98, 125, iil, no_mode, low, 0, 1.24e-07
onnn110cajpr1, BDR50JCULS18, bc, 1.98, 125, iil, no_mode, high, 0, 1.209e-06
onnn110cajpr1, BDR50JCULS18, bc, 1.98, 125, ipu, no_mode, single, 0, -0.00013
onnn110cajpr1, BDR50JCULS18, bc, 1.98, 125, ioh, no_mode, single, 8, -0.01045
onnn110cajpr1, BDR50JCULS18, bc, 1.98, 125, iol, no_mode, single, 8, 0.009761
onnn110cajpr1, BDR50JSCDLS18, bc, 1.98, 125, vhys, no_mode, low, 0, 0.255
onnn110cajpr1, BDR50JSCDLS18, bc, 1.98, 125, vhys, no_mode, high, 0, 0.296
onnn110cajpr1, BDR50JSCDLS18, bc, 1.98, 125, vih, S, low, 0, 1.306
onnn110cajpr1, BDR50JSCDLS18, bc, 1.98, 125, vih, S, high, 0, 1.369
onnn110cajpr1, BDR50JSCDLS18, bc, 1.98, 125, vil, S, low, 0, 1.032
onnn110cajpr1, BDR50JSCDLS18, bc, 1.98, 125, vil, S, high, 0, 1.092
onnn110cajpr1, BDR50JSCDLS18, bc, 1.98, 125, iih, no_mode, low, 0, -8.158e-08
onnn110cajpr1, BDR50JSCDLS18, bc, 1.98, 125, iih, no_mode, high, 0, -2.177e-08
onnn110cajpr1, BDR50JSCDLS18, bc, 1.98, 125, iil, no_mode, low, 0, 1.23e-07
onnn110cajpr1, BDR50JSCDLS18, bc, 1.98, 125, iil, no_mode, high, 0, 1.208e-06
onnn110cajpr1, BDR50JSCDLS18, bc, 1.98, 125, ipd, no_mode, single, 0, 0.000183
onnn110cajpr1, BDR50JSCDLS18, bc, 1.98, 125, ioh, no_mode, single, 8, -0.01037
onnn110cajpr1, BDR50JSCDLS18, bc, 1.98, 125, iol, no_mode, single, 8, 0.009853
onnn110cajpr1, BDR50JSCLS18, bc, 1.98, 125, vhys, no_mode, low, 0, 0.255
onnn110cajpr1, BDR50JSCLS18, bc, 1.98, 125, vhys, no_mode, high, 0, 0.296
onnn110cajpr1, BDR50JSCLS18, bc, 1.98, 125, vih, S, low, 0, 1.260
onnn110cajpr1, BDR50JSCLS18, bc, 1.98, 125, vih, S, high, 0, 1.332
onnn110cajpr1, BDR50JSCLS18, bc, 1.98, 125, vil, S, low, 0, 0.987
onnn110cajpr1, BDR50JSCLS18, bc, 1.98, 125, vil, S, high, 0, 1.055
onnn110cajpr1, BDR50JSCLS18, bc, 1.98, 125, iih, no_mode, low, 0, -8.152e-08
onnn110cajpr1, BDR50JSCLS18, bc, 1.98, 125, iih, no_mode, high, 0, -2.176e-08
onnn110cajpr1, BDR50JSCLS18, bc, 1.98, 125, iil, no_mode, low, 0, 1.23e-07
onnn110cajpr1, BDR50JSCLS18, bc, 1.98, 125, iil, no_mode, high, 0, 1.208e-06
onnn110cajpr1, BDR50JSCLS18, bc, 1.98, 125, ioh, no_mode, single, 8, -0.01044
onnn110cajpr1, BDR50JSCLS18, bc, 1.98, 125, iol, no_mode, single, 8, 0.009816
onnn110cajpr1, BDR50JSCULS18, bc, 1.98, 125, vhys, no_mode, low, 0, 0.259
onnn110cajpr1, BDR50JSCULS18, bc, 1.98, 125, vhys, no_mode, high, 0, 0.301
onnn110cajpr1, BDR50JSCULS18, bc, 1.98, 125, vih, S, low, 0, 1.237
onnn110cajpr1, BDR50JSCULS18, bc, 1.98, 125, vih, S, high, 0, 1.309
onnn110cajpr1, BDR50JSCULS18, bc, 1.98, 125, vil, S, low, 0, 0.960
onnn110cajpr1, BDR50JSCULS18, bc, 1.98, 125, vil, S, high, 0, 1.027
onnn110cajpr1, BDR50JSCULS18, bc, 1.98, 125, iih, no_mode, low, 0, -8.152e-08
onnn110cajpr1, BDR50JSCULS18, bc, 1.98, 125, iih, no_mode, high, 0, -2.176e-08
