LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn110caopc3, ibacs6c3_c3, bc, 3.63, 125, vhys, no_mode, low, 0, 0.484
onnn110caopc3, ibacs6c3_c3, bc, 3.63, 125, vhys, no_mode, high, 0, 0.510
onnn110caopc3, ibacs6c3_c3, bc, 3.63, 125, vih, S, low, 0, 1.707
onnn110caopc3, ibacs6c3_c3, bc, 3.63, 125, vih, S, high, 0, 1.781
onnn110caopc3, ibacs6c3_c3, bc, 3.63, 125, vil, S, low, 0, 1.203
onnn110caopc3, ibacs6c3_c3, bc, 3.63, 125, vil, S, high, 0, 1.288
onnn110caopc3, ibacs6c3_c3, bc, 3.63, 125, iih, no_mode, low, 0, -3.22e-10
onnn110caopc3, ibacs6c3_c3, bc, 3.63, 125, iih, no_mode, high, 0, -1.05e-10
onnn110caopc3, ibacs6c3_c3, bc, 3.63, 125, iil, no_mode, low, 0, 1.75e-10
onnn110caopc3, ibacs6c3_c3, bc, 3.63, 125, iil, no_mode, high, 0, 1.141e-09
onnn110caopc3, ibacs6c3_c3, bc, 3.63, 125, ipd, 0, single, 0, 7.503e-05
onnn110caopc3, ibacs6c3_c3, bc, 3.63, 125, ipu, 3, single, 0, -7.446e-05
onnn110caopc3, ibacs6c3_c3, bc, 3.63, 125, ibkpu, 2, single, 0, -2.235e-05
onnn110caopc3, ibacs6c3_c3, bc, 3.63, 125, ibkpd, 2, single, 0, 2.251e-05
onnn110caopc3, ibacs6xx_c3, bc, 3.63, 125, vhys, no_mode, low, 0, 0.484
onnn110caopc3, ibacs6xx_c3, bc, 3.63, 125, vhys, no_mode, high, 0, 0.510
onnn110caopc3, ibacs6xx_c3, bc, 3.63, 125, vih, S, low, 0, 1.707
onnn110caopc3, ibacs6xx_c3, bc, 3.63, 125, vih, S, high, 0, 1.781
onnn110caopc3, ibacs6xx_c3, bc, 3.63, 125, vil, S, low, 0, 1.203
onnn110caopc3, ibacs6xx_c3, bc, 3.63, 125, vil, S, high, 0, 1.288
onnn110caopc3, ibacs6xx_c3, bc, 3.63, 125, iih, no_mode, low, 0, -2.8e-10
onnn110caopc3, ibacs6xx_c3, bc, 3.63, 125, iih, no_mode, high, 0, -9.826e-11
onnn110caopc3, ibacs6xx_c3, bc, 3.63, 125, iil, no_mode, low, 0, 2.781e-11
onnn110caopc3, ibacs6xx_c3, bc, 3.63, 125, iil, no_mode, high, 0, 6.276e-11
onnn110caopc3, ibacx6c3_c3, bc, 3.63, 125, vih, no_mode, low, 0, 1.455
onnn110caopc3, ibacx6c3_c3, bc, 3.63, 125, vih, no_mode, high, 0, 1.574
onnn110caopc3, ibacx6c3_c3, bc, 3.63, 125, vil, no_mode, low, 0, 1.455
onnn110caopc3, ibacx6c3_c3, bc, 3.63, 125, vil, no_mode, high, 0, 1.574
onnn110caopc3, ibacx6c3_c3, bc, 3.63, 125, iih, no_mode, low, 0, -3.22e-10
onnn110caopc3, ibacx6c3_c3, bc, 3.63, 125, iih, no_mode, high, 0, -1.05e-10
onnn110caopc3, ibacx6c3_c3, bc, 3.63, 125, iil, no_mode, low, 0, 1.75e-10
onnn110caopc3, ibacx6c3_c3, bc, 3.63, 125, iil, no_mode, high, 0, 1.141e-09
onnn110caopc3, ibacx6c3_c3, bc, 3.63, 125, ipd, 0, single, 0, 7.503e-05
onnn110caopc3, ibacx6c3_c3, bc, 3.63, 125, ipu, 3, single, 0, -7.446e-05
onnn110caopc3, ibacx6c3_c3, bc, 3.63, 125, ibkpu, 2, single, 0, -2.235e-05
onnn110caopc3, ibacx6c3_c3, bc, 3.63, 125, ibkpd, 2, single, 0, 2.251e-05
onnn110caopc3, ibacx6xx_c3, bc, 3.63, 125, vih, no_mode, low, 0, 1.455
onnn110caopc3, ibacx6xx_c3, bc, 3.63, 125, vih, no_mode, high, 0, 1.574
onnn110caopc3, ibacx6xx_c3, bc, 3.63, 125, vil, no_mode, low, 0, 1.455
onnn110caopc3, ibacx6xx_c3, bc, 3.63, 125, vil, no_mode, high, 0, 1.574
onnn110caopc3, ibacx6xx_c3, bc, 3.63, 125, iih, no_mode, low, 0, -2.8e-10
onnn110caopc3, ibacx6xx_c3, bc, 3.63, 125, iih, no_mode, high, 0, -9.826e-11
onnn110caopc3, ibacx6xx_c3, bc, 3.63, 125, iil, no_mode, low, 0, 2.781e-11
onnn110caopc3, ibacx6xx_c3, bc, 3.63, 125, iil, no_mode, high, 0, 6.276e-11
onnn110caopc3, ioacs6c3cpxe02_c3, bc, 3.63, 125, vhys, no_mode, low, 0, 0.484
onnn110caopc3, ioacs6c3cpxe02_c3, bc, 3.63, 125, vhys, no_mode, high, 0, 0.510
onnn110caopc3, ioacs6c3cpxe02_c3, bc, 3.63, 125, vih, S, low, 0, 1.707
onnn110caopc3, ioacs6c3cpxe02_c3, bc, 3.63, 125, vih, S, high, 0, 1.781
onnn110caopc3, ioacs6c3cpxe02_c3, bc, 3.63, 125, vil, S, low, 0, 1.203
onnn110caopc3, ioacs6c3cpxe02_c3, bc, 3.63, 125, vil, S, high, 0, 1.288
onnn110caopc3, ioacs6c3cpxe02_c3, bc, 3.63, 125, iih, no_mode, low, 0, -1.795e-09
onnn110caopc3, ioacs6c3cpxe02_c3, bc, 3.63, 125, iih, no_mode, high, 0, -5.42e-10
onnn110caopc3, ioacs6c3cpxe02_c3, bc, 3.63, 125, iil, no_mode, low, 0, 9.222e-09
onnn110caopc3, ioacs6c3cpxe02_c3, bc, 3.63, 125, iil, no_mode, high, 0, 4.858e-08
onnn110caopc3, ioacs6c3cpxe02_c3, bc, 3.63, 125, ipd, 0, single, 0, 7.503e-05
onnn110caopc3, ioacs6c3cpxe02_c3, bc, 3.63, 125, ipu, 3, single, 0, -7.451e-05
onnn110caopc3, ioacs6c3cpxe02_c3, bc, 3.63, 125, ibkpu, 2, single, 0, -2.238e-05
onnn110caopc3, ioacs6c3cpxe02_c3, bc, 3.63, 125, ibkpd, 2, single, 0, 2.248e-05
onnn110caopc3, ioacs6c3cpxe02_c3, bc, 3.63, 125, ioh, no_mode, single, 2, -0.003025
onnn110caopc3, ioacs6c3cpxe02_c3, bc, 3.63, 125, iol, no_mode, single, 2, 0.003074
onnn110caopc3, ioacs6c3cpxe04_c3, bc, 3.63, 125, vhys, no_mode, low, 0, 0.484
onnn110caopc3, ioacs6c3cpxe04_c3, bc, 3.63, 125, vhys, no_mode, high, 0, 0.510
onnn110caopc3, ioacs6c3cpxe04_c3, bc, 3.63, 125, vih, S, low, 0, 1.707
onnn110caopc3, ioacs6c3cpxe04_c3, bc, 3.63, 125, vih, S, high, 0, 1.781
onnn110caopc3, ioacs6c3cpxe04_c3, bc, 3.63, 125, vil, S, low, 0, 1.203
onnn110caopc3, ioacs6c3cpxe04_c3, bc, 3.63, 125, vil, S, high, 0, 1.288
onnn110caopc3, ioacs6c3cpxe04_c3, bc, 3.63, 125, iih, no_mode, low, 0, -1.795e-09
onnn110caopc3, ioacs6c3cpxe04_c3, bc, 3.63, 125, iih, no_mode, high, 0, -5.42e-10
onnn110caopc3, ioacs6c3cpxe04_c3, bc, 3.63, 125, iil, no_mode, low, 0, 9.222e-09
onnn110caopc3, ioacs6c3cpxe04_c3, bc, 3.63, 125, iil, no_mode, high, 0, 4.858e-08
onnn110caopc3, ioacs6c3cpxe04_c3, bc, 3.63, 125, ipd, 0, single, 0, 7.503e-05
onnn110caopc3, ioacs6c3cpxe04_c3, bc, 3.63, 125, ipu, 3, single, 0, -7.451e-05
onnn110caopc3, ioacs6c3cpxe04_c3, bc, 3.63, 125, ibkpu, 2, single, 0, -2.238e-05
onnn110caopc3, ioacs6c3cpxe04_c3, bc, 3.63, 125, ibkpd, 2, single, 0, 2.248e-05
onnn110caopc3, ioacs6c3cpxe04_c3, bc, 3.63, 125, ioh, no_mode, single, 4, -0.006046
