LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn110cxjpgb, IOGBGFLXRTRIM5, bc, 1.32, 0, iih, no_mode, low, 0, -5.521e-08
onnn110cxjpgb, IOGBGFLXRTRIM5, bc, 1.32, 0, iih, no_mode, high, 0, -1.315e-09
onnn110cxjpgb, IOGBGFLXRTRIM5, bc, 1.32, 0, iil, no_mode, low, 0, 9.061e-11
onnn110cxjpgb, IOGBGFLXRTRIM5, bc, 1.32, 0, iil, no_mode, high, 0, 3.63e-10
onnn110cxjpgb, IOGBGFLXRXBUF7, bc, 1.32, 0, iih, no_mode, low, 0, -2.733e-09
onnn110cxjpgb, IOGBGFLXRXBUF7, bc, 1.32, 0, iih, no_mode, high, 0, -1.89e-10
onnn110cxjpgb, IOGBGFLXRXBUF7, bc, 1.32, 0, iil, no_mode, low, 0, 1.32e-12
onnn110cxjpgb, IOGBGFLXRXBUF7, bc, 1.32, 0, iil, no_mode, high, 0, 1.32e-12
onnn110cxjpgb, IOGBGFLXTXBUF2, bc, 1.32, 0, iih, no_mode, low, 0, -1.32e-12
onnn110cxjpgb, IOGBGFLXTXBUF2, bc, 1.32, 0, iih, no_mode, high, 0, -1.32e-12
onnn110cxjpgb, IOGBGFLXTXBUF2, bc, 1.32, 0, iil, no_mode, low, 0, 1.32e-12
onnn110cxjpgb, IOGBGFLXTXBUF2, bc, 1.32, 0, iil, no_mode, high, 0, 1.32e-12
onnn110cxjpgb, IOGBGFLXVXX1, bc, 1.32, 0, iih, no_mode, low, 0, 0
onnn110cxjpgb, IOGBGFLXVXX1, bc, 1.32, 0, iih, no_mode, high, 0, 0
onnn110cxjpgb, IOGBGFLXVXX1, bc, 1.32, 0, iil, no_mode, low, 0, 0
onnn110cxjpgb, IOGBGFLXVXX1, bc, 1.32, 0, iil, no_mode, high, 0, 0
onnn110cxjpgb, IOGBGFLXRTRIM5, bc, 1.32, -40, iih, no_mode, low, 0, -6.623e-09
onnn110cxjpgb, IOGBGFLXRTRIM5, bc, 1.32, -40, iih, no_mode, high, 0, -1.12e-10
onnn110cxjpgb, IOGBGFLXRTRIM5, bc, 1.32, -40, iil, no_mode, low, 0, 8.538e-11
onnn110cxjpgb, IOGBGFLXRTRIM5, bc, 1.32, -40, iil, no_mode, high, 0, 3.42e-10
onnn110cxjpgb, IOGBGFLXRXBUF7, bc, 1.32, -40, iih, no_mode, low, 0, -3.49e-10
onnn110cxjpgb, IOGBGFLXRXBUF7, bc, 1.32, -40, iih, no_mode, high, 0, -1.38e-10
onnn110cxjpgb, IOGBGFLXRXBUF7, bc, 1.32, -40, iil, no_mode, low, 0, 1.32e-12
onnn110cxjpgb, IOGBGFLXRXBUF7, bc, 1.32, -40, iil, no_mode, high, 0, 1.32e-12
onnn110cxjpgb, IOGBGFLXTXBUF2, bc, 1.32, -40, iih, no_mode, low, 0, -1.32e-12
onnn110cxjpgb, IOGBGFLXTXBUF2, bc, 1.32, -40, iih, no_mode, high, 0, -1.32e-12
onnn110cxjpgb, IOGBGFLXTXBUF2, bc, 1.32, -40, iil, no_mode, low, 0, 1.32e-12
onnn110cxjpgb, IOGBGFLXTXBUF2, bc, 1.32, -40, iil, no_mode, high, 0, 1.32e-12
onnn110cxjpgb, IOGBGFLXVXX1, bc, 1.32, -40, iih, no_mode, low, 0, 0
onnn110cxjpgb, IOGBGFLXVXX1, bc, 1.32, -40, iih, no_mode, high, 0, 0
onnn110cxjpgb, IOGBGFLXVXX1, bc, 1.32, -40, iil, no_mode, low, 0, 0
onnn110cxjpgb, IOGBGFLXVXX1, bc, 1.32, -40, iil, no_mode, high, 0, 0
onnn110cxjpgb, IOGBGFLXRTRIM5, bc, 1.32, -55, iih, no_mode, low, 0, -2.475e-09
onnn110cxjpgb, IOGBGFLXRTRIM5, bc, 1.32, -55, iih, no_mode, high, 0, -4.764e-11
onnn110cxjpgb, IOGBGFLXRTRIM5, bc, 1.32, -55, iil, no_mode, low, 0, 8.351e-11
