LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn110cxjpl2, LVDSINRSJLS25, bc, 2.75, -40, iih, no_mode, high, 0, -1.576e-06
onnn110cxjpl2, LVDSINRSJLS25, bc, 2.75, -40, iih, no_mode, low, 0, -2.725e-06
onnn110cxjpl2, LVDSINRSJLS25, bc, 2.75, -40, iil, no_mode, high, 0, 3.98e-10
onnn110cxjpl2, LVDSINRSJLS25, bc, 2.75, -40, iil, no_mode, low, 0, 2.61e-10
onnn110cxjpl2, LVDSINRSJLS25, bc, 2.75, -55, iih, no_mode, high, 0, -1.631e-06
onnn110cxjpl2, LVDSINRSJLS25, bc, 2.75, -55, iih, no_mode, low, 0, -2.85e-06
onnn110cxjpl2, LVDSINRSJLS25, bc, 2.75, -55, iil, no_mode, high, 0, 3.68e-10
onnn110cxjpl2, LVDSINRSJLS25, bc, 2.75, -55, iil, no_mode, low, 0, 2.62e-10
onnn110cxjpl2, LVDSINRSJLS25, bc, 2.75, 0, iih, no_mode, high, 0, -1.462e-06
onnn110cxjpl2, LVDSINRSJLS25, bc, 2.75, 0, iih, no_mode, low, 0, -2.465e-06
onnn110cxjpl2, LVDSINRSJLS25, bc, 2.75, 0, iil, no_mode, high, 0, 1.63e-09
onnn110cxjpl2, LVDSINRSJLS25, bc, 2.75, 0, iil, no_mode, low, 0, 2.66e-10
onnn110cxjpl2, LVDSINRSJLS25, bc, 2.75, 150, iih, no_mode, high, 0, -1.445e-06
onnn110cxjpl2, LVDSINRSJLS25, bc, 2.75, 150, iih, no_mode, low, 0, -2.394e-06
onnn110cxjpl2, LVDSINRSJLS25, bc, 2.75, 150, iil, no_mode, high, 0, 2.262e-06
onnn110cxjpl2, LVDSINRSJLS25, bc, 2.75, 150, iil, no_mode, low, 0, 4.63e-07
onnn110cxjpl2, LVDSINRSJLS25, tc, 2.5, 25, iih, no_mode, high, 0, -9.17e-07
onnn110cxjpl2, LVDSINRSJLS25, tc, 2.5, 25, iih, no_mode, low, 0, -1.641e-06
onnn110cxjpl2, LVDSINRSJLS25, tc, 2.5, 25, iil, no_mode, high, 0, 6.734e-09
onnn110cxjpl2, LVDSINRSJLS25, tc, 2.5, 25, iil, no_mode, low, 0, 2.79e-10
onnn110cxjpl2, LVDSINRSJLS25, wc, 2.25, -55, iih, no_mode, high, 0, -5.01e-07
onnn110cxjpl2, LVDSINRSJLS25, wc, 2.25, -55, iih, no_mode, low, 0, -1.133e-06
onnn110cxjpl2, LVDSINRSJLS25, wc, 2.25, -55, iil, no_mode, high, 0, 2.65e-10
onnn110cxjpl2, LVDSINRSJLS25, wc, 2.25, -55, iil, no_mode, low, 0, 2.03e-10
onnn110cxjpl2, LVDSINRSJLS25, wc, 2.25, 125, iih, no_mode, high, 0, -6.18e-07
onnn110cxjpl2, LVDSINRSJLS25, wc, 2.25, 125, iih, no_mode, low, 0, -1.129e-06
onnn110cxjpl2, LVDSINRSJLS25, wc, 2.25, 125, iil, no_mode, high, 0, 7.13e-07
onnn110cxjpl2, LVDSINRSJLS25, wc, 2.25, 125, iil, no_mode, low, 0, 5.903e-08
onnn110cxjpl2, LVDSINRSJLS25, wc, 2.25, 150, iih, no_mode, high, 0, -7.61e-07
onnn110cxjpl2, LVDSINRSJLS25, wc, 2.25, 150, iih, no_mode, low, 0, -1.324e-06
onnn110cxjpl2, LVDSINRSJLS25, wc, 2.25, 150, iil, no_mode, high, 0, 1.947e-06
onnn110cxjpl2, LVDSINRSJLS25, wc, 2.25, 150, iil, no_mode, low, 0, 4.54e-07
onnn110cxjpl2, LVDSINRSJLS25, wc, 2.25, 95, iih, no_mode, high, 0, -5.71e-07
onnn110cxjpl2, LVDSINRSJLS25, wc, 2.25, 95, iih, no_mode, low, 0, -1.065e-06
onnn110cxjpl2, LVDSINRSJLS25, wc, 2.25, 95, iil, no_mode, high, 0, 2.14e-07
onnn110cxjpl2, LVDSINRSJLS25, wc, 2.25, 95, iil, no_mode, low, 0, 6.244e-09
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, -40, iih, no_mode, high, 0, -5.05e-10
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, -40, iih, no_mode, low, 0, -6.84e-10
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, -40, iil, no_mode, high, 0, 1.5e-10
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, -40, iil, no_mode, low, 0, 1.28e-10
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, -40, ioh, 0, single, 1, -0.0035
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, -40, ioh, 1, single, 1, -0.005644
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, -40, iol, 0, single, 1, 0.002919
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, -40, iol, 1, single, 1, 0.004611
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, -55, iih, no_mode, high, 0, -5.02e-10
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, -55, iih, no_mode, low, 0, -6.72e-10
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, -55, iil, no_mode, high, 0, 1.39e-10
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, -55, iil, no_mode, low, 0, 1.08e-10
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, -55, ioh, 0, single, 1, -0.003505
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, -55, ioh, 1, single, 1, -0.005658
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, -55, iol, 0, single, 1, 0.002907
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, -55, iol, 1, single, 1, 0.004581
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, 0, iih, no_mode, high, 0, -5.18e-10
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, 0, iih, no_mode, low, 0, -8.18e-10
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, 0, iil, no_mode, high, 0, 3.06e-10
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, 0, iil, no_mode, low, 0, 1.65e-10
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, 0, ioh, 0, single, 1, -0.003493
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, 0, ioh, 1, single, 1, -0.005619
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, 0, iol, 0, single, 1, 0.00295
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, 0, iol, 1, single, 1, 0.004684
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, 150, iih, no_mode, high, 0, -1.94e-07
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, 150, iih, no_mode, low, 0, -3.15e-07
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, 150, iil, no_mode, high, 0, 7.95e-07
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, 150, iil, no_mode, low, 0, 3.14e-07
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, 150, ioh, 0, single, 1, -0.00351
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, 150, ioh, 1, single, 1, -0.005606
onnn110cxjpl2, LVDSOUTRJLS25V1, bc, 2.75, 150, iol, 0, single, 1, 0.003042
