LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn110cxjpqx, PECLCMLINDIFFJPLS33, bc, 3.63, 150, iih, no_mode, low, 0, -1.43e-07
onnn110cxjpqx, PECLCMLINDIFFJPLS33, bc, 3.63, 150, iih, no_mode, high, 0, -1.23e-07
onnn110cxjpqx, PECLCMLINDIFFJPLS33, bc, 3.63, 150, iil, no_mode, low, 0, 3.21e-07
onnn110cxjpqx, PECLCMLINDIFFJPLS33, bc, 3.63, 150, iil, no_mode, high, 0, 2.248e-06
onnn110cxjpqx, PECLCMLINDIFFRJPLS33, bc, 3.63, 150, iih, no_mode, low, 0, -2.84e-07
onnn110cxjpqx, PECLCMLINDIFFRJPLS33, bc, 3.63, 150, iih, no_mode, high, 0, -2.46e-07
onnn110cxjpqx, PECLCMLINDIFFRJPLS33, bc, 3.63, 150, iil, no_mode, low, 0, 6.41e-07
onnn110cxjpqx, PECLCMLINDIFFRJPLS33, bc, 3.63, 150, iil, no_mode, high, 0, 4.496e-06
onnn110cxjpqx, PECLINDIFFJPLS33, bc, 3.63, 150, iih, no_mode, low, 0, -1.43e-07
onnn110cxjpqx, PECLINDIFFJPLS33, bc, 3.63, 150, iih, no_mode, high, 0, -1.23e-07
onnn110cxjpqx, PECLINDIFFJPLS33, bc, 3.63, 150, iil, no_mode, low, 0, 3.21e-07
onnn110cxjpqx, PECLINDIFFJPLS33, bc, 3.63, 150, iil, no_mode, high, 0, 2.248e-06
onnn110cxjpqx, PECLINDIFFMATCHJPLS33, bc, 3.63, 150, iih, no_mode, low, 0, -1.43e-07
onnn110cxjpqx, PECLINDIFFMATCHJPLS33, bc, 3.63, 150, iih, no_mode, high, 0, -1.23e-07
onnn110cxjpqx, PECLINDIFFMATCHJPLS33, bc, 3.63, 150, iil, no_mode, low, 0, 3.21e-07
onnn110cxjpqx, PECLINDIFFMATCHJPLS33, bc, 3.63, 150, iil, no_mode, high, 0, 2.248e-06
onnn110cxjpqx, PECLINDIFFNJPLS33, bc, 3.63, 150, iih, no_mode, low, 0, -1.43e-07
onnn110cxjpqx, PECLINDIFFNJPLS33, bc, 3.63, 150, iih, no_mode, high, 0, -1.23e-07
onnn110cxjpqx, PECLINDIFFNJPLS33, bc, 3.63, 150, iil, no_mode, low, 0, 3.21e-07
onnn110cxjpqx, PECLINDIFFNJPLS33, bc, 3.63, 150, iil, no_mode, high, 0, 2.248e-06
onnn110cxjpqx, PECLINJPLS33, bc, 3.63, 150, iih, no_mode, low, 0, -1.43e-07
onnn110cxjpqx, PECLINJPLS33, bc, 3.63, 150, iih, no_mode, high, 0, -1.23e-07
onnn110cxjpqx, PECLINJPLS33, bc, 3.63, 150, iil, no_mode, low, 0, 3.21e-07
onnn110cxjpqx, PECLINJPLS33, bc, 3.63, 150, iil, no_mode, high, 0, 2.248e-06
onnn110cxjpqx, PECLINNJPLS33, bc, 3.63, 150, iih, no_mode, low, 0, -1.43e-07
onnn110cxjpqx, PECLINNJPLS33, bc, 3.63, 150, iih, no_mode, high, 0, -1.23e-07
onnn110cxjpqx, PECLINNJPLS33, bc, 3.63, 150, iil, no_mode, low, 0, 3.21e-07
onnn110cxjpqx, PECLINNJPLS33, bc, 3.63, 150, iil, no_mode, high, 0, 2.248e-06
onnn110cxjpqx, PECLCMLINDIFFJPLS33, wc, 2.97, -55, iih, no_mode, low, 0, -1.87e-10
onnn110cxjpqx, PECLCMLINDIFFJPLS33, wc, 2.97, -55, iih, no_mode, high, 0, -1.87e-10
onnn110cxjpqx, PECLCMLINDIFFJPLS33, wc, 2.97, -55, iil, no_mode, low, 0, 7.129e-11
onnn110cxjpqx, PECLCMLINDIFFJPLS33, wc, 2.97, -55, iil, no_mode, high, 0, 7.618e-11
onnn110cxjpqx, PECLCMLINDIFFRJPLS33, wc, 2.97, -55, iih, no_mode, low, 0, -2.31e-10
onnn110cxjpqx, PECLCMLINDIFFRJPLS33, wc, 2.97, -55, iih, no_mode, high, 0, -2.3e-10
onnn110cxjpqx, PECLCMLINDIFFRJPLS33, wc, 2.97, -55, iil, no_mode, low, 0, 1.43e-10
onnn110cxjpqx, PECLCMLINDIFFRJPLS33, wc, 2.97, -55, iil, no_mode, high, 0, 1.52e-10
onnn110cxjpqx, PECLINDIFFJPLS33, wc, 2.97, -55, iih, no_mode, low, 0, -1.87e-10
onnn110cxjpqx, PECLINDIFFJPLS33, wc, 2.97, -55, iih, no_mode, high, 0, -1.86e-10
onnn110cxjpqx, PECLINDIFFJPLS33, wc, 2.97, -55, iil, no_mode, low, 0, 7.129e-11
onnn110cxjpqx, PECLINDIFFJPLS33, wc, 2.97, -55, iil, no_mode, high, 0, 7.618e-11
onnn110cxjpqx, PECLINDIFFMATCHJPLS33, wc, 2.97, -55, iih, no_mode, low, 0, -1.87e-10
onnn110cxjpqx, PECLINDIFFMATCHJPLS33, wc, 2.97, -55, iih, no_mode, high, 0, -1.86e-10
onnn110cxjpqx, PECLINDIFFMATCHJPLS33, wc, 2.97, -55, iil, no_mode, low, 0, 7.129e-11
onnn110cxjpqx, PECLINDIFFMATCHJPLS33, wc, 2.97, -55, iil, no_mode, high, 0, 7.618e-11
onnn110cxjpqx, PECLINDIFFNJPLS33, wc, 2.97, -55, iih, no_mode, low, 0, -1.87e-10
onnn110cxjpqx, PECLINDIFFNJPLS33, wc, 2.97, -55, iih, no_mode, high, 0, -1.86e-10
onnn110cxjpqx, PECLINDIFFNJPLS33, wc, 2.97, -55, iil, no_mode, low, 0, 7.129e-11
onnn110cxjpqx, PECLINDIFFNJPLS33, wc, 2.97, -55, iil, no_mode, high, 0, 7.618e-11
onnn110cxjpqx, PECLINJPLS33, wc, 2.97, -55, iih, no_mode, low, 0, -1.87e-10
onnn110cxjpqx, PECLINJPLS33, wc, 2.97, -55, iih, no_mode, high, 0, -1.86e-10
onnn110cxjpqx, PECLINJPLS33, wc, 2.97, -55, iil, no_mode, low, 0, 7.129e-11
onnn110cxjpqx, PECLINJPLS33, wc, 2.97, -55, iil, no_mode, high, 0, 7.618e-11
onnn110cxjpqx, PECLINNJPLS33, wc, 2.97, -55, iih, no_mode, low, 0, -1.87e-10
onnn110cxjpqx, PECLINNJPLS33, wc, 2.97, -55, iih, no_mode, high, 0, -1.86e-10
onnn110cxjpqx, PECLINNJPLS33, wc, 2.97, -55, iil, no_mode, low, 0, 7.129e-11
onnn110cxjpqx, PECLINNJPLS33, wc, 2.97, -55, iil, no_mode, high, 0, 7.618e-11
onnn110cxjpqx, PECLCMLINDIFFJPLS33, bc, 3.63, 0, iih, no_mode, low, 0, -2.4e-10
onnn110cxjpqx, PECLCMLINDIFFJPLS33, bc, 3.63, 0, iih, no_mode, high, 0, -2.36e-10
onnn110cxjpqx, PECLCMLINDIFFJPLS33, bc, 3.63, 0, iil, no_mode, low, 0, 9.488e-11
onnn110cxjpqx, PECLCMLINDIFFJPLS33, bc, 3.63, 0, iil, no_mode, high, 0, 1.489e-09
onnn110cxjpqx, PECLCMLINDIFFRJPLS33, bc, 3.63, 0, iih, no_mode, low, 0, -3.06e-10
onnn110cxjpqx, PECLCMLINDIFFRJPLS33, bc, 3.63, 0, iih, no_mode, high, 0, -2.98e-10
