LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn110cxjpr2, BDR25JCDLS25, bc, 1.98, 150, vih, no_mode, low, 0, 0.945
onnn110cxjpr2, BDR25JCDLS25, bc, 1.98, 150, vih, no_mode, high, 0, 1.007
onnn110cxjpr2, BDR25JCDLS25, bc, 1.98, 150, vil, no_mode, low, 0, 0.945
onnn110cxjpr2, BDR25JCDLS25, bc, 1.98, 150, vil, no_mode, high, 0, 1.007
onnn110cxjpr2, BDR25JCDLS25, bc, 1.98, 150, iih, no_mode, low, 0, -6.41e-07
onnn110cxjpr2, BDR25JCDLS25, bc, 1.98, 150, iih, no_mode, high, 0, -9.134e-08
onnn110cxjpr2, BDR25JCDLS25, bc, 1.98, 150, iil, no_mode, low, 0, 3.02e-07
onnn110cxjpr2, BDR25JCDLS25, bc, 1.98, 150, iil, no_mode, high, 0, 1.066e-06
onnn110cxjpr2, BDR25JCDLS25, bc, 1.98, 150, ipd, no_mode, single, 0, 0.0002
onnn110cxjpr2, BDR25JCDLS25, bc, 1.98, 150, ioh, no_mode, single, 16, -0.01817
onnn110cxjpr2, BDR25JCDLS25, bc, 1.98, 150, iol, no_mode, single, 16, 0.01806
onnn110cxjpr2, BDR25JCLS25, bc, 1.98, 150, vih, no_mode, low, 0, 0.902
onnn110cxjpr2, BDR25JCLS25, bc, 1.98, 150, vih, no_mode, high, 0, 0.971
onnn110cxjpr2, BDR25JCLS25, bc, 1.98, 150, vil, no_mode, low, 0, 0.902
onnn110cxjpr2, BDR25JCLS25, bc, 1.98, 150, vil, no_mode, high, 0, 0.971
onnn110cxjpr2, BDR25JCLS25, bc, 1.98, 150, iih, no_mode, low, 0, -6.41e-07
onnn110cxjpr2, BDR25JCLS25, bc, 1.98, 150, iih, no_mode, high, 0, -9.131e-08
onnn110cxjpr2, BDR25JCLS25, bc, 1.98, 150, iil, no_mode, low, 0, 3.02e-07
onnn110cxjpr2, BDR25JCLS25, bc, 1.98, 150, iil, no_mode, high, 0, 1.066e-06
onnn110cxjpr2, BDR25JCLS25, bc, 1.98, 150, ioh, no_mode, single, 16, -0.01824
onnn110cxjpr2, BDR25JCLS25, bc, 1.98, 150, iol, no_mode, single, 16, 0.01804
onnn110cxjpr2, BDR25JCULS25, bc, 1.98, 150, vih, no_mode, low, 0, 0.890
onnn110cxjpr2, BDR25JCULS25, bc, 1.98, 150, vih, no_mode, high, 0, 0.958
onnn110cxjpr2, BDR25JCULS25, bc, 1.98, 150, vil, no_mode, low, 0, 0.890
onnn110cxjpr2, BDR25JCULS25, bc, 1.98, 150, vil, no_mode, high, 0, 0.957
onnn110cxjpr2, BDR25JCULS25, bc, 1.98, 150, iih, no_mode, low, 0, -6.41e-07
onnn110cxjpr2, BDR25JCULS25, bc, 1.98, 150, iih, no_mode, high, 0, -9.132e-08
onnn110cxjpr2, BDR25JCULS25, bc, 1.98, 150, iil, no_mode, low, 0, 3.02e-07
onnn110cxjpr2, BDR25JCULS25, bc, 1.98, 150, iil, no_mode, high, 0, 1.067e-06
onnn110cxjpr2, BDR25JCULS25, bc, 1.98, 150, ipu, no_mode, single, 0, -6.741e-05
onnn110cxjpr2, BDR25JCULS25, bc, 1.98, 150, ioh, no_mode, single, 16, -0.01824
onnn110cxjpr2, BDR25JCULS25, bc, 1.98, 150, iol, no_mode, single, 16, 0.01802
onnn110cxjpr2, BDR25JSCDLS25, bc, 1.98, 150, vhys, no_mode, low, 0, 0.265
onnn110cxjpr2, BDR25JSCDLS25, bc, 1.98, 150, vhys, no_mode, high, 0, 0.330
onnn110cxjpr2, BDR25JSCDLS25, bc, 1.98, 150, vih, S, low, 0, 1.236
onnn110cxjpr2, BDR25JSCDLS25, bc, 1.98, 150, vih, S, high, 0, 1.285
onnn110cxjpr2, BDR25JSCDLS25, bc, 1.98, 150, vil, S, low, 0, 0.936
onnn110cxjpr2, BDR25JSCDLS25, bc, 1.98, 150, vil, S, high, 0, 0.995
onnn110cxjpr2, BDR25JSCDLS25, bc, 1.98, 150, iih, no_mode, low, 0, -6.41e-07
onnn110cxjpr2, BDR25JSCDLS25, bc, 1.98, 150, iih, no_mode, high, 0, -9.134e-08
onnn110cxjpr2, BDR25JSCDLS25, bc, 1.98, 150, iil, no_mode, low, 0, 3.02e-07
onnn110cxjpr2, BDR25JSCDLS25, bc, 1.98, 150, iil, no_mode, high, 0, 1.066e-06
onnn110cxjpr2, BDR25JSCDLS25, bc, 1.98, 150, ipd, no_mode, single, 0, 0.0002
onnn110cxjpr2, BDR25JSCDLS25, bc, 1.98, 150, ioh, no_mode, single, 16, -0.01817
onnn110cxjpr2, BDR25JSCDLS25, bc, 1.98, 150, iol, no_mode, single, 16, 0.01806
onnn110cxjpr2, BDR25JSCLS25, bc, 1.98, 150, vhys, no_mode, low, 0, 0.264
onnn110cxjpr2, BDR25JSCLS25, bc, 1.98, 150, vhys, no_mode, high, 0, 0.329
onnn110cxjpr2, BDR25JSCLS25, bc, 1.98, 150, vih, S, low, 0, 1.192
onnn110cxjpr2, BDR25JSCLS25, bc, 1.98, 150, vih, S, high, 0, 1.248
onnn110cxjpr2, BDR25JSCLS25, bc, 1.98, 150, vil, S, low, 0, 0.894
onnn110cxjpr2, BDR25JSCLS25, bc, 1.98, 150, vil, S, high, 0, 0.956
onnn110cxjpr2, BDR25JSCLS25, bc, 1.98, 150, iih, no_mode, low, 0, -6.41e-07
onnn110cxjpr2, BDR25JSCLS25, bc, 1.98, 150, iih, no_mode, high, 0, -9.131e-08
onnn110cxjpr2, BDR25JSCLS25, bc, 1.98, 150, iil, no_mode, low, 0, 3.02e-07
onnn110cxjpr2, BDR25JSCLS25, bc, 1.98, 150, iil, no_mode, high, 0, 1.066e-06
onnn110cxjpr2, BDR25JSCLS25, bc, 1.98, 150, ioh, no_mode, single, 16, -0.01824
onnn110cxjpr2, BDR25JSCLS25, bc, 1.98, 150, iol, no_mode, single, 16, 0.01804
onnn110cxjpr2, BDR25JSCULS25, bc, 1.98, 150, vhys, no_mode, low, 0, 0.267
onnn110cxjpr2, BDR25JSCULS25, bc, 1.98, 150, vhys, no_mode, high, 0, 0.332
onnn110cxjpr2, BDR25JSCULS25, bc, 1.98, 150, vih, S, low, 0, 1.182
onnn110cxjpr2, BDR25JSCULS25, bc, 1.98, 150, vih, S, high, 0, 1.238
onnn110cxjpr2, BDR25JSCULS25, bc, 1.98, 150, vil, S, low, 0, 0.881
onnn110cxjpr2, BDR25JSCULS25, bc, 1.98, 150, vil, S, high, 0, 0.944
onnn110cxjpr2, BDR25JSCULS25, bc, 1.98, 150, iih, no_mode, low, 0, -6.41e-07
onnn110cxjpr2, BDR25JSCULS25, bc, 1.98, 150, iih, no_mode, high, 0, -9.131e-08
onnn110cxjpr2, BDR25JSCULS25, bc, 1.98, 150, iil, no_mode, low, 0, 3.02e-07
onnn110cxjpr2, BDR25JSCULS25, bc, 1.98, 150, iil, no_mode, high, 0, 1.067e-06
onnn110cxjpr2, BDR25JSCULS25, bc, 1.98, 150, ipu, no_mode, single, 0, -6.741e-05
onnn110cxjpr2, BDR25JSCULS25, bc, 1.98, 150, ioh, no_mode, single, 16, -0.01824
onnn110cxjpr2, BDR25JSCULS25, bc, 1.98, 150, iol, no_mode, single, 16, 0.01802
onnn110cxjpr2, BDR33JCDLS25, bc, 1.98, 150, vih, no_mode, low, 0, 0.948
onnn110cxjpr2, BDR33JCDLS25, bc, 1.98, 150, vih, no_mode, high, 0, 1.009
onnn110cxjpr2, BDR33JCDLS25, bc, 1.98, 150, vil, no_mode, low, 0, 0.948
onnn110cxjpr2, BDR33JCDLS25, bc, 1.98, 150, vil, no_mode, high, 0, 1.009
onnn110cxjpr2, BDR33JCDLS25, bc, 1.98, 150, iih, no_mode, low, 0, -6.41e-07
onnn110cxjpr2, BDR33JCDLS25, bc, 1.98, 150, iih, no_mode, high, 0, -9.134e-08
onnn110cxjpr2, BDR33JCDLS25, bc, 1.98, 150, iil, no_mode, low, 0, 3.02e-07
onnn110cxjpr2, BDR33JCDLS25, bc, 1.98, 150, iil, no_mode, high, 0, 1.066e-06
onnn110cxjpr2, BDR33JCDLS25, bc, 1.98, 150, ipd, no_mode, single, 0, 0.000203
onnn110cxjpr2, BDR33JCDLS25, bc, 1.98, 150, ioh, no_mode, single, 12, -0.01336
onnn110cxjpr2, BDR33JCDLS25, bc, 1.98, 150, iol, no_mode, single, 12, 0.01316
onnn110cxjpr2, BDR33JCLS25, bc, 1.98, 150, vih, no_mode, low, 0, 0.902
onnn110cxjpr2, BDR33JCLS25, bc, 1.98, 150, vih, no_mode, high, 0, 0.971
onnn110cxjpr2, BDR33JCLS25, bc, 1.98, 150, vil, no_mode, low, 0, 0.902
onnn110cxjpr2, BDR33JCLS25, bc, 1.98, 150, vil, no_mode, high, 0, 0.971
onnn110cxjpr2, BDR33JCLS25, bc, 1.98, 150, iih, no_mode, low, 0, -6.41e-07
onnn110cxjpr2, BDR33JCLS25, bc, 1.98, 150, iih, no_mode, high, 0, -9.131e-08
onnn110cxjpr2, BDR33JCLS25, bc, 1.98, 150, iil, no_mode, low, 0, 3.02e-07
onnn110cxjpr2, BDR33JCLS25, bc, 1.98, 150, iil, no_mode, high, 0, 1.066e-06
onnn110cxjpr2, BDR33JCLS25, bc, 1.98, 150, ioh, no_mode, single, 12, -0.01341
onnn110cxjpr2, BDR33JCLS25, bc, 1.98, 150, iol, no_mode, single, 12, 0.01315
onnn110cxjpr2, BDR33JCULS25, bc, 1.98, 150, vih, no_mode, low, 0, 0.889
