LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn110cxjpra, DDRVREFLS15, bc, 1.65, -40, iih, no_mode, low, 0, -1.03e-10
onnn110cxjpra, DDRVREFLS15, bc, 1.65, -40, iih, no_mode, high, 0, -9.929e-11
onnn110cxjpra, DDRVREFLS15, bc, 1.65, -40, iil, no_mode, low, 0, 3.96e-11
onnn110cxjpra, DDRVREFLS15, bc, 1.65, -40, iil, no_mode, high, 0, 4.053e-11
onnn110cxjpra, DDRVREFLS15, bc, 1.65, -55, iih, no_mode, low, 0, -9.97e-11
onnn110cxjpra, DDRVREFLS15, bc, 1.65, -55, iih, no_mode, high, 0, -9.915e-11
onnn110cxjpra, DDRVREFLS15, bc, 1.65, -55, iil, no_mode, low, 0, 3.96e-11
onnn110cxjpra, DDRVREFLS15, bc, 1.65, -55, iil, no_mode, high, 0, 3.972e-11
onnn110cxjpra, DDRVREFLS15, tc, 1.5, 25, iih, no_mode, low, 0, -8.4e-10
onnn110cxjpra, DDRVREFLS15, tc, 1.5, 25, iih, no_mode, high, 0, -1.08e-10
onnn110cxjpra, DDRVREFLS15, tc, 1.5, 25, iil, no_mode, low, 0, 4.172e-11
onnn110cxjpra, DDRVREFLS15, tc, 1.5, 25, iil, no_mode, high, 0, 5.95e-10
onnn110cxjpra, DDRVREFLS15, wc, 1.35, 125, iih, no_mode, low, 0, -1.21e-07
onnn110cxjpra, DDRVREFLS15, wc, 1.35, 125, iih, no_mode, high, 0, -1.884e-08
onnn110cxjpra, DDRVREFLS15, wc, 1.35, 125, iil, no_mode, low, 0, 3.308e-08
onnn110cxjpra, DDRVREFLS15, wc, 1.35, 125, iil, no_mode, high, 0, 2.05e-07
onnn110cxjpra, DDRVREFLS15, wc, 1.35, 150, iih, no_mode, low, 0, -3.33e-07
onnn110cxjpra, DDRVREFLS15, wc, 1.35, 150, iih, no_mode, high, 0, -8.017e-08
onnn110cxjpra, DDRVREFLS15, wc, 1.35, 150, iil, no_mode, low, 0, 2.96e-07
onnn110cxjpra, DDRVREFLS15, wc, 1.35, 150, iil, no_mode, high, 0, 7.76e-07
