LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn110cxjprb, SCHMITJ, bc, 1.32, -40, vhys, no_mode, low, 0, 0.168
onnn110cxjprb, SCHMITJ, bc, 1.32, -40, vhys, no_mode, high, 0, 0.218
onnn110cxjprb, SCHMITJ, bc, 1.32, -40, vih, S, low, 0, 0.724
onnn110cxjprb, SCHMITJ, bc, 1.32, -40, vih, S, high, 0, 0.767
onnn110cxjprb, SCHMITJ, bc, 1.32, -40, vil, S, low, 0, 0.545
onnn110cxjprb, SCHMITJ, bc, 1.32, -40, vil, S, high, 0, 0.568
onnn110cxjprb, SCHMITJ, bc, 1.32, -40, iih, no_mode, low, 0, -4.88e-09
onnn110cxjprb, SCHMITJ, bc, 1.32, -40, iih, no_mode, high, 0, -9.122e-11
onnn110cxjprb, SCHMITJ, bc, 1.32, -40, iil, no_mode, low, 0, 1.128e-11
onnn110cxjprb, SCHMITJ, bc, 1.32, -40, iil, no_mode, high, 0, 3.741e-11
onnn110cxjprb, SCHMITJ, bc, 1.32, -55, vhys, no_mode, low, 0, 0.170
onnn110cxjprb, SCHMITJ, bc, 1.32, -55, vhys, no_mode, high, 0, 0.220
onnn110cxjprb, SCHMITJ, bc, 1.32, -55, vih, S, low, 0, 0.724
onnn110cxjprb, SCHMITJ, bc, 1.32, -55, vih, S, high, 0, 0.766
onnn110cxjprb, SCHMITJ, bc, 1.32, -55, vil, S, low, 0, 0.543
onnn110cxjprb, SCHMITJ, bc, 1.32, -55, vil, S, high, 0, 0.566
onnn110cxjprb, SCHMITJ, bc, 1.32, -55, iih, no_mode, low, 0, -1.991e-09
onnn110cxjprb, SCHMITJ, bc, 1.32, -55, iih, no_mode, high, 0, -7.383e-11
onnn110cxjprb, SCHMITJ, bc, 1.32, -55, iil, no_mode, low, 0, 1.114e-11
onnn110cxjprb, SCHMITJ, bc, 1.32, -55, iil, no_mode, high, 0, 3.703e-11
onnn110cxjprb, SCHMITJ, tc, 1.2, 25, vhys, no_mode, low, 0, 0.151
onnn110cxjprb, SCHMITJ, tc, 1.2, 25, vhys, no_mode, high, 0, 0.202
onnn110cxjprb, SCHMITJ, tc, 1.2, 25, vih, S, low, 0, 0.661
onnn110cxjprb, SCHMITJ, tc, 1.2, 25, vih, S, high, 0, 0.706
onnn110cxjprb, SCHMITJ, tc, 1.2, 25, vil, S, low, 0, 0.499
onnn110cxjprb, SCHMITJ, tc, 1.2, 25, vil, S, high, 0, 0.523
onnn110cxjprb, SCHMITJ, tc, 1.2, 25, iih, no_mode, low, 0, -8.999e-08
onnn110cxjprb, SCHMITJ, tc, 1.2, 25, iih, no_mode, high, 0, -1.427e-09
onnn110cxjprb, SCHMITJ, tc, 1.2, 25, iil, no_mode, low, 0, 8.403e-12
onnn110cxjprb, SCHMITJ, tc, 1.2, 25, iil, no_mode, high, 0, 2.675e-11
onnn110cxjprb, SCHMITJ, wc, 1.08, 125, vhys, no_mode, low, 0, 0.120
onnn110cxjprb, SCHMITJ, wc, 1.08, 125, vhys, no_mode, high, 0, 0.165
onnn110cxjprb, SCHMITJ, wc, 1.08, 125, vih, S, low, 0, 0.588
onnn110cxjprb, SCHMITJ, wc, 1.08, 125, vih, S, high, 0, 0.630
onnn110cxjprb, SCHMITJ, wc, 1.08, 125, vil, S, low, 0, 0.458
onnn110cxjprb, SCHMITJ, wc, 1.08, 125, vil, S, high, 0, 0.484
onnn110cxjprb, SCHMITJ, wc, 1.08, 125, iih, no_mode, low, 0, -1.395e-06
onnn110cxjprb, SCHMITJ, wc, 1.08, 125, iih, no_mode, high, 0, -6.21e-08
onnn110cxjprb, SCHMITJ, wc, 1.08, 125, iil, no_mode, low, 0, 1.55e-10
onnn110cxjprb, SCHMITJ, wc, 1.08, 125, iil, no_mode, high, 0, 2.21e-10
onnn110cxjprb, SCHMITJ, wc, 1.08, 150, vhys, no_mode, low, 0, 0.115
onnn110cxjprb, SCHMITJ, wc, 1.08, 150, vhys, no_mode, high, 0, 0.158
onnn110cxjprb, SCHMITJ, wc, 1.08, 150, vih, S, low, 0, 0.585
onnn110cxjprb, SCHMITJ, wc, 1.08, 150, vih, S, high, 0, 0.627
onnn110cxjprb, SCHMITJ, wc, 1.08, 150, vil, S, low, 0, 0.461
onnn110cxjprb, SCHMITJ, wc, 1.08, 150, vil, S, high, 0, 0.487
onnn110cxjprb, SCHMITJ, wc, 1.08, 150, iih, no_mode, low, 0, -2.318e-06
onnn110cxjprb, SCHMITJ, wc, 1.08, 150, iih, no_mode, high, 0, -1.25e-07
onnn110cxjprb, SCHMITJ, wc, 1.08, 150, iil, no_mode, low, 0, 1.369e-09
onnn110cxjprb, SCHMITJ, wc, 1.08, 150, iil, no_mode, high, 0, 1.864e-09
