LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn110cxjprt, BDR25JCDF5PLS33V1, bc, 1.98, -40, vih, no_mode, low, 0, 0.925
onnn110cxjprt, BDR25JCDF5PLS33V1, bc, 1.98, -40, vih, no_mode, high, 0, 0.997
onnn110cxjprt, BDR25JCDF5PLS33V1, bc, 1.98, -40, vil, no_mode, low, 0, 0.925
onnn110cxjprt, BDR25JCDF5PLS33V1, bc, 1.98, -40, vil, no_mode, high, 0, 0.997
onnn110cxjprt, BDR25JCDF5PLS33V1, bc, 1.98, -40, iih, no_mode, low, 0, -2.38e-10
onnn110cxjprt, BDR25JCDF5PLS33V1, bc, 1.98, -40, iih, no_mode, high, 0, -2.32e-10
onnn110cxjprt, BDR25JCDF5PLS33V1, bc, 1.98, -40, iil, no_mode, low, 0, 1.25e-10
onnn110cxjprt, BDR25JCDF5PLS33V1, bc, 1.98, -40, iil, no_mode, high, 0, 1.51e-10
onnn110cxjprt, BDR25JCDF5PLS33V1, bc, 1.98, -40, ipd, no_mode, single, 0, 6.566e-05
onnn110cxjprt, BDR25JCDF5PLS33V1, bc, 1.98, -40, ioh, no_mode, single, 16, -0.02429
onnn110cxjprt, BDR25JCDF5PLS33V1, bc, 1.98, -40, iol, no_mode, single, 16, 0.02105
onnn110cxjprt, BDR25JCF5PLS33V1, bc, 1.98, -40, vih, no_mode, low, 0, 0.911
onnn110cxjprt, BDR25JCF5PLS33V1, bc, 1.98, -40, vih, no_mode, high, 0, 0.984
onnn110cxjprt, BDR25JCF5PLS33V1, bc, 1.98, -40, vil, no_mode, low, 0, 0.911
onnn110cxjprt, BDR25JCF5PLS33V1, bc, 1.98, -40, vil, no_mode, high, 0, 0.984
onnn110cxjprt, BDR25JCF5PLS33V1, bc, 1.98, -40, iih, no_mode, low, 0, -2.33e-10
onnn110cxjprt, BDR25JCF5PLS33V1, bc, 1.98, -40, iih, no_mode, high, 0, -2.28e-10
onnn110cxjprt, BDR25JCF5PLS33V1, bc, 1.98, -40, iil, no_mode, low, 0, 1.25e-10
