LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, 150, iih, no_mode, low, 0, -9.74e-07
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, 150, iih, no_mode, high, 0, -8.914e-08
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, 150, iil, no_mode, low, 0, 4.57e-07
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, 150, iil, no_mode, high, 0, 2.302e-06
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, 150, ioh, no_mode, single, 1, -0.02332
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, 150, iol, no_mode, single, 1, 0.02553
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, 150, vih, no_mode, low, 0, 0.946
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, 150, vih, no_mode, high, 0, 0.947
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, 150, vil, no_mode, low, 0, 0.945
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, 150, vil, no_mode, high, 0, 0.947
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, 150, iih, no_mode, low, 0, -9.74e-07
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, 150, iih, no_mode, high, 0, -8.914e-08
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, 150, iil, no_mode, low, 0, 4.57e-07
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, 150, iil, no_mode, high, 0, 2.302e-06
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, 150, ioh, no_mode, single, 1, -0.02332
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, 150, iol, no_mode, single, 1, 0.02553
onnn110cxjpu1, DDRVREFSSTL18LS18, bc, 1.9, 150, iih, no_mode, low, 0, -5.49e-07
onnn110cxjpu1, DDRVREFSSTL18LS18, bc, 1.9, 150, iih, no_mode, high, 0, -7.868e-08
onnn110cxjpu1, DDRVREFSSTL18LS18, bc, 1.9, 150, iil, no_mode, low, 0, 3.01e-07
onnn110cxjpu1, DDRVREFSSTL18LS18, bc, 1.9, 150, iil, no_mode, high, 0, 1.026e-06
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, wc, 1.7, -55, iih, no_mode, low, 0, -2.22e-10
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, wc, 1.7, -55, iih, no_mode, high, 0, -2.21e-10
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, wc, 1.7, -55, iil, no_mode, low, 0, 1.49e-10
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, wc, 1.7, -55, iil, no_mode, high, 0, 1.51e-10
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, wc, 1.7, -55, ioh, no_mode, single, 1, -0.02245
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, wc, 1.7, -55, iol, no_mode, single, 1, 0.02363
onnn110cxjpu1, BDZSSTLI8I13JLS18, wc, 1.7, -55, vih, no_mode, low, 0, 0.847
onnn110cxjpu1, BDZSSTLI8I13JLS18, wc, 1.7, -55, vih, no_mode, high, 0, 0.849
onnn110cxjpu1, BDZSSTLI8I13JLS18, wc, 1.7, -55, vil, no_mode, low, 0, 0.847
onnn110cxjpu1, BDZSSTLI8I13JLS18, wc, 1.7, -55, vil, no_mode, high, 0, 0.849
onnn110cxjpu1, BDZSSTLI8I13JLS18, wc, 1.7, -55, iih, no_mode, low, 0, -2.22e-10
onnn110cxjpu1, BDZSSTLI8I13JLS18, wc, 1.7, -55, iih, no_mode, high, 0, -2.21e-10
onnn110cxjpu1, BDZSSTLI8I13JLS18, wc, 1.7, -55, iil, no_mode, low, 0, 1.5e-10
onnn110cxjpu1, BDZSSTLI8I13JLS18, wc, 1.7, -55, iil, no_mode, high, 0, 1.51e-10
onnn110cxjpu1, BDZSSTLI8I13JLS18, wc, 1.7, -55, ioh, no_mode, single, 1, -0.02245
onnn110cxjpu1, BDZSSTLI8I13JLS18, wc, 1.7, -55, iol, no_mode, single, 1, 0.02363
onnn110cxjpu1, DDRVREFSSTL18LS18, wc, 1.7, -55, iih, no_mode, low, 0, -1.09e-10
onnn110cxjpu1, DDRVREFSSTL18LS18, wc, 1.7, -55, iih, no_mode, high, 0, -1.09e-10
onnn110cxjpu1, DDRVREFSSTL18LS18, wc, 1.7, -55, iil, no_mode, low, 0, 4.08e-11
onnn110cxjpu1, DDRVREFSSTL18LS18, wc, 1.7, -55, iil, no_mode, high, 0, 4.092e-11
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, 0, iih, no_mode, low, 0, -6.83e-10
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, 0, iih, no_mode, high, 0, -2.49e-10
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, 0, iil, no_mode, low, 0, 1.7e-10
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, 0, iil, no_mode, high, 0, 5.22e-10
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, 0, ioh, no_mode, single, 1, -0.03157
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, 0, iol, no_mode, single, 1, 0.03292
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, 0, vih, no_mode, low, 0, 0.946
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, 0, vih, no_mode, high, 0, 0.948
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, 0, vil, no_mode, low, 0, 0.947
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, 0, vil, no_mode, high, 0, 0.948
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, 0, iih, no_mode, low, 0, -6.83e-10
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, 0, iih, no_mode, high, 0, -2.49e-10
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, 0, iil, no_mode, low, 0, 1.7e-10
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, 0, iil, no_mode, high, 0, 5.22e-10
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, 0, ioh, no_mode, single, 1, -0.03157
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, 0, iol, no_mode, single, 1, 0.03292
onnn110cxjpu1, DDRVREFSSTL18LS18, bc, 1.9, 0, iih, no_mode, low, 0, -3.56e-10
onnn110cxjpu1, DDRVREFSSTL18LS18, bc, 1.9, 0, iih, no_mode, high, 0, -1.23e-10
onnn110cxjpu1, DDRVREFSSTL18LS18, bc, 1.9, 0, iil, no_mode, low, 0, 4.625e-11
onnn110cxjpu1, DDRVREFSSTL18LS18, bc, 1.9, 0, iil, no_mode, high, 0, 1.36e-10
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, -40, iih, no_mode, low, 0, -2.58e-10
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, -40, iih, no_mode, high, 0, -2.47e-10
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, -40, iil, no_mode, low, 0, 1.67e-10
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, -40, iil, no_mode, high, 0, 1.77e-10
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, -40, ioh, no_mode, single, 1, -0.03516
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, -40, iol, no_mode, single, 1, 0.03552
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, -40, vih, no_mode, low, 0, 0.947
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, -40, vih, no_mode, high, 0, 0.948
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, -40, vil, no_mode, low, 0, 0.947
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, -40, vil, no_mode, high, 0, 0.948
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, -40, iih, no_mode, low, 0, -2.58e-10
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, -40, iih, no_mode, high, 0, -2.47e-10
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, -40, iil, no_mode, low, 0, 1.67e-10
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, -40, iil, no_mode, high, 0, 1.77e-10
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, -40, ioh, no_mode, single, 1, -0.03516
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, -40, iol, no_mode, single, 1, 0.03552
onnn110cxjpu1, DDRVREFSSTL18LS18, bc, 1.9, -40, iih, no_mode, low, 0, -1.27e-10
onnn110cxjpu1, DDRVREFSSTL18LS18, bc, 1.9, -40, iih, no_mode, high, 0, -1.22e-10
onnn110cxjpu1, DDRVREFSSTL18LS18, bc, 1.9, -40, iil, no_mode, low, 0, 4.56e-11
onnn110cxjpu1, DDRVREFSSTL18LS18, bc, 1.9, -40, iil, no_mode, high, 0, 4.675e-11
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, -55, iih, no_mode, low, 0, -2.49e-10
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, -55, iih, no_mode, high, 0, -2.47e-10
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, -55, iil, no_mode, low, 0, 1.67e-10
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, -55, iil, no_mode, high, 0, 1.69e-10
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, -55, ioh, no_mode, single, 1, -0.03683
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, bc, 1.9, -55, iol, no_mode, single, 1, 0.03658
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, -55, vih, no_mode, low, 0, 0.947
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, -55, vih, no_mode, high, 0, 0.948
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, -55, vil, no_mode, low, 0, 0.947
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, -55, vil, no_mode, high, 0, 0.948
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, -55, iih, no_mode, low, 0, -2.49e-10
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, -55, iih, no_mode, high, 0, -2.47e-10
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, -55, iil, no_mode, low, 0, 1.67e-10
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, -55, iil, no_mode, high, 0, 1.69e-10
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, -55, ioh, no_mode, single, 1, -0.03683
onnn110cxjpu1, BDZSSTLI8I13JLS18, bc, 1.9, -55, iol, no_mode, single, 1, 0.03658
onnn110cxjpu1, DDRVREFSSTL18LS18, bc, 1.9, -55, iih, no_mode, low, 0, -1.23e-10
onnn110cxjpu1, DDRVREFSSTL18LS18, bc, 1.9, -55, iih, no_mode, high, 0, -1.22e-10
onnn110cxjpu1, DDRVREFSSTL18LS18, bc, 1.9, -55, iil, no_mode, low, 0, 4.56e-11
onnn110cxjpu1, DDRVREFSSTL18LS18, bc, 1.9, -55, iil, no_mode, high, 0, 4.575e-11
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, tc, 1.8, 25, iih, no_mode, low, 0, -2.518e-09
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, tc, 1.8, 25, iih, no_mode, high, 0, -2.59e-10
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, tc, 1.8, 25, iil, no_mode, low, 0, 1.81e-10
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, tc, 1.8, 25, iil, no_mode, high, 0, 2.464e-09
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, tc, 1.8, 25, ioh, no_mode, single, 1, -0.02371
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, tc, 1.8, 25, iol, no_mode, single, 1, 0.02552
onnn110cxjpu1, BDZSSTLI8I13JLS18, tc, 1.8, 25, vih, no_mode, low, 0, 0.897
onnn110cxjpu1, BDZSSTLI8I13JLS18, tc, 1.8, 25, vih, no_mode, high, 0, 0.898
onnn110cxjpu1, BDZSSTLI8I13JLS18, tc, 1.8, 25, vil, no_mode, low, 0, 0.897
onnn110cxjpu1, BDZSSTLI8I13JLS18, tc, 1.8, 25, vil, no_mode, high, 0, 0.898
onnn110cxjpu1, BDZSSTLI8I13JLS18, tc, 1.8, 25, iih, no_mode, low, 0, -2.518e-09
onnn110cxjpu1, BDZSSTLI8I13JLS18, tc, 1.8, 25, iih, no_mode, high, 0, -2.59e-10
onnn110cxjpu1, BDZSSTLI8I13JLS18, tc, 1.8, 25, iil, no_mode, low, 0, 1.81e-10
onnn110cxjpu1, BDZSSTLI8I13JLS18, tc, 1.8, 25, iil, no_mode, high, 0, 2.464e-09
onnn110cxjpu1, BDZSSTLI8I13JLS18, tc, 1.8, 25, ioh, no_mode, single, 1, -0.02371
onnn110cxjpu1, BDZSSTLI8I13JLS18, tc, 1.8, 25, iol, no_mode, single, 1, 0.02552
onnn110cxjpu1, DDRVREFSSTL18LS18, tc, 1.8, 25, iih, no_mode, low, 0, -1.336e-09
onnn110cxjpu1, DDRVREFSSTL18LS18, tc, 1.8, 25, iih, no_mode, high, 0, -1.34e-10
onnn110cxjpu1, DDRVREFSSTL18LS18, tc, 1.8, 25, iil, no_mode, low, 0, 5.023e-11
onnn110cxjpu1, DDRVREFSSTL18LS18, tc, 1.8, 25, iil, no_mode, high, 0, 7.56e-10
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, wc, 1.7, 125, iih, no_mode, low, 0, -3.2e-07
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, wc, 1.7, 125, iih, no_mode, high, 0, -2.207e-08
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, wc, 1.7, 125, iil, no_mode, low, 0, 5.574e-08
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, wc, 1.7, 125, iil, no_mode, high, 0, 6.43e-07
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, wc, 1.7, 125, ioh, no_mode, single, 1, -0.01533
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, wc, 1.7, 125, iol, no_mode, single, 1, 0.01588
onnn110cxjpu1, BDZSSTLI8I13JLS18, wc, 1.7, 125, vih, no_mode, low, 0, 0.846
onnn110cxjpu1, BDZSSTLI8I13JLS18, wc, 1.7, 125, vih, no_mode, high, 0, 0.847
onnn110cxjpu1, BDZSSTLI8I13JLS18, wc, 1.7, 125, vil, no_mode, low, 0, 0.846
onnn110cxjpu1, BDZSSTLI8I13JLS18, wc, 1.7, 125, vil, no_mode, high, 0, 0.847
onnn110cxjpu1, BDZSSTLI8I13JLS18, wc, 1.7, 125, iih, no_mode, low, 0, -3.2e-07
onnn110cxjpu1, BDZSSTLI8I13JLS18, wc, 1.7, 125, iih, no_mode, high, 0, -2.207e-08
onnn110cxjpu1, BDZSSTLI8I13JLS18, wc, 1.7, 125, iil, no_mode, low, 0, 5.574e-08
onnn110cxjpu1, BDZSSTLI8I13JLS18, wc, 1.7, 125, iil, no_mode, high, 0, 6.43e-07
onnn110cxjpu1, BDZSSTLI8I13JLS18, wc, 1.7, 125, ioh, no_mode, single, 1, -0.01533
onnn110cxjpu1, BDZSSTLI8I13JLS18, wc, 1.7, 125, iol, no_mode, single, 1, 0.01588
onnn110cxjpu1, DDRVREFSSTL18LS18, wc, 1.7, 125, iih, no_mode, low, 0, -1.75e-07
onnn110cxjpu1, DDRVREFSSTL18LS18, wc, 1.7, 125, iih, no_mode, high, 0, -1.864e-08
onnn110cxjpu1, DDRVREFSSTL18LS18, wc, 1.7, 125, iil, no_mode, low, 0, 3.42e-08
onnn110cxjpu1, DDRVREFSSTL18LS18, wc, 1.7, 125, iil, no_mode, high, 0, 2.61e-07
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, wc, 1.7, 150, iih, no_mode, low, 0, -8.05e-07
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, wc, 1.7, 150, iih, no_mode, high, 0, -8.623e-08
onnn110cxjpu1, BDZSSTLI8I13DIFFJLS18, wc, 1.7, 150, iil, no_mode, low, 0, 4.52e-07
