LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, vih, no_mode, low, 0, 1.358
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, vih, no_mode, high, 0, 1.365
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, vil, no_mode, low, 0, 1.358
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, vil, no_mode, high, 0, 1.365
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, iih, no_mode, low, 0, -2.97e-10
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, iih, no_mode, high, 0, -2.02e-10
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, iil, no_mode, low, 0, 9.273e-11
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, iil, no_mode, high, 0, 4.03e-10
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, ioh, no_mode, single, 1, -0.01712
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, iol, no_mode, single, 1, 0.01846
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, iolshort, 0, single, 1, 0.02212
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, iolshort, 1, single, 1, 0.001145
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, iolshort, 2, single, 1, 0.002218
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, iolshort, 3, single, 1, 0.004435
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, iolshort, 4, single, 1, 0.00887
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, iolshort, 5, single, 1, 0.0177
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, iolshort, 6, single, 1, 0.03312
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, iolshort, 7, single, 1, 0.001725
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, iolshort, 8, single, 1, 0.003363
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, iolshort, 9, single, 1, 0.006653
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, iolshort, 10, single, 1, 0.0133
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, iolshort, 11, single, 1, 0.02651
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, iohshort, 0, single, 1, -0.02507
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, iohshort, 1, single, 1, -0.001035
onnn110cxjpux, BDZSSTL9DDRJLS25, bc, 2.7, 0, iohshort, 2, single, 1, -0.002122
