LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn110xuopfd, ib_failsafe_fd, bc, 1.98, 125, vih, no_mode, low, 0, 0.902
onnn110xuopfd, ib_failsafe_fd, bc, 1.98, 125, vih, no_mode, high, 0, 1.077
onnn110xuopfd, ib_failsafe_fd, bc, 1.98, 125, vil, no_mode, low, 0, 0.902
onnn110xuopfd, ib_failsafe_fd, bc, 1.98, 125, vil, no_mode, high, 0, 1.077
onnn110xuopfd, ib_failsafe_fd, bc, 1.98, 125, iih, no_mode, low, 0, -5.016e-08
onnn110xuopfd, ib_failsafe_fd, bc, 1.98, 125, iih, no_mode, high, 0, -1.775e-09
onnn110xuopfd, ib_failsafe_fd, bc, 1.98, 125, iil, no_mode, low, 0, 3.863e-09
onnn110xuopfd, ib_failsafe_fd, bc, 1.98, 125, iil, no_mode, high, 0, 1.509e-08
onnn110xuopfd, ib_failsafe_pull_fd, bc, 1.98, 125, vhys, no_mode, low, 0, 0.286
onnn110xuopfd, ib_failsafe_pull_fd, bc, 1.98, 125, vhys, no_mode, high, 0, 0.346
onnn110xuopfd, ib_failsafe_pull_fd, bc, 1.98, 125, vih, S, low, 0, 1.118
onnn110xuopfd, ib_failsafe_pull_fd, bc, 1.98, 125, vih, S, high, 0, 1.238
onnn110xuopfd, ib_failsafe_pull_fd, bc, 1.98, 125, vil, S, low, 0, 0.805
onnn110xuopfd, ib_failsafe_pull_fd, bc, 1.98, 125, vil, S, high, 0, 0.914
onnn110xuopfd, ib_failsafe_pull_fd, bc, 1.98, 125, iih, no_mode, low, 0, -5.075e-08
onnn110xuopfd, ib_failsafe_pull_fd, bc, 1.98, 125, iih, no_mode, high, 0, -1.809e-09
onnn110xuopfd, ib_failsafe_pull_fd, bc, 1.98, 125, iil, no_mode, low, 0, 3.915e-09
onnn110xuopfd, ib_failsafe_pull_fd, bc, 1.98, 125, iil, no_mode, high, 0, 1.532e-08
onnn110xuopfd, ib_failsafe_pull_fd, bc, 1.98, 125, ipd, 1, single, 0, 0.000233
onnn110xuopfd, ib_failsafe_pull_fd, bc, 1.98, 125, ipu, 3, single, 0, -0.000231
onnn110xuopfd, ib_i2c_sclk_fd, bc, 1.98, 125, vhys, no_mode, low, 0, 0.235
onnn110xuopfd, ib_i2c_sclk_fd, bc, 1.98, 125, vhys, no_mode, high, 0, 0.290
onnn110xuopfd, ib_i2c_sclk_fd, bc, 1.98, 125, vih, S, low, 0, 1.118
onnn110xuopfd, ib_i2c_sclk_fd, bc, 1.98, 125, vih, S, high, 0, 1.238
onnn110xuopfd, ib_i2c_sclk_fd, bc, 1.98, 125, vil, S, low, 0, 0.848
onnn110xuopfd, ib_i2c_sclk_fd, bc, 1.98, 125, vil, S, high, 0, 0.979
onnn110xuopfd, ib_i2c_sclk_fd, bc, 1.98, 125, iih, no_mode, low, 0, -5.016e-08
onnn110xuopfd, ib_i2c_sclk_fd, bc, 1.98, 125, iih, no_mode, high, 0, -1.775e-09
onnn110xuopfd, ib_i2c_sclk_fd, bc, 1.98, 125, iil, no_mode, low, 0, 3.863e-09
onnn110xuopfd, ib_i2c_sclk_fd, bc, 1.98, 125, iil, no_mode, high, 0, 1.509e-08
onnn110xuopfd, ib_sine_fd, bc, 1.98, 125, vih, no_mode, low, 0, 0.881
onnn110xuopfd, ib_sine_fd, bc, 1.98, 125, vih, no_mode, high, 0, 1.063
onnn110xuopfd, ib_sine_fd, bc, 1.98, 125, vil, no_mode, low, 0, 0.869
onnn110xuopfd, ib_sine_fd, bc, 1.98, 125, vil, no_mode, high, 0, 1.052
