LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180caoncq, ibacs6c3_cq, 5sig_bc, 1.98, 0, vhys, no_mode, low, 0, 0.473
onnn180caoncq, ibacs6c3_cq, 5sig_bc, 1.98, 0, vhys, no_mode, high, 0, 0.541
onnn180caoncq, ibacs6c3_cq, 5sig_bc, 1.98, 0, vih, S, low, 0, 1.135
onnn180caoncq, ibacs6c3_cq, 5sig_bc, 1.98, 0, vih, S, high, 0, 1.254
onnn180caoncq, ibacs6c3_cq, 5sig_bc, 1.98, 0, vil, S, low, 0, 0.619
onnn180caoncq, ibacs6c3_cq, 5sig_bc, 1.98, 0, vil, S, high, 0, 0.750
onnn180caoncq, ibacs6c3_cq, 5sig_bc, 1.98, 0, iih, no_mode, low, 0, -1.215e-11
onnn180caoncq, ibacs6c3_cq, 5sig_bc, 1.98, 0, iih, no_mode, high, 0, -1.188e-11
onnn180caoncq, ibacs6c3_cq, 5sig_bc, 1.98, 0, iil, no_mode, low, 0, 1.386e-11
onnn180caoncq, ibacs6c3_cq, 5sig_bc, 1.98, 0, iil, no_mode, high, 0, 1.387e-11
onnn180caoncq, ibacs6c3_cq, 5sig_bc, 1.98, 0, ipd, 0, single, 0, 2.051e-05
onnn180caoncq, ibacs6c3_cq, 5sig_bc, 1.98, 0, ipu, 3, single, 0, -2.565e-05
onnn180caoncq, ibacs6c3_cq, 5sig_bc, 1.98, 0, ibkpu, 2, single, 0, -2.104e-05
onnn180caoncq, ibacs6c3_cq, 5sig_bc, 1.98, 0, ibkpd, 2, single, 0, 1.727e-05
onnn180caoncq, ibacs6xx_cq, 5sig_bc, 1.98, 0, vhys, no_mode, low, 0, 0.473
onnn180caoncq, ibacs6xx_cq, 5sig_bc, 1.98, 0, vhys, no_mode, high, 0, 0.541
onnn180caoncq, ibacs6xx_cq, 5sig_bc, 1.98, 0, vih, S, low, 0, 1.135
onnn180caoncq, ibacs6xx_cq, 5sig_bc, 1.98, 0, vih, S, high, 0, 1.254
onnn180caoncq, ibacs6xx_cq, 5sig_bc, 1.98, 0, vil, S, low, 0, 0.619
onnn180caoncq, ibacs6xx_cq, 5sig_bc, 1.98, 0, vil, S, high, 0, 0.750
onnn180caoncq, ibacs6xx_cq, 5sig_bc, 1.98, 0, iih, no_mode, low, 0, -1.017e-11
onnn180caoncq, ibacs6xx_cq, 5sig_bc, 1.98, 0, iih, no_mode, high, 0, -9.902e-12
onnn180caoncq, ibacs6xx_cq, 5sig_bc, 1.98, 0, iil, no_mode, low, 0, 1.188e-11
onnn180caoncq, ibacs6xx_cq, 5sig_bc, 1.98, 0, iil, no_mode, high, 0, 1.189e-11
onnn180caoncq, ibacx6c3_cq, 5sig_bc, 1.98, 0, vih, no_mode, low, 0, 0.884
onnn180caoncq, ibacx6c3_cq, 5sig_bc, 1.98, 0, vih, no_mode, high, 0, 1.071
onnn180caoncq, ibacx6c3_cq, 5sig_bc, 1.98, 0, vil, no_mode, low, 0, 0.884
onnn180caoncq, ibacx6c3_cq, 5sig_bc, 1.98, 0, vil, no_mode, high, 0, 1.071
onnn180caoncq, ibacx6c3_cq, 5sig_bc, 1.98, 0, iih, no_mode, low, 0, -1.215e-11
onnn180caoncq, ibacx6c3_cq, 5sig_bc, 1.98, 0, iih, no_mode, high, 0, -1.188e-11
onnn180caoncq, ibacx6c3_cq, 5sig_bc, 1.98, 0, iil, no_mode, low, 0, 1.386e-11
