LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180caopfk, ibacs6c3_fk, 5sig_bc, 3.63, 0, vhys, no_mode, low, 0, 0.948
onnn180caopfk, ibacs6c3_fk, 5sig_bc, 3.63, 0, vhys, no_mode, high, 0, 1.100
onnn180caopfk, ibacs6c3_fk, 5sig_bc, 3.63, 0, vih, S, low, 0, 2.328
onnn180caopfk, ibacs6c3_fk, 5sig_bc, 3.63, 0, vih, S, high, 0, 2.538
onnn180caopfk, ibacs6c3_fk, 5sig_bc, 3.63, 0, vil, S, low, 0, 1.305
onnn180caopfk, ibacs6c3_fk, 5sig_bc, 3.63, 0, vil, S, high, 0, 1.515
onnn180caopfk, ibacs6c3_fk, 5sig_bc, 3.63, 0, iih, no_mode, low, 0, -3.977e-11
onnn180caopfk, ibacs6c3_fk, 5sig_bc, 3.63, 0, iih, no_mode, high, 0, -3.63e-11
onnn180caopfk, ibacs6c3_fk, 5sig_bc, 3.63, 0, iil, no_mode, low, 0, 2.542e-11
onnn180caopfk, ibacs6c3_fk, 5sig_bc, 3.63, 0, iil, no_mode, high, 0, 2.546e-11
onnn180caopfk, ibacs6c3_fk, 5sig_bc, 3.63, 0, ipd, 0, single, 0, 4.16e-05
onnn180caopfk, ibacs6c3_fk, 5sig_bc, 3.63, 0, ipu, 3, single, 0, -4.395e-05
onnn180caopfk, ibacs6c3_fk, 5sig_bc, 3.63, 0, ibkpu, 2, single, 0, -3.302e-05
onnn180caopfk, ibacs6c3_fk, 5sig_bc, 3.63, 0, ibkpd, 2, single, 0, 3.11e-05
onnn180caopfk, ibacs6xx_fk, 5sig_bc, 3.63, 0, vhys, no_mode, low, 0, 0.948
onnn180caopfk, ibacs6xx_fk, 5sig_bc, 3.63, 0, vhys, no_mode, high, 0, 1.100
onnn180caopfk, ibacs6xx_fk, 5sig_bc, 3.63, 0, vih, S, low, 0, 2.328
onnn180caopfk, ibacs6xx_fk, 5sig_bc, 3.63, 0, vih, S, high, 0, 2.538
onnn180caopfk, ibacs6xx_fk, 5sig_bc, 3.63, 0, vil, S, low, 0, 1.305
onnn180caopfk, ibacs6xx_fk, 5sig_bc, 3.63, 0, vil, S, high, 0, 1.515
onnn180caopfk, ibacs6xx_fk, 5sig_bc, 3.63, 0, iih, no_mode, low, 0, -3.251e-11
onnn180caopfk, ibacs6xx_fk, 5sig_bc, 3.63, 0, iih, no_mode, high, 0, -2.904e-11
onnn180caopfk, ibacs6xx_fk, 5sig_bc, 3.63, 0, iil, no_mode, low, 0, 2.179e-11
onnn180caopfk, ibacs6xx_fk, 5sig_bc, 3.63, 0, iil, no_mode, high, 0, 2.183e-11
onnn180caopfk, ibacstct_fk, 5sig_bc, 3.63, 0, vhys, no_mode, low, 0, 0.948
onnn180caopfk, ibacstct_fk, 5sig_bc, 3.63, 0, vhys, no_mode, high, 0, 1.100
onnn180caopfk, ibacstct_fk, 5sig_bc, 3.63, 0, vih, S, low, 0, 2.328
onnn180caopfk, ibacstct_fk, 5sig_bc, 3.63, 0, vih, S, high, 0, 2.538
onnn180caopfk, ibacstct_fk, 5sig_bc, 3.63, 0, vil, S, low, 0, 1.305
onnn180caopfk, ibacstct_fk, 5sig_bc, 3.63, 0, vil, S, high, 0, 1.515
onnn180caopfk, ibacstct_fk, 5sig_bc, 3.63, 0, iih, no_mode, low, 0, -1.17e-10
onnn180caopfk, ibacstct_fk, 5sig_bc, 3.63, 0, iih, no_mode, high, 0, -9.759e-11
onnn180caopfk, ibacstct_fk, 5sig_bc, 3.63, 0, iil, no_mode, low, 0, 3.631e-12
onnn180caopfk, ibacstct_fk, 5sig_bc, 3.63, 0, iil, no_mode, high, 0, 3.631e-12
onnn180caopfk, ibacstct_fk, 5sig_bc, 3.63, 0, ipd, 0, single, 0, 4.16e-05
onnn180caopfk, ibacstct_fk, 5sig_bc, 3.63, 0, ipu, 3, single, 0, -4.394e-05
