LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180caopfl, ibacs6c2_fl, bc, 1.1, 150, vhys, no_mode, low, 0, 0.182
onnn180caopfl, ibacs6c2_fl, bc, 1.1, 150, vhys, no_mode, high, 0, 0.251
onnn180caopfl, ibacs6c2_fl, bc, 1.1, 150, vih, S, low, 0, 0.619
onnn180caopfl, ibacs6c2_fl, bc, 1.1, 150, vih, S, high, 0, 0.713
onnn180caopfl, ibacs6c2_fl, bc, 1.1, 150, vil, S, low, 0, 0.404
onnn180caopfl, ibacs6c2_fl, bc, 1.1, 150, vil, S, high, 0, 0.488
onnn180caopfl, ibacs6c2_fl, bc, 1.1, 150, iih, no_mode, low, 0, -3.41e-07
onnn180caopfl, ibacs6c2_fl, bc, 1.1, 150, iih, no_mode, high, 0, -8.75e-08
onnn180caopfl, ibacs6c2_fl, bc, 1.1, 150, iil, no_mode, low, 0, 9.807e-11
onnn180caopfl, ibacs6c2_fl, bc, 1.1, 150, iil, no_mode, high, 0, 5.97e-10
onnn180caopfl, ibacs6c2_fl, bc, 1.1, 150, ipd, 0, single, 0, 8.629e-06
onnn180caopfl, ibacs6c2_fl, bc, 1.1, 150, ipu, 3, single, 0, -1.189e-05
onnn180caopfl, ibacs6c2_fl, bc, 1.1, 150, ibkpu, 2, single, 0, -8.456e-06
onnn180caopfl, ibacs6c2_fl, bc, 1.1, 150, ibkpd, 2, single, 0, 5.911e-06
onnn180caopfl, ibacs6xx_fl, bc, 1.1, 150, vhys, no_mode, low, 0, 0.182
onnn180caopfl, ibacs6xx_fl, bc, 1.1, 150, vhys, no_mode, high, 0, 0.251
onnn180caopfl, ibacs6xx_fl, bc, 1.1, 150, vih, S, low, 0, 0.619
onnn180caopfl, ibacs6xx_fl, bc, 1.1, 150, vih, S, high, 0, 0.713
onnn180caopfl, ibacs6xx_fl, bc, 1.1, 150, vil, S, low, 0, 0.404
onnn180caopfl, ibacs6xx_fl, bc, 1.1, 150, vil, S, high, 0, 0.488
onnn180caopfl, ibacs6xx_fl, bc, 1.1, 150, iih, no_mode, low, 0, -3.41e-07
onnn180caopfl, ibacs6xx_fl, bc, 1.1, 150, iih, no_mode, high, 0, -8.743e-08
onnn180caopfl, ibacs6xx_fl, bc, 1.1, 150, iil, no_mode, low, 0, 4.238e-11
onnn180caopfl, ibacs6xx_fl, bc, 1.1, 150, iil, no_mode, high, 0, 4.853e-11
onnn180caopfl, ibacsfcf_fl, bc, 1.1, 150, vhys, no_mode, low, 0, 0.182
onnn180caopfl, ibacsfcf_fl, bc, 1.1, 150, vhys, no_mode, high, 0, 0.251
onnn180caopfl, ibacsfcf_fl, bc, 1.1, 150, vih, S, low, 0, 0.619
onnn180caopfl, ibacsfcf_fl, bc, 1.1, 150, vih, S, high, 0, 0.713
onnn180caopfl, ibacsfcf_fl, bc, 1.1, 150, vil, S, low, 0, 0.404
onnn180caopfl, ibacsfcf_fl, bc, 1.1, 150, vil, S, high, 0, 0.488
onnn180caopfl, ibacsfcf_fl, bc, 1.1, 150, iih, no_mode, low, 0, -1.685e-06
onnn180caopfl, ibacsfcf_fl, bc, 1.1, 150, iih, no_mode, high, 0, -4.91e-07
onnn180caopfl, ibacsfcf_fl, bc, 1.1, 150, iil, no_mode, low, 0, 1.46e-10
onnn180caopfl, ibacsfcf_fl, bc, 1.1, 150, iil, no_mode, high, 0, 1.564e-09
onnn180caopfl, ibacsfcf_fl, bc, 1.1, 150, ipd, 0, single, 0, 8.874e-06
onnn180caopfl, ibacsfcf_fl, bc, 1.1, 150, ipu, 3, single, 0, -1.189e-05
onnn180caopfl, ibacsfcf_fl, bc, 1.1, 150, ibkpu, 2, single, 0, -7.856e-06
onnn180caopfl, ibacsfcf_fl, bc, 1.1, 150, ibkpd, 2, single, 0, 6.029e-06
onnn180caopfl, ibacsfxx_fl, bc, 1.1, 150, vhys, no_mode, low, 0, 0.182
onnn180caopfl, ibacsfxx_fl, bc, 1.1, 150, vhys, no_mode, high, 0, 0.251
onnn180caopfl, ibacsfxx_fl, bc, 1.1, 150, vih, S, low, 0, 0.619
onnn180caopfl, ibacsfxx_fl, bc, 1.1, 150, vih, S, high, 0, 0.713
onnn180caopfl, ibacsfxx_fl, bc, 1.1, 150, vil, S, low, 0, 0.404
onnn180caopfl, ibacsfxx_fl, bc, 1.1, 150, vil, S, high, 0, 0.488
onnn180caopfl, ibacsfxx_fl, bc, 1.1, 150, iih, no_mode, low, 0, -1.483e-06
onnn180caopfl, ibacsfxx_fl, bc, 1.1, 150, iih, no_mode, high, 0, -4.27e-07
onnn180caopfl, ibacsfxx_fl, bc, 1.1, 150, iil, no_mode, low, 0, 9.079e-11
onnn180caopfl, ibacsfxx_fl, bc, 1.1, 150, iil, no_mode, high, 0, 1.016e-09
onnn180caopfl, ibacx6c2_fl, bc, 1.1, 150, vih, no_mode, low, 0, 0.499
onnn180caopfl, ibacx6c2_fl, bc, 1.1, 150, vih, no_mode, high, 0, 0.615
onnn180caopfl, ibacx6c2_fl, bc, 1.1, 150, vil, no_mode, low, 0, 0.499
onnn180caopfl, ibacx6c2_fl, bc, 1.1, 150, vil, no_mode, high, 0, 0.615
onnn180caopfl, ibacx6c2_fl, bc, 1.1, 150, iih, no_mode, low, 0, -3.41e-07
onnn180caopfl, ibacx6c2_fl, bc, 1.1, 150, iih, no_mode, high, 0, -8.75e-08
onnn180caopfl, ibacx6c2_fl, bc, 1.1, 150, iil, no_mode, low, 0, 9.807e-11
onnn180caopfl, ibacx6c2_fl, bc, 1.1, 150, iil, no_mode, high, 0, 5.97e-10
onnn180caopfl, ibacx6c2_fl, bc, 1.1, 150, ipd, 0, single, 0, 8.629e-06
onnn180caopfl, ibacx6c2_fl, bc, 1.1, 150, ipu, 3, single, 0, -1.189e-05
onnn180caopfl, ibacx6c2_fl, bc, 1.1, 150, ibkpu, 2, single, 0, -8.456e-06
onnn180caopfl, ibacx6c2_fl, bc, 1.1, 150, ibkpd, 2, single, 0, 5.911e-06
onnn180caopfl, ibacx6xx_fl, bc, 1.1, 150, vih, no_mode, low, 0, 0.499
onnn180caopfl, ibacx6xx_fl, bc, 1.1, 150, vih, no_mode, high, 0, 0.615
onnn180caopfl, ibacx6xx_fl, bc, 1.1, 150, vil, no_mode, low, 0, 0.499
onnn180caopfl, ibacx6xx_fl, bc, 1.1, 150, vil, no_mode, high, 0, 0.615
onnn180caopfl, ibacx6xx_fl, bc, 1.1, 150, iih, no_mode, low, 0, -3.41e-07
onnn180caopfl, ibacx6xx_fl, bc, 1.1, 150, iih, no_mode, high, 0, -8.743e-08
onnn180caopfl, ibacx6xx_fl, bc, 1.1, 150, iil, no_mode, low, 0, 4.238e-11
onnn180caopfl, ibacx6xx_fl, bc, 1.1, 150, iil, no_mode, high, 0, 4.853e-11
onnn180caopfl, ibacxfcf_fl, bc, 1.1, 150, vih, no_mode, low, 0, 0.499
onnn180caopfl, ibacxfcf_fl, bc, 1.1, 150, vih, no_mode, high, 0, 0.615
onnn180caopfl, ibacxfcf_fl, bc, 1.1, 150, vil, no_mode, low, 0, 0.499
onnn180caopfl, ibacxfcf_fl, bc, 1.1, 150, vil, no_mode, high, 0, 0.615
onnn180caopfl, ibacxfcf_fl, bc, 1.1, 150, iih, no_mode, low, 0, -1.685e-06
onnn180caopfl, ibacxfcf_fl, bc, 1.1, 150, iih, no_mode, high, 0, -4.91e-07
onnn180caopfl, ibacxfcf_fl, bc, 1.1, 150, iil, no_mode, low, 0, 1.46e-10
onnn180caopfl, ibacxfcf_fl, bc, 1.1, 150, iil, no_mode, high, 0, 1.564e-09
onnn180caopfl, ibacxfcf_fl, bc, 1.1, 150, ipd, 0, single, 0, 8.874e-06
onnn180caopfl, ibacxfcf_fl, bc, 1.1, 150, ipu, 3, single, 0, -1.189e-05
onnn180caopfl, ibacxfcf_fl, bc, 1.1, 150, ibkpu, 2, single, 0, -7.856e-06
onnn180caopfl, ibacxfcf_fl, bc, 1.1, 150, ibkpd, 2, single, 0, 6.029e-06
onnn180caopfl, ibacxfxx_fl, bc, 1.1, 150, vih, no_mode, low, 0, 0.499
onnn180caopfl, ibacxfxx_fl, bc, 1.1, 150, vih, no_mode, high, 0, 0.615
onnn180caopfl, ibacxfxx_fl, bc, 1.1, 150, vil, no_mode, low, 0, 0.499
onnn180caopfl, ibacxfxx_fl, bc, 1.1, 150, vil, no_mode, high, 0, 0.615
onnn180caopfl, ibacxfxx_fl, bc, 1.1, 150, iih, no_mode, low, 0, -1.483e-06
onnn180caopfl, ibacxfxx_fl, bc, 1.1, 150, iih, no_mode, high, 0, -4.27e-07
onnn180caopfl, ibacxfxx_fl, bc, 1.1, 150, iil, no_mode, low, 0, 9.079e-11
onnn180caopfl, ibacxfxx_fl, bc, 1.1, 150, iil, no_mode, high, 0, 1.016e-09
onnn180caopfl, ioacs6c2cpxe02_fl, bc, 1.1, 150, vhys, no_mode, low, 0, 0.182
onnn180caopfl, ioacs6c2cpxe02_fl, bc, 1.1, 150, vhys, no_mode, high, 0, 0.251
onnn180caopfl, ioacs6c2cpxe02_fl, bc, 1.1, 150, vih, S, low, 0, 0.619
onnn180caopfl, ioacs6c2cpxe02_fl, bc, 1.1, 150, vih, S, high, 0, 0.713
onnn180caopfl, ioacs6c2cpxe02_fl, bc, 1.1, 150, vil, S, low, 0, 0.404
onnn180caopfl, ioacs6c2cpxe02_fl, bc, 1.1, 150, vil, S, high, 0, 0.488
onnn180caopfl, ioacs6c2cpxe02_fl, bc, 1.1, 150, iih, no_mode, low, 0, -3.04e-07
onnn180caopfl, ioacs6c2cpxe02_fl, bc, 1.1, 150, iih, no_mode, high, 0, -9.127e-08
onnn180caopfl, ioacs6c2cpxe02_fl, bc, 1.1, 150, iil, no_mode, low, 0, 3.564e-08
onnn180caopfl, ioacs6c2cpxe02_fl, bc, 1.1, 150, iil, no_mode, high, 0, 4.88e-07
onnn180caopfl, ioacs6c2cpxe02_fl, bc, 1.1, 150, ipd, 0, single, 0, 8.592e-06
onnn180caopfl, ioacs6c2cpxe02_fl, bc, 1.1, 150, ipu, 3, single, 0, -1.238e-05
onnn180caopfl, ioacs6c2cpxe02_fl, bc, 1.1, 150, ibkpu, 2, single, 0, -8.916e-06
onnn180caopfl, ioacs6c2cpxe02_fl, bc, 1.1, 150, ibkpd, 2, single, 0, 5.428e-06
onnn180caopfl, ioacs6c2cpxe02_fl, bc, 1.1, 150, ioh, no_mode, single, 2, -0.001772
onnn180caopfl, ioacs6c2cpxe02_fl, bc, 1.1, 150, iol, no_mode, single, 2, 0.001539
onnn180caopfl, ioacs6c2cpxe04_fl, bc, 1.1, 150, vhys, no_mode, low, 0, 0.182
onnn180caopfl, ioacs6c2cpxe04_fl, bc, 1.1, 150, vhys, no_mode, high, 0, 0.251
onnn180caopfl, ioacs6c2cpxe04_fl, bc, 1.1, 150, vih, S, low, 0, 0.619
onnn180caopfl, ioacs6c2cpxe04_fl, bc, 1.1, 150, vih, S, high, 0, 0.713
onnn180caopfl, ioacs6c2cpxe04_fl, bc, 1.1, 150, vil, S, low, 0, 0.404
onnn180caopfl, ioacs6c2cpxe04_fl, bc, 1.1, 150, vil, S, high, 0, 0.488
onnn180caopfl, ioacs6c2cpxe04_fl, bc, 1.1, 150, iih, no_mode, low, 0, -3.04e-07
onnn180caopfl, ioacs6c2cpxe04_fl, bc, 1.1, 150, iih, no_mode, high, 0, -9.127e-08
onnn180caopfl, ioacs6c2cpxe04_fl, bc, 1.1, 150, iil, no_mode, low, 0, 3.564e-08
onnn180caopfl, ioacs6c2cpxe04_fl, bc, 1.1, 150, iil, no_mode, high, 0, 4.88e-07
onnn180caopfl, ioacs6c2cpxe04_fl, bc, 1.1, 150, ipd, 0, single, 0, 8.592e-06
onnn180caopfl, ioacs6c2cpxe04_fl, bc, 1.1, 150, ipu, 3, single, 0, -1.238e-05
onnn180caopfl, ioacs6c2cpxe04_fl, bc, 1.1, 150, ibkpu, 2, single, 0, -8.916e-06
onnn180caopfl, ioacs6c2cpxe04_fl, bc, 1.1, 150, ibkpd, 2, single, 0, 5.428e-06
onnn180caopfl, ioacs6c2cpxe04_fl, bc, 1.1, 150, ioh, no_mode, single, 4, -0.003543
onnn180caopfl, ioacs6c2cpxe04_fl, bc, 1.1, 150, iol, no_mode, single, 4, 0.003077
onnn180caopfl, ioacs6c2cpxe08_fl, bc, 1.1, 150, vhys, no_mode, low, 0, 0.182
onnn180caopfl, ioacs6c2cpxe08_fl, bc, 1.1, 150, vhys, no_mode, high, 0, 0.251
onnn180caopfl, ioacs6c2cpxe08_fl, bc, 1.1, 150, vih, S, low, 0, 0.619
onnn180caopfl, ioacs6c2cpxe08_fl, bc, 1.1, 150, vih, S, high, 0, 0.713
onnn180caopfl, ioacs6c2cpxe08_fl, bc, 1.1, 150, vil, S, low, 0, 0.404
onnn180caopfl, ioacs6c2cpxe08_fl, bc, 1.1, 150, vil, S, high, 0, 0.488
onnn180caopfl, ioacs6c2cpxe08_fl, bc, 1.1, 150, iih, no_mode, low, 0, -3.04e-07
onnn180caopfl, ioacs6c2cpxe08_fl, bc, 1.1, 150, iih, no_mode, high, 0, -9.127e-08
