LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180cxopcc, ibacs6c3_cc, bc, 1.98, 0, vhys, no_mode, low, 0, 0.459
onnn180cxopcc, ibacs6c3_cc, bc, 1.98, 0, vhys, no_mode, high, 0, 0.506
onnn180cxopcc, ibacs6c3_cc, bc, 1.98, 0, vih, S, low, 0, 1.160
onnn180cxopcc, ibacs6c3_cc, bc, 1.98, 0, vih, S, high, 0, 1.211
onnn180cxopcc, ibacs6c3_cc, bc, 1.98, 0, vil, S, low, 0, 0.673
onnn180cxopcc, ibacs6c3_cc, bc, 1.98, 0, vil, S, high, 0, 0.730
onnn180cxopcc, ibacs6c3_cc, bc, 1.98, 0, iih, no_mode, low, 0, -1.196e-11
onnn180cxopcc, ibacs6c3_cc, bc, 1.98, 0, iih, no_mode, high, 0, -1.189e-11
onnn180cxopcc, ibacs6c3_cc, bc, 1.98, 0, iil, no_mode, low, 0, 9.901e-12
onnn180cxopcc, ibacs6c3_cc, bc, 1.98, 0, iil, no_mode, high, 0, 9.902e-12
onnn180cxopcc, ibacs6c3_cc, bc, 1.98, 0, ipd, 0, single, 0, 2.052e-05
onnn180cxopcc, ibacs6c3_cc, bc, 1.98, 0, ipu, 3, single, 0, -1.962e-05
onnn180cxopcc, ibacs6c3_cc, bc, 1.98, 0, ibkpu, 2, single, 0, -1.67e-05
onnn180cxopcc, ibacs6c3_cc, bc, 1.98, 0, ibkpd, 2, single, 0, 1.738e-05
onnn180cxopcc, ibacs6xx_cc, bc, 1.98, 0, vhys, no_mode, low, 0, 0.459
onnn180cxopcc, ibacs6xx_cc, bc, 1.98, 0, vhys, no_mode, high, 0, 0.506
onnn180cxopcc, ibacs6xx_cc, bc, 1.98, 0, vih, S, low, 0, 1.160
onnn180cxopcc, ibacs6xx_cc, bc, 1.98, 0, vih, S, high, 0, 1.211
onnn180cxopcc, ibacs6xx_cc, bc, 1.98, 0, vil, S, low, 0, 0.673
onnn180cxopcc, ibacs6xx_cc, bc, 1.98, 0, vil, S, high, 0, 0.730
onnn180cxopcc, ibacs6xx_cc, bc, 1.98, 0, iih, no_mode, low, 0, -9.985e-12
onnn180cxopcc, ibacs6xx_cc, bc, 1.98, 0, iih, no_mode, high, 0, -9.912e-12
onnn180cxopcc, ibacs6xx_cc, bc, 1.98, 0, iil, no_mode, low, 0, 7.92e-12
onnn180cxopcc, ibacs6xx_cc, bc, 1.98, 0, iil, no_mode, high, 0, 7.92e-12
onnn180cxopcc, ibacx6c3_cc, bc, 1.98, 0, vih, no_mode, low, 0, 0.920
onnn180cxopcc, ibacx6c3_cc, bc, 1.98, 0, vih, no_mode, high, 0, 0.997
onnn180cxopcc, ibacx6c3_cc, bc, 1.98, 0, vil, no_mode, low, 0, 0.920
onnn180cxopcc, ibacx6c3_cc, bc, 1.98, 0, vil, no_mode, high, 0, 0.997
onnn180cxopcc, ibacx6c3_cc, bc, 1.98, 0, iih, no_mode, low, 0, -1.196e-11
onnn180cxopcc, ibacx6c3_cc, bc, 1.98, 0, iih, no_mode, high, 0, -1.189e-11
onnn180cxopcc, ibacx6c3_cc, bc, 1.98, 0, iil, no_mode, low, 0, 9.901e-12
onnn180cxopcc, ibacx6c3_cc, bc, 1.98, 0, iil, no_mode, high, 0, 9.902e-12
onnn180cxopcc, ibacx6c3_cc, bc, 1.98, 0, ipd, 0, single, 0, 2.052e-05
onnn180cxopcc, ibacx6c3_cc, bc, 1.98, 0, ipu, 3, single, 0, -1.962e-05
onnn180cxopcc, ibacx6c3_cc, bc, 1.98, 0, ibkpu, 2, single, 0, -1.67e-05
onnn180cxopcc, ibacx6c3_cc, bc, 1.98, 0, ibkpd, 2, single, 0, 1.738e-05
onnn180cxopcc, ibacx6xx_cc, bc, 1.98, 0, vih, no_mode, low, 0, 0.920
onnn180cxopcc, ibacx6xx_cc, bc, 1.98, 0, vih, no_mode, high, 0, 0.997
onnn180cxopcc, ibacx6xx_cc, bc, 1.98, 0, vil, no_mode, low, 0, 0.920
onnn180cxopcc, ibacx6xx_cc, bc, 1.98, 0, vil, no_mode, high, 0, 0.997
onnn180cxopcc, ibacx6xx_cc, bc, 1.98, 0, iih, no_mode, low, 0, -9.985e-12
onnn180cxopcc, ibacx6xx_cc, bc, 1.98, 0, iih, no_mode, high, 0, -9.912e-12
onnn180cxopcc, ibacx6xx_cc, bc, 1.98, 0, iil, no_mode, low, 0, 7.92e-12
onnn180cxopcc, ibacx6xx_cc, bc, 1.98, 0, iil, no_mode, high, 0, 7.92e-12
onnn180cxopcc, ioacs6c3cpxe02_cc, bc, 1.98, 0, vhys, no_mode, low, 0, 0.459
onnn180cxopcc, ioacs6c3cpxe02_cc, bc, 1.98, 0, vhys, no_mode, high, 0, 0.506
onnn180cxopcc, ioacs6c3cpxe02_cc, bc, 1.98, 0, vih, S, low, 0, 1.160
onnn180cxopcc, ioacs6c3cpxe02_cc, bc, 1.98, 0, vih, S, high, 0, 1.211
onnn180cxopcc, ioacs6c3cpxe02_cc, bc, 1.98, 0, vil, S, low, 0, 0.673
onnn180cxopcc, ioacs6c3cpxe02_cc, bc, 1.98, 0, vil, S, high, 0, 0.730
onnn180cxopcc, ioacs6c3cpxe02_cc, bc, 1.98, 0, iih, no_mode, low, 0, -2.383e-11
onnn180cxopcc, ioacs6c3cpxe02_cc, bc, 1.98, 0, iih, no_mode, high, 0, -2.377e-11
onnn180cxopcc, ioacs6c3cpxe02_cc, bc, 1.98, 0, iil, no_mode, low, 0, 2.197e-11
onnn180cxopcc, ioacs6c3cpxe02_cc, bc, 1.98, 0, iil, no_mode, high, 0, 2.366e-11
onnn180cxopcc, ioacs6c3cpxe02_cc, bc, 1.98, 0, ipd, 0, single, 0, 2.052e-05
onnn180cxopcc, ioacs6c3cpxe02_cc, bc, 1.98, 0, ipu, 3, single, 0, -1.962e-05
onnn180cxopcc, ioacs6c3cpxe02_cc, bc, 1.98, 0, ibkpu, 2, single, 0, -1.67e-05
onnn180cxopcc, ioacs6c3cpxe02_cc, bc, 1.98, 0, ibkpd, 2, single, 0, 1.738e-05
onnn180cxopcc, ioacs6c3cpxe02_cc, bc, 1.98, 0, ioh, no_mode, single, 2, -0.002345
onnn180cxopcc, ioacs6c3cpxe02_cc, bc, 1.98, 0, iol, no_mode, single, 2, 0.003072
onnn180cxopcc, ioacs6c3cpxe04_cc, bc, 1.98, 0, vhys, no_mode, low, 0, 0.459
onnn180cxopcc, ioacs6c3cpxe04_cc, bc, 1.98, 0, vhys, no_mode, high, 0, 0.506
onnn180cxopcc, ioacs6c3cpxe04_cc, bc, 1.98, 0, vih, S, low, 0, 1.160
onnn180cxopcc, ioacs6c3cpxe04_cc, bc, 1.98, 0, vih, S, high, 0, 1.211
onnn180cxopcc, ioacs6c3cpxe04_cc, bc, 1.98, 0, vil, S, low, 0, 0.673
onnn180cxopcc, ioacs6c3cpxe04_cc, bc, 1.98, 0, vil, S, high, 0, 0.730
onnn180cxopcc, ioacs6c3cpxe04_cc, bc, 1.98, 0, iih, no_mode, low, 0, -2.383e-11
onnn180cxopcc, ioacs6c3cpxe04_cc, bc, 1.98, 0, iih, no_mode, high, 0, -2.377e-11
onnn180cxopcc, ioacs6c3cpxe04_cc, bc, 1.98, 0, iil, no_mode, low, 0, 2.197e-11
onnn180cxopcc, ioacs6c3cpxe04_cc, bc, 1.98, 0, iil, no_mode, high, 0, 2.366e-11
onnn180cxopcc, ioacs6c3cpxe04_cc, bc, 1.98, 0, ipd, 0, single, 0, 2.052e-05
onnn180cxopcc, ioacs6c3cpxe04_cc, bc, 1.98, 0, ipu, 3, single, 0, -1.962e-05
onnn180cxopcc, ioacs6c3cpxe04_cc, bc, 1.98, 0, ibkpu, 2, single, 0, -1.67e-05
onnn180cxopcc, ioacs6c3cpxe04_cc, bc, 1.98, 0, ibkpd, 2, single, 0, 1.738e-05
onnn180cxopcc, ioacs6c3cpxe04_cc, bc, 1.98, 0, ioh, no_mode, single, 4, -0.004689
onnn180cxopcc, ioacs6c3cpxe04_cc, bc, 1.98, 0, iol, no_mode, single, 4, 0.00614
onnn180cxopcc, ioacs6c3cpxe08_cc, bc, 1.98, 0, vhys, no_mode, low, 0, 0.459
onnn180cxopcc, ioacs6c3cpxe08_cc, bc, 1.98, 0, vhys, no_mode, high, 0, 0.506
onnn180cxopcc, ioacs6c3cpxe08_cc, bc, 1.98, 0, vih, S, low, 0, 1.160
onnn180cxopcc, ioacs6c3cpxe08_cc, bc, 1.98, 0, vih, S, high, 0, 1.211
onnn180cxopcc, ioacs6c3cpxe08_cc, bc, 1.98, 0, vil, S, low, 0, 0.673
onnn180cxopcc, ioacs6c3cpxe08_cc, bc, 1.98, 0, vil, S, high, 0, 0.730
onnn180cxopcc, ioacs6c3cpxe08_cc, bc, 1.98, 0, iih, no_mode, low, 0, -2.383e-11
onnn180cxopcc, ioacs6c3cpxe08_cc, bc, 1.98, 0, iih, no_mode, high, 0, -2.377e-11
onnn180cxopcc, ioacs6c3cpxe08_cc, bc, 1.98, 0, iil, no_mode, low, 0, 2.197e-11
