LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180cxopcd, ibacs6c3_cd, bc, 3.63, 150, vhys, no_mode, low, 0, 0.580
onnn180cxopcd, ibacs6c3_cd, bc, 3.63, 150, vhys, no_mode, high, 0, 0.625
onnn180cxopcd, ibacs6c3_cd, bc, 3.63, 150, vih, S, low, 0, 1.753
onnn180cxopcd, ibacs6c3_cd, bc, 3.63, 150, vih, S, high, 0, 1.808
onnn180cxopcd, ibacs6c3_cd, bc, 3.63, 150, vil, S, low, 0, 1.146
onnn180cxopcd, ibacs6c3_cd, bc, 3.63, 150, vil, S, high, 0, 1.208
onnn180cxopcd, ibacs6c3_cd, bc, 3.63, 150, iih, no_mode, low, 0, -1.576e-08
onnn180cxopcd, ibacs6c3_cd, bc, 3.63, 150, iih, no_mode, high, 0, -6.435e-09
onnn180cxopcd, ibacs6c3_cd, bc, 3.63, 150, iil, no_mode, low, 0, 6.545e-11
onnn180cxopcd, ibacs6c3_cd, bc, 3.63, 150, iil, no_mode, high, 0, 8.478e-11
onnn180cxopcd, ibacs6c3_cd, bc, 3.63, 150, ipd, 0, single, 0, 5.428e-05
onnn180cxopcd, ibacs6c3_cd, bc, 3.63, 150, ipu, 3, single, 0, -7.015e-05
onnn180cxopcd, ibacs6c3_cd, bc, 3.63, 150, ibkpu, 2, single, 0, -4.821e-05
onnn180cxopcd, ibacs6c3_cd, bc, 3.63, 150, ibkpd, 2, single, 0, 3.433e-05
onnn180cxopcd, ibacs6xx_cd, bc, 3.63, 150, vhys, no_mode, low, 0, 0.580
onnn180cxopcd, ibacs6xx_cd, bc, 3.63, 150, vhys, no_mode, high, 0, 0.625
onnn180cxopcd, ibacs6xx_cd, bc, 3.63, 150, vih, S, low, 0, 1.753
onnn180cxopcd, ibacs6xx_cd, bc, 3.63, 150, vih, S, high, 0, 1.808
onnn180cxopcd, ibacs6xx_cd, bc, 3.63, 150, vil, S, low, 0, 1.146
onnn180cxopcd, ibacs6xx_cd, bc, 3.63, 150, vil, S, high, 0, 1.208
onnn180cxopcd, ibacs6xx_cd, bc, 3.63, 150, iih, no_mode, low, 0, -1.574e-08
onnn180cxopcd, ibacs6xx_cd, bc, 3.63, 150, iih, no_mode, high, 0, -6.429e-09
onnn180cxopcd, ibacs6xx_cd, bc, 3.63, 150, iil, no_mode, low, 0, 4.263e-11
onnn180cxopcd, ibacs6xx_cd, bc, 3.63, 150, iil, no_mode, high, 0, 5.465e-11
onnn180cxopcd, ibacstct_cd, bc, 3.63, 150, vhys, no_mode, low, 0, 0.580
onnn180cxopcd, ibacstct_cd, bc, 3.63, 150, vhys, no_mode, high, 0, 0.625
onnn180cxopcd, ibacstct_cd, bc, 3.63, 150, vih, S, low, 0, 1.753
onnn180cxopcd, ibacstct_cd, bc, 3.63, 150, vih, S, high, 0, 1.808
onnn180cxopcd, ibacstct_cd, bc, 3.63, 150, vil, S, low, 0, 1.146
onnn180cxopcd, ibacstct_cd, bc, 3.63, 150, vil, S, high, 0, 1.208
onnn180cxopcd, ibacstct_cd, bc, 3.63, 150, iih, no_mode, low, 0, -6.92e-08
onnn180cxopcd, ibacstct_cd, bc, 3.63, 150, iih, no_mode, high, 0, -2.623e-08
onnn180cxopcd, ibacstct_cd, bc, 3.63, 150, iil, no_mode, low, 0, 3.354e-11
onnn180cxopcd, ibacstct_cd, bc, 3.63, 150, iil, no_mode, high, 0, 1.12e-10
onnn180cxopcd, ibacstct_cd, bc, 3.63, 150, ipd, 0, single, 0, 5.425e-05
onnn180cxopcd, ibacstct_cd, bc, 3.63, 150, ipu, 3, single, 0, -7.014e-05
onnn180cxopcd, ibacstct_cd, bc, 3.63, 150, ibkpu, 2, single, 0, -4.606e-05
onnn180cxopcd, ibacstct_cd, bc, 3.63, 150, ibkpd, 2, single, 0, 3.364e-05
onnn180cxopcd, ibacstxx_cd, bc, 3.63, 150, vhys, no_mode, low, 0, 0.580
onnn180cxopcd, ibacstxx_cd, bc, 3.63, 150, vhys, no_mode, high, 0, 0.625
onnn180cxopcd, ibacstxx_cd, bc, 3.63, 150, vih, S, low, 0, 1.753
onnn180cxopcd, ibacstxx_cd, bc, 3.63, 150, vih, S, high, 0, 1.808
onnn180cxopcd, ibacstxx_cd, bc, 3.63, 150, vil, S, low, 0, 1.146
onnn180cxopcd, ibacstxx_cd, bc, 3.63, 150, vil, S, high, 0, 1.208
onnn180cxopcd, ibacstxx_cd, bc, 3.63, 150, iih, no_mode, low, 0, -6.245e-08
onnn180cxopcd, ibacstxx_cd, bc, 3.63, 150, iih, no_mode, high, 0, -2.383e-08
onnn180cxopcd, ibacstxx_cd, bc, 3.63, 150, iil, no_mode, low, 0, 2.274e-11
onnn180cxopcd, ibacstxx_cd, bc, 3.63, 150, iil, no_mode, high, 0, 8.072e-11
onnn180cxopcd, ibacx6c3_cd, bc, 3.63, 150, vih, no_mode, low, 0, 1.497
onnn180cxopcd, ibacx6c3_cd, bc, 3.63, 150, vih, no_mode, high, 0, 1.574
onnn180cxopcd, ibacx6c3_cd, bc, 3.63, 150, vil, no_mode, low, 0, 1.497
onnn180cxopcd, ibacx6c3_cd, bc, 3.63, 150, vil, no_mode, high, 0, 1.574
onnn180cxopcd, ibacx6c3_cd, bc, 3.63, 150, iih, no_mode, low, 0, -1.576e-08
onnn180cxopcd, ibacx6c3_cd, bc, 3.63, 150, iih, no_mode, high, 0, -6.435e-09
onnn180cxopcd, ibacx6c3_cd, bc, 3.63, 150, iil, no_mode, low, 0, 6.545e-11
onnn180cxopcd, ibacx6c3_cd, bc, 3.63, 150, iil, no_mode, high, 0, 8.478e-11
onnn180cxopcd, ibacx6c3_cd, bc, 3.63, 150, ipd, 0, single, 0, 5.428e-05
onnn180cxopcd, ibacx6c3_cd, bc, 3.63, 150, ipu, 3, single, 0, -7.015e-05
onnn180cxopcd, ibacx6c3_cd, bc, 3.63, 150, ibkpu, 2, single, 0, -4.821e-05
onnn180cxopcd, ibacx6c3_cd, bc, 3.63, 150, ibkpd, 2, single, 0, 3.433e-05
onnn180cxopcd, ibacx6xx_cd, bc, 3.63, 150, vih, no_mode, low, 0, 1.497
onnn180cxopcd, ibacx6xx_cd, bc, 3.63, 150, vih, no_mode, high, 0, 1.574
onnn180cxopcd, ibacx6xx_cd, bc, 3.63, 150, vil, no_mode, low, 0, 1.497
onnn180cxopcd, ibacx6xx_cd, bc, 3.63, 150, vil, no_mode, high, 0, 1.574
onnn180cxopcd, ibacx6xx_cd, bc, 3.63, 150, iih, no_mode, low, 0, -1.574e-08
onnn180cxopcd, ibacx6xx_cd, bc, 3.63, 150, iih, no_mode, high, 0, -6.429e-09
onnn180cxopcd, ibacx6xx_cd, bc, 3.63, 150, iil, no_mode, low, 0, 4.263e-11
onnn180cxopcd, ibacx6xx_cd, bc, 3.63, 150, iil, no_mode, high, 0, 5.465e-11
onnn180cxopcd, ibacxtct_cd, bc, 3.63, 150, vih, no_mode, low, 0, 1.497
onnn180cxopcd, ibacxtct_cd, bc, 3.63, 150, vih, no_mode, high, 0, 1.574
onnn180cxopcd, ibacxtct_cd, bc, 3.63, 150, vil, no_mode, low, 0, 1.497
onnn180cxopcd, ibacxtct_cd, bc, 3.63, 150, vil, no_mode, high, 0, 1.574
