LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180cxopch, ibacs6c3_ch, bc, 3.63, 150, vhys, no_mode, low, 0, 0.908
onnn180cxopch, ibacs6c3_ch, bc, 3.63, 150, vhys, no_mode, high, 0, 1.005
onnn180cxopch, ibacs6c3_ch, bc, 3.63, 150, vih, S, low, 0, 2.323
onnn180cxopch, ibacs6c3_ch, bc, 3.63, 150, vih, S, high, 0, 2.433
onnn180cxopch, ibacs6c3_ch, bc, 3.63, 150, vil, S, low, 0, 1.363
onnn180cxopch, ibacs6c3_ch, bc, 3.63, 150, vil, S, high, 0, 1.478
onnn180cxopch, ibacs6c3_ch, bc, 3.63, 150, iih, no_mode, low, 0, -1.53e-07
onnn180cxopch, ibacs6c3_ch, bc, 3.63, 150, iih, no_mode, high, 0, -8.313e-09
onnn180cxopch, ibacs6c3_ch, bc, 3.63, 150, iil, no_mode, low, 0, 5.734e-11
onnn180cxopch, ibacs6c3_ch, bc, 3.63, 150, iil, no_mode, high, 0, 9.118e-11
onnn180cxopch, ibacs6c3_ch, bc, 3.63, 150, ipd, 0, single, 0, 2.206e-05
onnn180cxopch, ibacs6c3_ch, bc, 3.63, 150, ipu, 3, single, 0, -2.832e-05
onnn180cxopch, ibacs6c3_ch, bc, 3.63, 150, ibkpu, 2, single, 0, -2.074e-05
onnn180cxopch, ibacs6c3_ch, bc, 3.63, 150, ibkpd, 2, single, 0, 1.595e-05
onnn180cxopch, ibacs6xx_ch, bc, 3.63, 150, vhys, no_mode, low, 0, 0.908
onnn180cxopch, ibacs6xx_ch, bc, 3.63, 150, vhys, no_mode, high, 0, 1.005
onnn180cxopch, ibacs6xx_ch, bc, 3.63, 150, vih, S, low, 0, 2.323
onnn180cxopch, ibacs6xx_ch, bc, 3.63, 150, vih, S, high, 0, 2.433
onnn180cxopch, ibacs6xx_ch, bc, 3.63, 150, vil, S, low, 0, 1.363
onnn180cxopch, ibacs6xx_ch, bc, 3.63, 150, vil, S, high, 0, 1.478
onnn180cxopch, ibacs6xx_ch, bc, 3.63, 150, iih, no_mode, low, 0, -1.53e-07
onnn180cxopch, ibacs6xx_ch, bc, 3.63, 150, iih, no_mode, high, 0, -8.304e-09
onnn180cxopch, ibacs6xx_ch, bc, 3.63, 150, iil, no_mode, low, 0, 3.976e-11
onnn180cxopch, ibacs6xx_ch, bc, 3.63, 150, iil, no_mode, high, 0, 4.892e-11
onnn180cxopch, ibacstxx_ch, bc, 3.63, 150, vhys, no_mode, low, 0, 0.908
onnn180cxopch, ibacstxx_ch, bc, 3.63, 150, vhys, no_mode, high, 0, 1.005
onnn180cxopch, ibacstxx_ch, bc, 3.63, 150, vih, S, low, 0, 2.323
onnn180cxopch, ibacstxx_ch, bc, 3.63, 150, vih, S, high, 0, 2.433
onnn180cxopch, ibacstxx_ch, bc, 3.63, 150, vil, S, low, 0, 1.363
onnn180cxopch, ibacstxx_ch, bc, 3.63, 150, vil, S, high, 0, 1.478
onnn180cxopch, ibacstxx_ch, bc, 3.63, 150, iih, no_mode, low, 0, -4.19e-07
onnn180cxopch, ibacstxx_ch, bc, 3.63, 150, iih, no_mode, high, 0, -1.925e-08
onnn180cxopch, ibacstxx_ch, bc, 3.63, 150, iil, no_mode, low, 0, 0
onnn180cxopch, ibacstxx_ch, bc, 3.63, 150, iil, no_mode, high, 0, 0
onnn180cxopch, ibacx6c3_ch, bc, 3.63, 150, vih, no_mode, low, 0, 1.809
onnn180cxopch, ibacx6c3_ch, bc, 3.63, 150, vih, no_mode, high, 0, 2.001
