LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180cxopcj, ibacs6c3_cj, bc, 1.98, 150, vhys, no_mode, low, 0, 0.390
onnn180cxopcj, ibacs6c3_cj, bc, 1.98, 150, vhys, no_mode, high, 0, 0.434
onnn180cxopcj, ibacs6c3_cj, bc, 1.98, 150, vih, S, low, 0, 1.101
onnn180cxopcj, ibacs6c3_cj, bc, 1.98, 150, vih, S, high, 0, 1.153
onnn180cxopcj, ibacs6c3_cj, bc, 1.98, 150, vil, S, low, 0, 0.685
onnn180cxopcj, ibacs6c3_cj, bc, 1.98, 150, vil, S, high, 0, 0.743
onnn180cxopcj, ibacs6c3_cj, bc, 1.98, 150, iih, no_mode, low, 0, -1.196e-08
onnn180cxopcj, ibacs6c3_cj, bc, 1.98, 150, iih, no_mode, high, 0, -5.681e-09
onnn180cxopcj, ibacs6c3_cj, bc, 1.98, 150, iil, no_mode, low, 0, 5.705e-11
onnn180cxopcj, ibacs6c3_cj, bc, 1.98, 150, iil, no_mode, high, 0, 7.598e-11
onnn180cxopcj, ibacs6c3_cj, bc, 1.98, 150, ipd, 0, single, 0, 1.233e-05
onnn180cxopcj, ibacs6c3_cj, bc, 1.98, 150, ipu, 3, single, 0, -1.66e-05
onnn180cxopcj, ibacs6c3_cj, bc, 1.98, 150, ibkpu, 2, single, 0, -1.337e-05
onnn180cxopcj, ibacs6c3_cj, bc, 1.98, 150, ibkpd, 2, single, 0, 9.798e-06
onnn180cxopcj, ibacs6xx_cj, bc, 1.98, 150, vhys, no_mode, low, 0, 0.390
onnn180cxopcj, ibacs6xx_cj, bc, 1.98, 150, vhys, no_mode, high, 0, 0.434
onnn180cxopcj, ibacs6xx_cj, bc, 1.98, 150, vih, S, low, 0, 1.101
onnn180cxopcj, ibacs6xx_cj, bc, 1.98, 150, vih, S, high, 0, 1.153
onnn180cxopcj, ibacs6xx_cj, bc, 1.98, 150, vil, S, low, 0, 0.685
onnn180cxopcj, ibacs6xx_cj, bc, 1.98, 150, vil, S, high, 0, 0.743
onnn180cxopcj, ibacs6xx_cj, bc, 1.98, 150, iih, no_mode, low, 0, -1.195e-08
onnn180cxopcj, ibacs6xx_cj, bc, 1.98, 150, iih, no_mode, high, 0, -5.677e-09
onnn180cxopcj, ibacs6xx_cj, bc, 1.98, 150, iil, no_mode, low, 0, 3.603e-11
onnn180cxopcj, ibacs6xx_cj, bc, 1.98, 150, iil, no_mode, high, 0, 4.805e-11
onnn180cxopcj, ibacx6c3_cj, bc, 1.98, 150, vih, no_mode, low, 0, 0.904
onnn180cxopcj, ibacx6c3_cj, bc, 1.98, 150, vih, no_mode, high, 0, 0.982
onnn180cxopcj, ibacx6c3_cj, bc, 1.98, 150, vil, no_mode, low, 0, 0.904
onnn180cxopcj, ibacx6c3_cj, bc, 1.98, 150, vil, no_mode, high, 0, 0.982
onnn180cxopcj, ibacx6c3_cj, bc, 1.98, 150, iih, no_mode, low, 0, -1.196e-08
onnn180cxopcj, ibacx6c3_cj, bc, 1.98, 150, iih, no_mode, high, 0, -5.681e-09
onnn180cxopcj, ibacx6c3_cj, bc, 1.98, 150, iil, no_mode, low, 0, 5.705e-11
onnn180cxopcj, ibacx6c3_cj, bc, 1.98, 150, iil, no_mode, high, 0, 7.598e-11
onnn180cxopcj, ibacx6c3_cj, bc, 1.98, 150, ipd, 0, single, 0, 1.233e-05
onnn180cxopcj, ibacx6c3_cj, bc, 1.98, 150, ipu, 3, single, 0, -1.66e-05
onnn180cxopcj, ibacx6c3_cj, bc, 1.98, 150, ibkpu, 2, single, 0, -1.337e-05
onnn180cxopcj, ibacx6c3_cj, bc, 1.98, 150, ibkpd, 2, single, 0, 9.798e-06
onnn180cxopcj, ibacx6xx_cj, bc, 1.98, 150, vih, no_mode, low, 0, 0.904
onnn180cxopcj, ibacx6xx_cj, bc, 1.98, 150, vih, no_mode, high, 0, 0.982
onnn180cxopcj, ibacx6xx_cj, bc, 1.98, 150, vil, no_mode, low, 0, 0.904
onnn180cxopcj, ibacx6xx_cj, bc, 1.98, 150, vil, no_mode, high, 0, 0.982
onnn180cxopcj, ibacx6xx_cj, bc, 1.98, 150, iih, no_mode, low, 0, -1.195e-08
