LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180cxopcl, ibacs6c2_cl, bc, 1.1, 150, vhys, no_mode, low, 0, 0.208
onnn180cxopcl, ibacs6c2_cl, bc, 1.1, 150, vhys, no_mode, high, 0, 0.259
onnn180cxopcl, ibacs6c2_cl, bc, 1.1, 150, vih, S, low, 0, 0.678
onnn180cxopcl, ibacs6c2_cl, bc, 1.1, 150, vih, S, high, 0, 0.721
onnn180cxopcl, ibacs6c2_cl, bc, 1.1, 150, vil, S, low, 0, 0.434
onnn180cxopcl, ibacs6c2_cl, bc, 1.1, 150, vil, S, high, 0, 0.496
onnn180cxopcl, ibacs6c2_cl, bc, 1.1, 150, iih, no_mode, low, 0, -3.29e-07
onnn180cxopcl, ibacs6c2_cl, bc, 1.1, 150, iih, no_mode, high, 0, -5.3e-08
onnn180cxopcl, ibacs6c2_cl, bc, 1.1, 150, iil, no_mode, low, 0, 3.17e-10
onnn180cxopcl, ibacs6c2_cl, bc, 1.1, 150, iil, no_mode, high, 0, 4.369e-09
onnn180cxopcl, ibacs6c2_cl, bc, 1.1, 150, ipd, 0, single, 0, 9.518e-06
onnn180cxopcl, ibacs6c2_cl, bc, 1.1, 150, ipu, 3, single, 0, -1.143e-05
onnn180cxopcl, ibacs6c2_cl, bc, 1.1, 150, ibkpu, 2, single, 0, -8.168e-06
onnn180cxopcl, ibacs6c2_cl, bc, 1.1, 150, ibkpd, 2, single, 0, 6.547e-06
onnn180cxopcl, ibacs6xx_cl, bc, 1.1, 150, vhys, no_mode, low, 0, 0.208
onnn180cxopcl, ibacs6xx_cl, bc, 1.1, 150, vhys, no_mode, high, 0, 0.259
onnn180cxopcl, ibacs6xx_cl, bc, 1.1, 150, vih, S, low, 0, 0.678
onnn180cxopcl, ibacs6xx_cl, bc, 1.1, 150, vih, S, high, 0, 0.721
onnn180cxopcl, ibacs6xx_cl, bc, 1.1, 150, vil, S, low, 0, 0.434
onnn180cxopcl, ibacs6xx_cl, bc, 1.1, 150, vil, S, high, 0, 0.496
onnn180cxopcl, ibacs6xx_cl, bc, 1.1, 150, iih, no_mode, low, 0, -3.29e-07
onnn180cxopcl, ibacs6xx_cl, bc, 1.1, 150, iih, no_mode, high, 0, -5.293e-08
onnn180cxopcl, ibacs6xx_cl, bc, 1.1, 150, iil, no_mode, low, 0, 3.251e-11
onnn180cxopcl, ibacs6xx_cl, bc, 1.1, 150, iil, no_mode, high, 0, 4.453e-11
onnn180cxopcl, ibacsfcf_cl, bc, 1.1, 150, vhys, no_mode, low, 0, 0.208
onnn180cxopcl, ibacsfcf_cl, bc, 1.1, 150, vhys, no_mode, high, 0, 0.259
onnn180cxopcl, ibacsfcf_cl, bc, 1.1, 150, vih, S, low, 0, 0.678
onnn180cxopcl, ibacsfcf_cl, bc, 1.1, 150, vih, S, high, 0, 0.721
onnn180cxopcl, ibacsfcf_cl, bc, 1.1, 150, vil, S, low, 0, 0.434
onnn180cxopcl, ibacsfcf_cl, bc, 1.1, 150, vil, S, high, 0, 0.496
onnn180cxopcl, ibacsfcf_cl, bc, 1.1, 150, iih, no_mode, low, 0, -1.748e-06
onnn180cxopcl, ibacsfcf_cl, bc, 1.1, 150, iih, no_mode, high, 0, -5.5e-07
onnn180cxopcl, ibacsfcf_cl, bc, 1.1, 150, iil, no_mode, low, 0, 6.98e-10
onnn180cxopcl, ibacsfcf_cl, bc, 1.1, 150, iil, no_mode, high, 0, 1.151e-08
onnn180cxopcl, ibacsfcf_cl, bc, 1.1, 150, ipd, 0, single, 0, 9.728e-06
onnn180cxopcl, ibacsfcf_cl, bc, 1.1, 150, ipu, 3, single, 0, -1.143e-05
onnn180cxopcl, ibacsfcf_cl, bc, 1.1, 150, ibkpu, 2, single, 0, -7.62e-06
onnn180cxopcl, ibacsfcf_cl, bc, 1.1, 150, ibkpd, 2, single, 0, 6.592e-06
onnn180cxopcl, ibacsfxx_cl, bc, 1.1, 150, vhys, no_mode, low, 0, 0.208
onnn180cxopcl, ibacsfxx_cl, bc, 1.1, 150, vhys, no_mode, high, 0, 0.259
onnn180cxopcl, ibacsfxx_cl, bc, 1.1, 150, vih, S, low, 0, 0.678
onnn180cxopcl, ibacsfxx_cl, bc, 1.1, 150, vih, S, high, 0, 0.721
onnn180cxopcl, ibacsfxx_cl, bc, 1.1, 150, vil, S, low, 0, 0.434
onnn180cxopcl, ibacsfxx_cl, bc, 1.1, 150, vil, S, high, 0, 0.496
onnn180cxopcl, ibacsfxx_cl, bc, 1.1, 150, iih, no_mode, low, 0, -1.494e-06
onnn180cxopcl, ibacsfxx_cl, bc, 1.1, 150, iih, no_mode, high, 0, -4.54e-07
onnn180cxopcl, ibacsfxx_cl, bc, 1.1, 150, iil, no_mode, low, 0, 4.25e-10
onnn180cxopcl, ibacsfxx_cl, bc, 1.1, 150, iil, no_mode, high, 0, 7.173e-09
onnn180cxopcl, ibacx6c2_cl, bc, 1.1, 150, vih, no_mode, low, 0, 0.518
onnn180cxopcl, ibacx6c2_cl, bc, 1.1, 150, vih, no_mode, high, 0, 0.590
onnn180cxopcl, ibacx6c2_cl, bc, 1.1, 150, vil, no_mode, low, 0, 0.518
onnn180cxopcl, ibacx6c2_cl, bc, 1.1, 150, vil, no_mode, high, 0, 0.590
onnn180cxopcl, ibacx6c2_cl, bc, 1.1, 150, iih, no_mode, low, 0, -3.29e-07
onnn180cxopcl, ibacx6c2_cl, bc, 1.1, 150, iih, no_mode, high, 0, -5.3e-08
onnn180cxopcl, ibacx6c2_cl, bc, 1.1, 150, iil, no_mode, low, 0, 3.17e-10
onnn180cxopcl, ibacx6c2_cl, bc, 1.1, 150, iil, no_mode, high, 0, 4.369e-09
onnn180cxopcl, ibacx6c2_cl, bc, 1.1, 150, ipd, 0, single, 0, 9.518e-06
onnn180cxopcl, ibacx6c2_cl, bc, 1.1, 150, ipu, 3, single, 0, -1.143e-05
onnn180cxopcl, ibacx6c2_cl, bc, 1.1, 150, ibkpu, 2, single, 0, -8.168e-06
onnn180cxopcl, ibacx6c2_cl, bc, 1.1, 150, ibkpd, 2, single, 0, 6.547e-06
onnn180cxopcl, ibacx6xx_cl, bc, 1.1, 150, vih, no_mode, low, 0, 0.518
onnn180cxopcl, ibacx6xx_cl, bc, 1.1, 150, vih, no_mode, high, 0, 0.590
onnn180cxopcl, ibacx6xx_cl, bc, 1.1, 150, vil, no_mode, low, 0, 0.518
onnn180cxopcl, ibacx6xx_cl, bc, 1.1, 150, vil, no_mode, high, 0, 0.590
onnn180cxopcl, ibacx6xx_cl, bc, 1.1, 150, iih, no_mode, low, 0, -3.29e-07
onnn180cxopcl, ibacx6xx_cl, bc, 1.1, 150, iih, no_mode, high, 0, -5.293e-08
onnn180cxopcl, ibacx6xx_cl, bc, 1.1, 150, iil, no_mode, low, 0, 3.251e-11
onnn180cxopcl, ibacx6xx_cl, bc, 1.1, 150, iil, no_mode, high, 0, 4.453e-11
onnn180cxopcl, ibacxfcf_cl, bc, 1.1, 150, vih, no_mode, low, 0, 0.518
onnn180cxopcl, ibacxfcf_cl, bc, 1.1, 150, vih, no_mode, high, 0, 0.590
onnn180cxopcl, ibacxfcf_cl, bc, 1.1, 150, vil, no_mode, low, 0, 0.518
onnn180cxopcl, ibacxfcf_cl, bc, 1.1, 150, vil, no_mode, high, 0, 0.590
onnn180cxopcl, ibacxfcf_cl, bc, 1.1, 150, iih, no_mode, low, 0, -1.748e-06
onnn180cxopcl, ibacxfcf_cl, bc, 1.1, 150, iih, no_mode, high, 0, -5.5e-07
onnn180cxopcl, ibacxfcf_cl, bc, 1.1, 150, iil, no_mode, low, 0, 6.98e-10
onnn180cxopcl, ibacxfcf_cl, bc, 1.1, 150, iil, no_mode, high, 0, 1.151e-08
onnn180cxopcl, ibacxfcf_cl, bc, 1.1, 150, ipd, 0, single, 0, 9.728e-06
onnn180cxopcl, ibacxfcf_cl, bc, 1.1, 150, ipu, 3, single, 0, -1.143e-05
onnn180cxopcl, ibacxfcf_cl, bc, 1.1, 150, ibkpu, 2, single, 0, -7.62e-06
onnn180cxopcl, ibacxfcf_cl, bc, 1.1, 150, ibkpd, 2, single, 0, 6.592e-06
onnn180cxopcl, ibacxfxx_cl, bc, 1.1, 150, vih, no_mode, low, 0, 0.518
