LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180cxopcm, ibacs6c3_cm, bc, 1.98, 150, vhys, no_mode, low, 0, 0.390
onnn180cxopcm, ibacs6c3_cm, bc, 1.98, 150, vhys, no_mode, high, 0, 0.434
onnn180cxopcm, ibacs6c3_cm, bc, 1.98, 150, vih, S, low, 0, 1.101
onnn180cxopcm, ibacs6c3_cm, bc, 1.98, 150, vih, S, high, 0, 1.153
onnn180cxopcm, ibacs6c3_cm, bc, 1.98, 150, vil, S, low, 0, 0.685
onnn180cxopcm, ibacs6c3_cm, bc, 1.98, 150, vil, S, high, 0, 0.743
onnn180cxopcm, ibacs6c3_cm, bc, 1.98, 150, iih, no_mode, low, 0, -1.039e-08
onnn180cxopcm, ibacs6c3_cm, bc, 1.98, 150, iih, no_mode, high, 0, -3.005e-09
onnn180cxopcm, ibacs6c3_cm, bc, 1.98, 150, iil, no_mode, low, 0, 5.705e-11
onnn180cxopcm, ibacs6c3_cm, bc, 1.98, 150, iil, no_mode, high, 0, 7.598e-11
onnn180cxopcm, ibacs6c3_cm, bc, 1.98, 150, ipd, 0, single, 0, 1.233e-05
onnn180cxopcm, ibacs6c3_cm, bc, 1.98, 150, ipu, 3, single, 0, -1.66e-05
onnn180cxopcm, ibacs6c3_cm, bc, 1.98, 150, ibkpu, 2, single, 0, -1.337e-05
onnn180cxopcm, ibacs6c3_cm, bc, 1.98, 150, ibkpd, 2, single, 0, 9.796e-06
onnn180cxopcm, ibacs6c9_cm, bc, 1.98, 150, vhys, no_mode, low, 0, 0.390
onnn180cxopcm, ibacs6c9_cm, bc, 1.98, 150, vhys, no_mode, high, 0, 0.434
onnn180cxopcm, ibacs6c9_cm, bc, 1.98, 150, vih, S, low, 0, 1.101
onnn180cxopcm, ibacs6c9_cm, bc, 1.98, 150, vih, S, high, 0, 1.153
onnn180cxopcm, ibacs6c9_cm, bc, 1.98, 150, vil, S, low, 0, 0.685
onnn180cxopcm, ibacs6c9_cm, bc, 1.98, 150, vil, S, high, 0, 0.743
onnn180cxopcm, ibacs6c9_cm, bc, 1.98, 150, iih, no_mode, low, 0, -1.075e-08
onnn180cxopcm, ibacs6c9_cm, bc, 1.98, 150, iih, no_mode, high, 0, -3.077e-09
onnn180cxopcm, ibacs6c9_cm, bc, 1.98, 150, iil, no_mode, low, 0, 1.122e-09
onnn180cxopcm, ibacs6c9_cm, bc, 1.98, 150, iil, no_mode, high, 0, 9.415e-09
onnn180cxopcm, ibacs6c9_cm, bc, 1.98, 150, ipd, 0, single, 0, 0.000541
onnn180cxopcm, ibacs6c9_cm, bc, 1.98, 150, ipu, 3, single, 0, -0.00054
onnn180cxopcm, ibacs6c9_cm, bc, 1.98, 150, ibkpu, 2, single, 0, -0.000181
onnn180cxopcm, ibacs6c9_cm, bc, 1.98, 150, ibkpd, 2, single, 0, 0.00019
onnn180cxopcm, ibacs6xx_cm, bc, 1.98, 150, vhys, no_mode, low, 0, 0.390
onnn180cxopcm, ibacs6xx_cm, bc, 1.98, 150, vhys, no_mode, high, 0, 0.434
onnn180cxopcm, ibacs6xx_cm, bc, 1.98, 150, vih, S, low, 0, 1.101
onnn180cxopcm, ibacs6xx_cm, bc, 1.98, 150, vih, S, high, 0, 1.153
onnn180cxopcm, ibacs6xx_cm, bc, 1.98, 150, vil, S, low, 0, 0.685
onnn180cxopcm, ibacs6xx_cm, bc, 1.98, 150, vil, S, high, 0, 0.743
onnn180cxopcm, ibacs6xx_cm, bc, 1.98, 150, iih, no_mode, low, 0, -1.038e-08
onnn180cxopcm, ibacs6xx_cm, bc, 1.98, 150, iih, no_mode, high, 0, -3.001e-09
onnn180cxopcm, ibacs6xx_cm, bc, 1.98, 150, iil, no_mode, low, 0, 3.603e-11
onnn180cxopcm, ibacs6xx_cm, bc, 1.98, 150, iil, no_mode, high, 0, 4.805e-11
onnn180cxopcm, ibacstct_cm, bc, 1.98, 150, vhys, no_mode, low, 0, 0.390
onnn180cxopcm, ibacstct_cm, bc, 1.98, 150, vhys, no_mode, high, 0, 0.434
onnn180cxopcm, ibacstct_cm, bc, 1.98, 150, vih, S, low, 0, 1.101
onnn180cxopcm, ibacstct_cm, bc, 1.98, 150, vih, S, high, 0, 1.153
onnn180cxopcm, ibacstct_cm, bc, 1.98, 150, vil, S, low, 0, 0.685
onnn180cxopcm, ibacstct_cm, bc, 1.98, 150, vil, S, high, 0, 0.743
onnn180cxopcm, ibacstct_cm, bc, 1.98, 150, iih, no_mode, low, 0, -1.02e-07
onnn180cxopcm, ibacstct_cm, bc, 1.98, 150, iih, no_mode, high, 0, -3.499e-08
onnn180cxopcm, ibacstct_cm, bc, 1.98, 150, iil, no_mode, low, 0, 2.927e-11
onnn180cxopcm, ibacstct_cm, bc, 1.98, 150, iil, no_mode, high, 0, 1.05e-10
onnn180cxopcm, ibacstct_cm, bc, 1.98, 150, ipd, 0, single, 0, 1.234e-05
onnn180cxopcm, ibacstct_cm, bc, 1.98, 150, ipu, 3, single, 0, -1.66e-05
onnn180cxopcm, ibacstct_cm, bc, 1.98, 150, ibkpu, 2, single, 0, -1.305e-05
onnn180cxopcm, ibacstct_cm, bc, 1.98, 150, ibkpd, 2, single, 0, 9.714e-06
onnn180cxopcm, ibacstxx_cm, bc, 1.98, 150, vhys, no_mode, low, 0, 0.390
onnn180cxopcm, ibacstxx_cm, bc, 1.98, 150, vhys, no_mode, high, 0, 0.434
onnn180cxopcm, ibacstxx_cm, bc, 1.98, 150, vih, S, low, 0, 1.101
onnn180cxopcm, ibacstxx_cm, bc, 1.98, 150, vih, S, high, 0, 1.153
onnn180cxopcm, ibacstxx_cm, bc, 1.98, 150, vil, S, low, 0, 0.685
onnn180cxopcm, ibacstxx_cm, bc, 1.98, 150, vil, S, high, 0, 0.743
onnn180cxopcm, ibacstxx_cm, bc, 1.98, 150, iih, no_mode, low, 0, -8.8e-08
