LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180cxopcq, ibacs6c3_cq, bc, 1.98, -40, vhys, no_mode, low, 0, 0.479
onnn180cxopcq, ibacs6c3_cq, bc, 1.98, -40, vhys, no_mode, high, 0, 0.523
onnn180cxopcq, ibacs6c3_cq, bc, 1.98, -40, vih, S, low, 0, 1.174
onnn180cxopcq, ibacs6c3_cq, bc, 1.98, -40, vih, S, high, 0, 1.226
onnn180cxopcq, ibacs6c3_cq, bc, 1.98, -40, vil, S, low, 0, 0.668
onnn180cxopcq, ibacs6c3_cq, bc, 1.98, -40, vil, S, high, 0, 0.725
onnn180cxopcq, ibacs6c3_cq, bc, 1.98, -40, iih, no_mode, low, 0, -1.188e-11
onnn180cxopcq, ibacs6c3_cq, bc, 1.98, -40, iih, no_mode, high, 0, -1.188e-11
onnn180cxopcq, ibacs6c3_cq, bc, 1.98, -40, iil, no_mode, low, 0, 9.9e-12
onnn180cxopcq, ibacs6c3_cq, bc, 1.98, -40, iil, no_mode, high, 0, 9.9e-12
onnn180cxopcq, ibacs6c3_cq, bc, 1.98, -40, ipd, 0, single, 0, 2.476e-05
onnn180cxopcq, ibacs6c3_cq, bc, 1.98, -40, ipu, 3, single, 0, -2.108e-05
onnn180cxopcq, ibacs6c3_cq, bc, 1.98, -40, ibkpu, 2, single, 0, -1.818e-05
onnn180cxopcq, ibacs6c3_cq, bc, 1.98, -40, ibkpd, 2, single, 0, 2.131e-05
onnn180cxopcq, ibacs6xx_cq, bc, 1.98, -40, vhys, no_mode, low, 0, 0.479
onnn180cxopcq, ibacs6xx_cq, bc, 1.98, -40, vhys, no_mode, high, 0, 0.523
onnn180cxopcq, ibacs6xx_cq, bc, 1.98, -40, vih, S, low, 0, 1.174
onnn180cxopcq, ibacs6xx_cq, bc, 1.98, -40, vih, S, high, 0, 1.226
onnn180cxopcq, ibacs6xx_cq, bc, 1.98, -40, vil, S, low, 0, 0.668
onnn180cxopcq, ibacs6xx_cq, bc, 1.98, -40, vil, S, high, 0, 0.725
onnn180cxopcq, ibacs6xx_cq, bc, 1.98, -40, iih, no_mode, low, 0, -9.901e-12
onnn180cxopcq, ibacs6xx_cq, bc, 1.98, -40, iih, no_mode, high, 0, -9.9e-12
onnn180cxopcq, ibacs6xx_cq, bc, 1.98, -40, iil, no_mode, low, 0, 7.92e-12
onnn180cxopcq, ibacs6xx_cq, bc, 1.98, -40, iil, no_mode, high, 0, 7.92e-12
onnn180cxopcq, ibacx6c3_cq, bc, 1.98, -40, vih, no_mode, low, 0, 0.927
onnn180cxopcq, ibacx6c3_cq, bc, 1.98, -40, vih, no_mode, high, 0, 1.004
onnn180cxopcq, ibacx6c3_cq, bc, 1.98, -40, vil, no_mode, low, 0, 0.927
onnn180cxopcq, ibacx6c3_cq, bc, 1.98, -40, vil, no_mode, high, 0, 1.004
onnn180cxopcq, ibacx6c3_cq, bc, 1.98, -40, iih, no_mode, low, 0, -1.188e-11
onnn180cxopcq, ibacx6c3_cq, bc, 1.98, -40, iih, no_mode, high, 0, -1.188e-11
onnn180cxopcq, ibacx6c3_cq, bc, 1.98, -40, iil, no_mode, low, 0, 9.9e-12
onnn180cxopcq, ibacx6c3_cq, bc, 1.98, -40, iil, no_mode, high, 0, 9.9e-12
onnn180cxopcq, ibacx6c3_cq, bc, 1.98, -40, ipd, 0, single, 0, 2.476e-05
onnn180cxopcq, ibacx6c3_cq, bc, 1.98, -40, ipu, 3, single, 0, -2.108e-05
onnn180cxopcq, ibacx6c3_cq, bc, 1.98, -40, ibkpu, 2, single, 0, -1.818e-05
onnn180cxopcq, ibacx6c3_cq, bc, 1.98, -40, ibkpd, 2, single, 0, 2.131e-05
onnn180cxopcq, ibacx6xx_cq, bc, 1.98, -40, vih, no_mode, low, 0, 0.927
onnn180cxopcq, ibacx6xx_cq, bc, 1.98, -40, vih, no_mode, high, 0, 1.004
onnn180cxopcq, ibacx6xx_cq, bc, 1.98, -40, vil, no_mode, low, 0, 0.927
onnn180cxopcq, ibacx6xx_cq, bc, 1.98, -40, vil, no_mode, high, 0, 1.004
onnn180cxopcq, ibacx6xx_cq, bc, 1.98, -40, iih, no_mode, low, 0, -9.901e-12
onnn180cxopcq, ibacx6xx_cq, bc, 1.98, -40, iih, no_mode, high, 0, -9.9e-12
onnn180cxopcq, ibacx6xx_cq, bc, 1.98, -40, iil, no_mode, low, 0, 7.92e-12
onnn180cxopcq, ibacx6xx_cq, bc, 1.98, -40, iil, no_mode, high, 0, 7.92e-12
onnn180cxopcq, ioacs6c3cpxe02_cq, bc, 1.98, -40, vhys, no_mode, low, 0, 0.479
onnn180cxopcq, ioacs6c3cpxe02_cq, bc, 1.98, -40, vhys, no_mode, high, 0, 0.523
onnn180cxopcq, ioacs6c3cpxe02_cq, bc, 1.98, -40, vih, S, low, 0, 1.174
onnn180cxopcq, ioacs6c3cpxe02_cq, bc, 1.98, -40, vih, S, high, 0, 1.226
onnn180cxopcq, ioacs6c3cpxe02_cq, bc, 1.98, -40, vil, S, low, 0, 0.668
onnn180cxopcq, ioacs6c3cpxe02_cq, bc, 1.98, -40, vil, S, high, 0, 0.725
onnn180cxopcq, ioacs6c3cpxe02_cq, bc, 1.98, -40, iih, no_mode, low, 0, -2.376e-11
onnn180cxopcq, ioacs6c3cpxe02_cq, bc, 1.98, -40, iih, no_mode, high, 0, -2.376e-11
onnn180cxopcq, ioacs6c3cpxe02_cq, bc, 1.98, -40, iil, no_mode, low, 0, 2.178e-11
onnn180cxopcq, ioacs6c3cpxe02_cq, bc, 1.98, -40, iil, no_mode, high, 0, 2.18e-11
onnn180cxopcq, ioacs6c3cpxe02_cq, bc, 1.98, -40, ipd, 0, single, 0, 2.476e-05
onnn180cxopcq, ioacs6c3cpxe02_cq, bc, 1.98, -40, ipu, 3, single, 0, -2.108e-05
onnn180cxopcq, ioacs6c3cpxe02_cq, bc, 1.98, -40, ibkpu, 2, single, 0, -1.818e-05
onnn180cxopcq, ioacs6c3cpxe02_cq, bc, 1.98, -40, ibkpd, 2, single, 0, 2.131e-05
onnn180cxopcq, ioacs6c3cpxe02_cq, bc, 1.98, -40, ioh, no_mode, single, 2, -0.002558
onnn180cxopcq, ioacs6c3cpxe02_cq, bc, 1.98, -40, iol, no_mode, single, 2, 0.003433
onnn180cxopcq, ioacs6c3cpxe04_cq, bc, 1.98, -40, vhys, no_mode, low, 0, 0.479
onnn180cxopcq, ioacs6c3cpxe04_cq, bc, 1.98, -40, vhys, no_mode, high, 0, 0.523
onnn180cxopcq, ioacs6c3cpxe04_cq, bc, 1.98, -40, vih, S, low, 0, 1.174
onnn180cxopcq, ioacs6c3cpxe04_cq, bc, 1.98, -40, vih, S, high, 0, 1.226
onnn180cxopcq, ioacs6c3cpxe04_cq, bc, 1.98, -40, vil, S, low, 0, 0.668
onnn180cxopcq, ioacs6c3cpxe04_cq, bc, 1.98, -40, vil, S, high, 0, 0.725
onnn180cxopcq, ioacs6c3cpxe04_cq, bc, 1.98, -40, iih, no_mode, low, 0, -2.376e-11
