LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180cxopfh, ibacs6c3_fh, bc, 1.98, 150, vhys, no_mode, low, 0, 0.524
onnn180cxopfh, ibacs6c3_fh, bc, 1.98, 150, vhys, no_mode, high, 0, 0.590
onnn180cxopfh, ibacs6c3_fh, bc, 1.98, 150, vih, S, low, 0, 1.241
onnn180cxopfh, ibacs6c3_fh, bc, 1.98, 150, vih, S, high, 0, 1.329
onnn180cxopfh, ibacs6c3_fh, bc, 1.98, 150, vil, S, low, 0, 0.678
onnn180cxopfh, ibacs6c3_fh, bc, 1.98, 150, vil, S, high, 0, 0.766
onnn180cxopfh, ibacs6c3_fh, bc, 1.98, 150, iih, no_mode, low, 0, -1.2e-07
onnn180cxopfh, ibacs6c3_fh, bc, 1.98, 150, iih, no_mode, high, 0, -7.276e-09
onnn180cxopfh, ibacs6c3_fh, bc, 1.98, 150, iil, no_mode, low, 0, 4.504e-11
onnn180cxopfh, ibacs6c3_fh, bc, 1.98, 150, iil, no_mode, high, 0, 6.113e-11
onnn180cxopfh, ibacs6c3_fh, bc, 1.98, 150, ipd, 0, single, 0, 5.037e-06
onnn180cxopfh, ibacs6c3_fh, bc, 1.98, 150, ipu, 3, single, 0, -6.342e-06
onnn180cxopfh, ibacs6c3_fh, bc, 1.98, 150, ibkpu, 2, single, 0, -5.171e-06
onnn180cxopfh, ibacs6c3_fh, bc, 1.98, 150, ibkpd, 2, single, 0, 4.107e-06
onnn180cxopfh, ibacs6xx_fh, bc, 1.98, 150, vhys, no_mode, low, 0, 0.524
onnn180cxopfh, ibacs6xx_fh, bc, 1.98, 150, vhys, no_mode, high, 0, 0.590
onnn180cxopfh, ibacs6xx_fh, bc, 1.98, 150, vih, S, low, 0, 1.241
onnn180cxopfh, ibacs6xx_fh, bc, 1.98, 150, vih, S, high, 0, 1.329
onnn180cxopfh, ibacs6xx_fh, bc, 1.98, 150, vil, S, low, 0, 0.678
onnn180cxopfh, ibacs6xx_fh, bc, 1.98, 150, vil, S, high, 0, 0.766
onnn180cxopfh, ibacs6xx_fh, bc, 1.98, 150, iih, no_mode, low, 0, -1.2e-07
onnn180cxopfh, ibacs6xx_fh, bc, 1.98, 150, iih, no_mode, high, 0, -7.271e-09
onnn180cxopfh, ibacs6xx_fh, bc, 1.98, 150, iil, no_mode, low, 0, 3.316e-11
onnn180cxopfh, ibacs6xx_fh, bc, 1.98, 150, iil, no_mode, high, 0, 4.233e-11
onnn180cxopfh, ibacx6c3_fh, bc, 1.98, 150, vih, no_mode, low, 0, 0.920
onnn180cxopfh, ibacx6c3_fh, bc, 1.98, 150, vih, no_mode, high, 0, 1.065
onnn180cxopfh, ibacx6c3_fh, bc, 1.98, 150, vil, no_mode, low, 0, 0.920
onnn180cxopfh, ibacx6c3_fh, bc, 1.98, 150, vil, no_mode, high, 0, 1.065
onnn180cxopfh, ibacx6c3_fh, bc, 1.98, 150, iih, no_mode, low, 0, -1.2e-07
onnn180cxopfh, ibacx6c3_fh, bc, 1.98, 150, iih, no_mode, high, 0, -7.276e-09
onnn180cxopfh, ibacx6c3_fh, bc, 1.98, 150, iil, no_mode, low, 0, 4.504e-11
onnn180cxopfh, ibacx6c3_fh, bc, 1.98, 150, iil, no_mode, high, 0, 6.113e-11
onnn180cxopfh, ibacx6c3_fh, bc, 1.98, 150, ipd, 0, single, 0, 5.037e-06
onnn180cxopfh, ibacx6c3_fh, bc, 1.98, 150, ipu, 3, single, 0, -6.342e-06
onnn180cxopfh, ibacx6c3_fh, bc, 1.98, 150, ibkpu, 2, single, 0, -5.171e-06
onnn180cxopfh, ibacx6c3_fh, bc, 1.98, 150, ibkpd, 2, single, 0, 4.107e-06
onnn180cxopfh, ibacx6xx_fh, bc, 1.98, 150, vih, no_mode, low, 0, 0.920
onnn180cxopfh, ibacx6xx_fh, bc, 1.98, 150, vih, no_mode, high, 0, 1.065
onnn180cxopfh, ibacx6xx_fh, bc, 1.98, 150, vil, no_mode, low, 0, 0.920
onnn180cxopfh, ibacx6xx_fh, bc, 1.98, 150, vil, no_mode, high, 0, 1.065
onnn180cxopfh, ibacx6xx_fh, bc, 1.98, 150, iih, no_mode, low, 0, -1.2e-07
onnn180cxopfh, ibacx6xx_fh, bc, 1.98, 150, iih, no_mode, high, 0, -7.271e-09
onnn180cxopfh, ibacx6xx_fh, bc, 1.98, 150, iil, no_mode, low, 0, 3.316e-11
onnn180cxopfh, ibacx6xx_fh, bc, 1.98, 150, iil, no_mode, high, 0, 4.233e-11
onnn180cxopfh, ibaqc6xx_fh, bc, 1.98, 150, vih, no_mode, low, 0, 0.920
onnn180cxopfh, ibaqc6xx_fh, bc, 1.98, 150, vih, no_mode, high, 0, 1.065
onnn180cxopfh, ibaqc6xx_fh, bc, 1.98, 150, vil, no_mode, low, 0, 0.920
onnn180cxopfh, ibaqc6xx_fh, bc, 1.98, 150, vil, no_mode, high, 0, 1.065
onnn180cxopfh, ibaqc6xx_fh, bc, 1.98, 150, iih, no_mode, low, 0, -1.2e-07
onnn180cxopfh, ibaqc6xx_fh, bc, 1.98, 150, iih, no_mode, high, 0, -7.271e-09
