LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180cxopfm, ibacs6c3_fm, bc, 3.63, 0, vhys, no_mode, low, 0, 0.603
onnn180cxopfm, ibacs6c3_fm, bc, 3.63, 0, vhys, no_mode, high, 0, 0.648
onnn180cxopfm, ibacs6c3_fm, bc, 3.63, 0, vih, S, low, 0, 1.766
onnn180cxopfm, ibacs6c3_fm, bc, 3.63, 0, vih, S, high, 0, 1.818
onnn180cxopfm, ibacs6c3_fm, bc, 3.63, 0, vil, S, low, 0, 1.135
onnn180cxopfm, ibacs6c3_fm, bc, 3.63, 0, vil, S, high, 0, 1.197
onnn180cxopfm, ibacs6c3_fm, bc, 3.63, 0, iih, no_mode, low, 0, -2.192e-11
onnn180cxopfm, ibacs6c3_fm, bc, 3.63, 0, iih, no_mode, high, 0, -2.18e-11
onnn180cxopfm, ibacs6c3_fm, bc, 3.63, 0, iil, no_mode, low, 0, 1.815e-11
onnn180cxopfm, ibacs6c3_fm, bc, 3.63, 0, iil, no_mode, high, 0, 1.815e-11
onnn180cxopfm, ibacs6c3_fm, bc, 3.63, 0, ipd, 0, single, 0, 8.998e-05
onnn180cxopfm, ibacs6c3_fm, bc, 3.63, 0, ipu, 3, single, 0, -9.204e-05
onnn180cxopfm, ibacs6c3_fm, bc, 3.63, 0, ibkpu, 2, single, 0, -6.523e-05
onnn180cxopfm, ibacs6c3_fm, bc, 3.63, 0, ibkpd, 2, single, 0, 5.923e-05
onnn180cxopfm, ibacs6xx_fm, bc, 3.63, 0, vhys, no_mode, low, 0, 0.603
onnn180cxopfm, ibacs6xx_fm, bc, 3.63, 0, vhys, no_mode, high, 0, 0.648
onnn180cxopfm, ibacs6xx_fm, bc, 3.63, 0, vih, S, low, 0, 1.766
onnn180cxopfm, ibacs6xx_fm, bc, 3.63, 0, vih, S, high, 0, 1.818
onnn180cxopfm, ibacs6xx_fm, bc, 3.63, 0, vil, S, low, 0, 1.135
onnn180cxopfm, ibacs6xx_fm, bc, 3.63, 0, vil, S, high, 0, 1.197
onnn180cxopfm, ibacs6xx_fm, bc, 3.63, 0, iih, no_mode, low, 0, -1.829e-11
onnn180cxopfm, ibacs6xx_fm, bc, 3.63, 0, iih, no_mode, high, 0, -1.817e-11
onnn180cxopfm, ibacs6xx_fm, bc, 3.63, 0, iil, no_mode, low, 0, 1.452e-11
onnn180cxopfm, ibacs6xx_fm, bc, 3.63, 0, iil, no_mode, high, 0, 1.452e-11
onnn180cxopfm, ibacstct_fm, bc, 3.63, 0, vhys, no_mode, low, 0, 0.603
onnn180cxopfm, ibacstct_fm, bc, 3.63, 0, vhys, no_mode, high, 0, 0.648
onnn180cxopfm, ibacstct_fm, bc, 3.63, 0, vih, S, low, 0, 1.766
onnn180cxopfm, ibacstct_fm, bc, 3.63, 0, vih, S, high, 0, 1.818
onnn180cxopfm, ibacstct_fm, bc, 3.63, 0, vil, S, low, 0, 1.135
onnn180cxopfm, ibacstct_fm, bc, 3.63, 0, vil, S, high, 0, 1.197
onnn180cxopfm, ibacstct_fm, bc, 3.63, 0, iih, no_mode, low, 0, -9.587e-11
onnn180cxopfm, ibacstct_fm, bc, 3.63, 0, iih, no_mode, high, 0, -9.336e-11
onnn180cxopfm, ibacstct_fm, bc, 3.63, 0, iil, no_mode, low, 0, 7.261e-12
onnn180cxopfm, ibacstct_fm, bc, 3.63, 0, iil, no_mode, high, 0, 7.267e-12
onnn180cxopfm, ibacstct_fm, bc, 3.63, 0, ipd, 0, single, 0, 8.992e-05
onnn180cxopfm, ibacstct_fm, bc, 3.63, 0, ipu, 3, single, 0, -9.203e-05
onnn180cxopfm, ibacstct_fm, bc, 3.63, 0, ibkpu, 2, single, 0, -6.346e-05
onnn180cxopfm, ibacstct_fm, bc, 3.63, 0, ibkpd, 2, single, 0, 5.833e-05
onnn180cxopfm, ibacstxx_fm, bc, 3.63, 0, vhys, no_mode, low, 0, 0.603
onnn180cxopfm, ibacstxx_fm, bc, 3.63, 0, vhys, no_mode, high, 0, 0.648
onnn180cxopfm, ibacstxx_fm, bc, 3.63, 0, vih, S, low, 0, 1.766
onnn180cxopfm, ibacstxx_fm, bc, 3.63, 0, vih, S, high, 0, 1.818
onnn180cxopfm, ibacstxx_fm, bc, 3.63, 0, vil, S, low, 0, 1.135
onnn180cxopfm, ibacstxx_fm, bc, 3.63, 0, vil, S, high, 0, 1.197
onnn180cxopfm, ibacstxx_fm, bc, 3.63, 0, iih, no_mode, low, 0, -9.224e-11
