LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180cxopfn, ibacs6c2_fn, bc, 1.1, 150, vhys, no_mode, low, 0, 0.205
onnn180cxopfn, ibacs6c2_fn, bc, 1.1, 150, vhys, no_mode, high, 0, 0.257
onnn180cxopfn, ibacs6c2_fn, bc, 1.1, 150, vih, S, low, 0, 0.674
onnn180cxopfn, ibacs6c2_fn, bc, 1.1, 150, vih, S, high, 0, 0.717
onnn180cxopfn, ibacs6c2_fn, bc, 1.1, 150, vil, S, low, 0, 0.433
onnn180cxopfn, ibacs6c2_fn, bc, 1.1, 150, vil, S, high, 0, 0.496
onnn180cxopfn, ibacs6c2_fn, bc, 1.1, 150, iih, no_mode, low, 0, -3.18e-07
onnn180cxopfn, ibacs6c2_fn, bc, 1.1, 150, iih, no_mode, high, 0, -5.41e-08
onnn180cxopfn, ibacs6c2_fn, bc, 1.1, 150, iil, no_mode, low, 0, 3.17e-10
onnn180cxopfn, ibacs6c2_fn, bc, 1.1, 150, iil, no_mode, high, 0, 4.369e-09
onnn180cxopfn, ibacs6c2_fn, bc, 1.1, 150, ipd, 0, single, 0, 9.506e-06
onnn180cxopfn, ibacs6c2_fn, bc, 1.1, 150, ipu, 3, single, 0, -1.143e-05
onnn180cxopfn, ibacs6c2_fn, bc, 1.1, 150, ibkpu, 2, single, 0, -8.177e-06
onnn180cxopfn, ibacs6c2_fn, bc, 1.1, 150, ibkpd, 2, single, 0, 6.542e-06
onnn180cxopfn, ibacs6xx_fn, bc, 1.1, 150, vhys, no_mode, low, 0, 0.205
onnn180cxopfn, ibacs6xx_fn, bc, 1.1, 150, vhys, no_mode, high, 0, 0.257
onnn180cxopfn, ibacs6xx_fn, bc, 1.1, 150, vih, S, low, 0, 0.674
onnn180cxopfn, ibacs6xx_fn, bc, 1.1, 150, vih, S, high, 0, 0.717
onnn180cxopfn, ibacs6xx_fn, bc, 1.1, 150, vil, S, low, 0, 0.433
onnn180cxopfn, ibacs6xx_fn, bc, 1.1, 150, vil, S, high, 0, 0.496
onnn180cxopfn, ibacs6xx_fn, bc, 1.1, 150, iih, no_mode, low, 0, -3.18e-07
onnn180cxopfn, ibacs6xx_fn, bc, 1.1, 150, iih, no_mode, high, 0, -5.403e-08
onnn180cxopfn, ibacs6xx_fn, bc, 1.1, 150, iil, no_mode, low, 0, 3.251e-11
onnn180cxopfn, ibacs6xx_fn, bc, 1.1, 150, iil, no_mode, high, 0, 4.453e-11
onnn180cxopfn, ibacsfcf_fn, bc, 1.1, 150, vhys, no_mode, low, 0, 0.205
onnn180cxopfn, ibacsfcf_fn, bc, 1.1, 150, vhys, no_mode, high, 0, 0.257
onnn180cxopfn, ibacsfcf_fn, bc, 1.1, 150, vih, S, low, 0, 0.674
onnn180cxopfn, ibacsfcf_fn, bc, 1.1, 150, vih, S, high, 0, 0.717
onnn180cxopfn, ibacsfcf_fn, bc, 1.1, 150, vil, S, low, 0, 0.433
onnn180cxopfn, ibacsfcf_fn, bc, 1.1, 150, vil, S, high, 0, 0.496
onnn180cxopfn, ibacsfcf_fn, bc, 1.1, 150, iih, no_mode, low, 0, -1.726e-06
onnn180cxopfn, ibacsfcf_fn, bc, 1.1, 150, iih, no_mode, high, 0, -5.51e-07
onnn180cxopfn, ibacsfcf_fn, bc, 1.1, 150, iil, no_mode, low, 0, 6.98e-10
onnn180cxopfn, ibacsfcf_fn, bc, 1.1, 150, iil, no_mode, high, 0, 1.151e-08
onnn180cxopfn, ibacsfcf_fn, bc, 1.1, 150, ipd, 0, single, 0, 9.707e-06
onnn180cxopfn, ibacsfcf_fn, bc, 1.1, 150, ipu, 3, single, 0, -1.143e-05
onnn180cxopfn, ibacsfcf_fn, bc, 1.1, 150, ibkpu, 2, single, 0, -7.638e-06
onnn180cxopfn, ibacsfcf_fn, bc, 1.1, 150, ibkpd, 2, single, 0, 6.58e-06
onnn180cxopfn, ibacsfxx_fn, bc, 1.1, 150, vhys, no_mode, low, 0, 0.205
onnn180cxopfn, ibacsfxx_fn, bc, 1.1, 150, vhys, no_mode, high, 0, 0.257
onnn180cxopfn, ibacsfxx_fn, bc, 1.1, 150, vih, S, low, 0, 0.674
onnn180cxopfn, ibacsfxx_fn, bc, 1.1, 150, vih, S, high, 0, 0.717
onnn180cxopfn, ibacsfxx_fn, bc, 1.1, 150, vil, S, low, 0, 0.433
onnn180cxopfn, ibacsfxx_fn, bc, 1.1, 150, vil, S, high, 0, 0.496
onnn180cxopfn, ibacsfxx_fn, bc, 1.1, 150, iih, no_mode, low, 0, -1.472e-06
onnn180cxopfn, ibacsfxx_fn, bc, 1.1, 150, iih, no_mode, high, 0, -4.56e-07
onnn180cxopfn, ibacsfxx_fn, bc, 1.1, 150, iil, no_mode, low, 0, 4.25e-10
onnn180cxopfn, ibacsfxx_fn, bc, 1.1, 150, iil, no_mode, high, 0, 7.173e-09
onnn180cxopfn, ibacx6c2_fn, bc, 1.1, 150, vih, no_mode, low, 0, 0.518
onnn180cxopfn, ibacx6c2_fn, bc, 1.1, 150, vih, no_mode, high, 0, 0.590
onnn180cxopfn, ibacx6c2_fn, bc, 1.1, 150, vil, no_mode, low, 0, 0.518
onnn180cxopfn, ibacx6c2_fn, bc, 1.1, 150, vil, no_mode, high, 0, 0.590
onnn180cxopfn, ibacx6c2_fn, bc, 1.1, 150, iih, no_mode, low, 0, -3.18e-07
onnn180cxopfn, ibacx6c2_fn, bc, 1.1, 150, iih, no_mode, high, 0, -5.41e-08
onnn180cxopfn, ibacx6c2_fn, bc, 1.1, 150, iil, no_mode, low, 0, 3.17e-10
onnn180cxopfn, ibacx6c2_fn, bc, 1.1, 150, iil, no_mode, high, 0, 4.369e-09
onnn180cxopfn, ibacx6c2_fn, bc, 1.1, 150, ipd, 0, single, 0, 9.506e-06
onnn180cxopfn, ibacx6c2_fn, bc, 1.1, 150, ipu, 3, single, 0, -1.143e-05
onnn180cxopfn, ibacx6c2_fn, bc, 1.1, 150, ibkpu, 2, single, 0, -8.177e-06
onnn180cxopfn, ibacx6c2_fn, bc, 1.1, 150, ibkpd, 2, single, 0, 6.542e-06
onnn180cxopfn, ibacx6xx_fn, bc, 1.1, 150, vih, no_mode, low, 0, 0.518
onnn180cxopfn, ibacx6xx_fn, bc, 1.1, 150, vih, no_mode, high, 0, 0.590
onnn180cxopfn, ibacx6xx_fn, bc, 1.1, 150, vil, no_mode, low, 0, 0.518
onnn180cxopfn, ibacx6xx_fn, bc, 1.1, 150, vil, no_mode, high, 0, 0.590
onnn180cxopfn, ibacx6xx_fn, bc, 1.1, 150, iih, no_mode, low, 0, -3.18e-07
onnn180cxopfn, ibacx6xx_fn, bc, 1.1, 150, iih, no_mode, high, 0, -5.403e-08
onnn180cxopfn, ibacx6xx_fn, bc, 1.1, 150, iil, no_mode, low, 0, 3.251e-11
onnn180cxopfn, ibacx6xx_fn, bc, 1.1, 150, iil, no_mode, high, 0, 4.453e-11
onnn180cxopfn, ibacxfcf_fn, bc, 1.1, 150, vih, no_mode, low, 0, 0.518
onnn180cxopfn, ibacxfcf_fn, bc, 1.1, 150, vih, no_mode, high, 0, 0.590
onnn180cxopfn, ibacxfcf_fn, bc, 1.1, 150, vil, no_mode, low, 0, 0.518
onnn180cxopfn, ibacxfcf_fn, bc, 1.1, 150, vil, no_mode, high, 0, 0.590
onnn180cxopfn, ibacxfcf_fn, bc, 1.1, 150, iih, no_mode, low, 0, -1.726e-06
onnn180cxopfn, ibacxfcf_fn, bc, 1.1, 150, iih, no_mode, high, 0, -5.51e-07
onnn180cxopfn, ibacxfcf_fn, bc, 1.1, 150, iil, no_mode, low, 0, 6.98e-10
onnn180cxopfn, ibacxfcf_fn, bc, 1.1, 150, iil, no_mode, high, 0, 1.151e-08
onnn180cxopfn, ibacxfcf_fn, bc, 1.1, 150, ipd, 0, single, 0, 9.707e-06
onnn180cxopfn, ibacxfcf_fn, bc, 1.1, 150, ipu, 3, single, 0, -1.143e-05
onnn180cxopfn, ibacxfcf_fn, bc, 1.1, 150, ibkpu, 2, single, 0, -7.638e-06
onnn180cxopfn, ibacxfcf_fn, bc, 1.1, 150, ibkpd, 2, single, 0, 6.58e-06
onnn180cxopfn, ibacxfxx_fn, bc, 1.1, 150, vih, no_mode, low, 0, 0.518
onnn180cxopfn, ibacxfxx_fn, bc, 1.1, 150, vih, no_mode, high, 0, 0.590
