LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180cxoptd, ibacstc9_td, bc, 3.63, 150, vhys, no_mode, low, 0, 0.410
onnn180cxoptd, ibacstc9_td, bc, 3.63, 150, vhys, no_mode, high, 0, 0.436
onnn180cxoptd, ibacstc9_td, bc, 3.63, 150, vih, S, low, 0, 1.736
onnn180cxoptd, ibacstc9_td, bc, 3.63, 150, vih, S, high, 0, 1.818
onnn180cxoptd, ibacstc9_td, bc, 3.63, 150, vil, S, low, 0, 1.326
onnn180cxoptd, ibacstc9_td, bc, 3.63, 150, vil, S, high, 0, 1.382
onnn180cxoptd, ibacstc9_td, bc, 3.63, 150, iih, no_mode, low, 0, -4.12e-07
onnn180cxoptd, ibacstc9_td, bc, 3.63, 150, iih, no_mode, high, 0, -7.283e-08
onnn180cxoptd, ibacstc9_td, bc, 3.63, 150, iil, no_mode, low, 0, 7.166e-08
onnn180cxoptd, ibacstc9_td, bc, 3.63, 150, iil, no_mode, high, 0, 5.28e-07
onnn180cxoptd, ibacstc9_td, bc, 3.63, 150, ipd, 0, single, 0, 0.001229
onnn180cxoptd, ibacstc9_td, bc, 3.63, 150, ipu, 3, single, 0, -0.001283
onnn180cxoptd, ibacstc9_td, bc, 3.63, 150, ibkpu, 2, single, 0, -0.000354
onnn180cxoptd, ibacstc9_td, bc, 3.63, 150, ibkpd, 2, single, 0, 0.000377
onnn180cxoptd, ibacstct_td, bc, 3.63, 150, vhys, no_mode, low, 0, 0.409
onnn180cxoptd, ibacstct_td, bc, 3.63, 150, vhys, no_mode, high, 0, 0.436
onnn180cxoptd, ibacstct_td, bc, 3.63, 150, vih, S, low, 0, 1.736
onnn180cxoptd, ibacstct_td, bc, 3.63, 150, vih, S, high, 0, 1.818
onnn180cxoptd, ibacstct_td, bc, 3.63, 150, vil, S, low, 0, 1.326
onnn180cxoptd, ibacstct_td, bc, 3.63, 150, vil, S, high, 0, 1.382
onnn180cxoptd, ibacstct_td, bc, 3.63, 150, iih, no_mode, low, 0, -4.12e-07
onnn180cxoptd, ibacstct_td, bc, 3.63, 150, iih, no_mode, high, 0, -7.319e-08
onnn180cxoptd, ibacstct_td, bc, 3.63, 150, iil, no_mode, low, 0, 6.989e-08
onnn180cxoptd, ibacstct_td, bc, 3.63, 150, iil, no_mode, high, 0, 5.11e-07
onnn180cxoptd, ibacstct_td, bc, 3.63, 150, ipd, 0, single, 0, 8.694e-05
onnn180cxoptd, ibacstct_td, bc, 3.63, 150, ipu, 3, single, 0, -8.252e-05
onnn180cxoptd, ibacstct_td, bc, 3.63, 150, ibkpu, 2, single, 0, -2.536e-05
onnn180cxoptd, ibacstct_td, bc, 3.63, 150, ibkpd, 2, single, 0, 2.589e-05
onnn180cxoptd, ibacstxx_td, bc, 3.63, 150, vhys, no_mode, low, 0, 0.409
onnn180cxoptd, ibacstxx_td, bc, 3.63, 150, vhys, no_mode, high, 0, 0.436
onnn180cxoptd, ibacstxx_td, bc, 3.63, 150, vih, S, low, 0, 1.736
onnn180cxoptd, ibacstxx_td, bc, 3.63, 150, vih, S, high, 0, 1.818
onnn180cxoptd, ibacstxx_td, bc, 3.63, 150, vil, S, low, 0, 1.326
onnn180cxoptd, ibacstxx_td, bc, 3.63, 150, vil, S, high, 0, 1.382
onnn180cxoptd, ibacstxx_td, bc, 3.63, 150, iih, no_mode, low, 0, -4.09e-07
onnn180cxoptd, ibacstxx_td, bc, 3.63, 150, iih, no_mode, high, 0, -7.098e-08
onnn180cxoptd, ibacstxx_td, bc, 3.63, 150, iil, no_mode, low, 0, 6.976e-08
onnn180cxoptd, ibacstxx_td, bc, 3.63, 150, iil, no_mode, high, 0, 5.09e-07
onnn180cxoptd, ibacxtct_td, bc, 3.63, 150, vih, no_mode, low, 0, 1.453
onnn180cxoptd, ibacxtct_td, bc, 3.63, 150, vih, no_mode, high, 0, 1.541
onnn180cxoptd, ibacxtct_td, bc, 3.63, 150, vil, no_mode, low, 0, 1.453
onnn180cxoptd, ibacxtct_td, bc, 3.63, 150, vil, no_mode, high, 0, 1.541
onnn180cxoptd, ibacxtct_td, bc, 3.63, 150, iih, no_mode, low, 0, -4.12e-07
onnn180cxoptd, ibacxtct_td, bc, 3.63, 150, iih, no_mode, high, 0, -7.319e-08
onnn180cxoptd, ibacxtct_td, bc, 3.63, 150, iil, no_mode, low, 0, 6.989e-08
onnn180cxoptd, ibacxtct_td, bc, 3.63, 150, iil, no_mode, high, 0, 5.11e-07
onnn180cxoptd, ibacxtct_td, bc, 3.63, 150, ipd, 0, single, 0, 8.694e-05
onnn180cxoptd, ibacxtct_td, bc, 3.63, 150, ipu, 3, single, 0, -8.252e-05
onnn180cxoptd, ibacxtct_td, bc, 3.63, 150, ibkpu, 2, single, 0, -2.536e-05
onnn180cxoptd, ibacxtct_td, bc, 3.63, 150, ibkpd, 2, single, 0, 2.589e-05
