LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180cxoptg, BSCMOS33_04, bc, 2.75, 0, vhys, no_mode, low, 0, 0.305
onnn180cxoptg, BSCMOS33_04, bc, 2.75, 0, vhys, no_mode, high, 0, 0.325
onnn180cxoptg, BSCMOS33_04, bc, 2.75, 0, vih, S, low, 0, 1.297
onnn180cxoptg, BSCMOS33_04, bc, 2.75, 0, vih, S, high, 0, 1.361
onnn180cxoptg, BSCMOS33_04, bc, 2.75, 0, vil, S, low, 0, 0.992
onnn180cxoptg, BSCMOS33_04, bc, 2.75, 0, vil, S, high, 0, 1.036
onnn180cxoptg, BSCMOS33_04, bc, 2.75, 0, iih, no_mode, low, 0, -6.054e-11
onnn180cxoptg, BSCMOS33_04, bc, 2.75, 0, iih, no_mode, high, 0, -6.051e-11
onnn180cxoptg, BSCMOS33_04, bc, 2.75, 0, iil, no_mode, low, 0, 3.99e-10
onnn180cxoptg, BSCMOS33_04, bc, 2.75, 0, iil, no_mode, high, 0, 4.04e-10
onnn180cxoptg, BSCMOS33_04, bc, 2.75, 0, ipd, 0, single, 0, 6.828e-05
onnn180cxoptg, BSCMOS33_04, bc, 2.75, 0, ipu, 3, single, 0, -6.191e-05
onnn180cxoptg, BSCMOS33_04, bc, 2.75, 0, ibkpu, 2, single, 0, -1.922e-05
onnn180cxoptg, BSCMOS33_04, bc, 2.75, 0, ibkpd, 2, single, 0, 2.081e-05
onnn180cxoptg, BSCMOS33_04, bc, 2.75, 0, ioh, no_mode, single, 4, -0.01385
onnn180cxoptg, BSCMOS33_04, bc, 2.75, 0, iol, no_mode, single, 4, 0.01327
onnn180cxoptg, BSCMOS33_04PX, bc, 2.75, 0, vhys, no_mode, low, 0, 0.305
onnn180cxoptg, BSCMOS33_04PX, bc, 2.75, 0, vhys, no_mode, high, 0, 0.325
onnn180cxoptg, BSCMOS33_04PX, bc, 2.75, 0, vih, S, low, 0, 1.297
onnn180cxoptg, BSCMOS33_04PX, bc, 2.75, 0, vih, S, high, 0, 1.361
onnn180cxoptg, BSCMOS33_04PX, bc, 2.75, 0, vil, S, low, 0, 0.992
onnn180cxoptg, BSCMOS33_04PX, bc, 2.75, 0, vil, S, high, 0, 1.036
onnn180cxoptg, BSCMOS33_04PX, bc, 2.75, 0, iih, no_mode, low, 0, -5.779e-11
onnn180cxoptg, BSCMOS33_04PX, bc, 2.75, 0, iih, no_mode, high, 0, -5.776e-11
onnn180cxoptg, BSCMOS33_04PX, bc, 2.75, 0, iil, no_mode, low, 0, 3.96e-10
onnn180cxoptg, BSCMOS33_04PX, bc, 2.75, 0, iil, no_mode, high, 0, 4.01e-10
onnn180cxoptg, BSCMOS33_04PX, bc, 2.75, 0, ioh, no_mode, single, 4, -0.01385
onnn180cxoptg, BSCMOS33_04PX, bc, 2.75, 0, iol, no_mode, single, 4, 0.01327
onnn180cxoptg, BSCMOS33_08, bc, 2.75, 0, vhys, no_mode, low, 0, 0.305
onnn180cxoptg, BSCMOS33_08, bc, 2.75, 0, vhys, no_mode, high, 0, 0.325
onnn180cxoptg, BSCMOS33_08, bc, 2.75, 0, vih, S, low, 0, 1.297
onnn180cxoptg, BSCMOS33_08, bc, 2.75, 0, vih, S, high, 0, 1.361
onnn180cxoptg, BSCMOS33_08, bc, 2.75, 0, vil, S, low, 0, 0.992
onnn180cxoptg, BSCMOS33_08, bc, 2.75, 0, vil, S, high, 0, 1.036
onnn180cxoptg, BSCMOS33_08, bc, 2.75, 0, iih, no_mode, low, 0, -6.054e-11
onnn180cxoptg, BSCMOS33_08, bc, 2.75, 0, iih, no_mode, high, 0, -6.051e-11
onnn180cxoptg, BSCMOS33_08, bc, 2.75, 0, iil, no_mode, low, 0, 3.99e-10
onnn180cxoptg, BSCMOS33_08, bc, 2.75, 0, iil, no_mode, high, 0, 4.04e-10
onnn180cxoptg, BSCMOS33_08, bc, 2.75, 0, ipd, 0, single, 0, 6.828e-05
onnn180cxoptg, BSCMOS33_08, bc, 2.75, 0, ipu, 3, single, 0, -6.191e-05
onnn180cxoptg, BSCMOS33_08, bc, 2.75, 0, ibkpu, 2, single, 0, -1.922e-05
onnn180cxoptg, BSCMOS33_08, bc, 2.75, 0, ibkpd, 2, single, 0, 2.081e-05
onnn180cxoptg, BSCMOS33_08, bc, 2.75, 0, ioh, no_mode, single, 8, -0.02758
onnn180cxoptg, BSCMOS33_08, bc, 2.75, 0, iol, no_mode, single, 8, 0.02648
onnn180cxoptg, BSCMOS33_08PX, bc, 2.75, 0, vhys, no_mode, low, 0, 0.305
onnn180cxoptg, BSCMOS33_08PX, bc, 2.75, 0, vhys, no_mode, high, 0, 0.325
onnn180cxoptg, BSCMOS33_08PX, bc, 2.75, 0, vih, S, low, 0, 1.297
onnn180cxoptg, BSCMOS33_08PX, bc, 2.75, 0, vih, S, high, 0, 1.361
onnn180cxoptg, BSCMOS33_08PX, bc, 2.75, 0, vil, S, low, 0, 0.992
onnn180cxoptg, BSCMOS33_08PX, bc, 2.75, 0, vil, S, high, 0, 1.036
onnn180cxoptg, BSCMOS33_08PX, bc, 2.75, 0, iih, no_mode, low, 0, -5.779e-11
onnn180cxoptg, BSCMOS33_08PX, bc, 2.75, 0, iih, no_mode, high, 0, -5.776e-11
onnn180cxoptg, BSCMOS33_08PX, bc, 2.75, 0, iil, no_mode, low, 0, 3.96e-10
onnn180cxoptg, BSCMOS33_08PX, bc, 2.75, 0, iil, no_mode, high, 0, 4.01e-10
onnn180cxoptg, BSCMOS33_08PX, bc, 2.75, 0, ioh, no_mode, single, 8, -0.02758
onnn180cxoptg, BSCMOS33_08PX, bc, 2.75, 0, iol, no_mode, single, 8, 0.02648
onnn180cxoptg, BSCMOS33_12, bc, 2.75, 0, vhys, no_mode, low, 0, 0.305
onnn180cxoptg, BSCMOS33_12, bc, 2.75, 0, vhys, no_mode, high, 0, 0.325
onnn180cxoptg, BSCMOS33_12, bc, 2.75, 0, vih, S, low, 0, 1.297
onnn180cxoptg, BSCMOS33_12, bc, 2.75, 0, vih, S, high, 0, 1.361
