LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180cxopts, ibacsfcf_ts, bc, 2.75, 0, vhys, no_mode, low, 0, 0.315
onnn180cxopts, ibacsfcf_ts, bc, 2.75, 0, vhys, no_mode, high, 0, 0.343
onnn180cxopts, ibacsfcf_ts, bc, 2.75, 0, vih, S, low, 0, 1.391
onnn180cxopts, ibacsfcf_ts, bc, 2.75, 0, vih, S, high, 0, 1.460
onnn180cxopts, ibacsfcf_ts, bc, 2.75, 0, vil, S, low, 0, 1.060
onnn180cxopts, ibacsfcf_ts, bc, 2.75, 0, vil, S, high, 0, 1.135
onnn180cxopts, ibacsfcf_ts, bc, 2.75, 0, iih, no_mode, low, 0, -9.99e-11
onnn180cxopts, ibacsfcf_ts, bc, 2.75, 0, iih, no_mode, high, 0, -9.875e-11
onnn180cxopts, ibacsfcf_ts, bc, 2.75, 0, iil, no_mode, low, 0, 4.01e-10
onnn180cxopts, ibacsfcf_ts, bc, 2.75, 0, iil, no_mode, high, 0, 4.57e-10
onnn180cxopts, ibacsfcf_ts, bc, 2.75, 0, ipd, 0, single, 0, 7.287e-05
onnn180cxopts, ibacsfcf_ts, bc, 2.75, 0, ipu, 3, single, 0, -6.237e-05
onnn180cxopts, ibacsfcf_ts, bc, 2.75, 0, ibkpu, 2, single, 0, -1.865e-05
onnn180cxopts, ibacsfcf_ts, bc, 2.75, 0, ibkpd, 2, single, 0, 2.194e-05
onnn180cxopts, ibacsfxx_ts, bc, 2.75, 0, vhys, no_mode, low, 0, 0.315
onnn180cxopts, ibacsfxx_ts, bc, 2.75, 0, vhys, no_mode, high, 0, 0.343
onnn180cxopts, ibacsfxx_ts, bc, 2.75, 0, vih, S, low, 0, 1.391
onnn180cxopts, ibacsfxx_ts, bc, 2.75, 0, vih, S, high, 0, 1.460
onnn180cxopts, ibacsfxx_ts, bc, 2.75, 0, vil, S, low, 0, 1.060
onnn180cxopts, ibacsfxx_ts, bc, 2.75, 0, vil, S, high, 0, 1.135
onnn180cxopts, ibacsfxx_ts, bc, 2.75, 0, iih, no_mode, low, 0, -9.715e-11
