LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180cxoptu, ibadlvdsm0p85gt33_tu, bc, 3.63, 150, iih, no_mode, low, 0, -7.82e-07
onnn180cxoptu, ibadlvdsm0p85gt33_tu, bc, 3.63, 150, iih, no_mode, high, 0, -1.93e-07
onnn180cxoptu, ibadlvdsm0p85gt33_tu, bc, 3.63, 150, iil, no_mode, low, 0, 7.245e-08
onnn180cxoptu, ibadlvdsm0p85gt33_tu, bc, 3.63, 150, iil, no_mode, high, 0, 5.34e-07
onnn180cxoptu, ibadlvdsm0p85gt33_tu, bc, 3.63, 150, ipu, no_mode, single, 0, -3.602e-05
onnn180cxoptu, ibadpeclp0p60gx33_tu, bc, 3.63, 150, iih, no_mode, low, 0, -1.219e-06
onnn180cxoptu, ibadpeclp0p60gx33_tu, bc, 3.63, 150, iih, no_mode, high, 0, -4.28e-07
onnn180cxoptu, ibadpeclp0p60gx33_tu, bc, 3.63, 150, iil, no_mode, low, 0, 6.774e-08
onnn180cxoptu, ibadpeclp0p60gx33_tu, bc, 3.63, 150, iil, no_mode, high, 0, 4.91e-07
onnn180cxoptu, obadlvdsm0p85gx33_tu, bc, 3.63, 150, iih, no_mode, low, 0, -1.538e-08
onnn180cxoptu, obadlvdsm0p85gx33_tu, bc, 3.63, 150, iih, no_mode, high, 0, -1.031e-08
onnn180cxoptu, obadlvdsm0p85gx33_tu, bc, 3.63, 150, iil, no_mode, low, 0, 1.086e-08
onnn180cxoptu, obadlvdsm0p85gx33_tu, bc, 3.63, 150, iil, no_mode, high, 0, 6.36e-08
onnn180cxoptu, obadlvdsm0p85gx33_tu, bc, 3.63, 150, ioh, no_mode, single, 1, -0.006025
onnn180cxoptu, obadlvdsm0p85gx33_tu, bc, 3.63, 150, iol, no_mode, single, 1, 0.003661
onnn180cxoptu, obadpeclp0p60gx33_tu, bc, 3.63, 150, iih, no_mode, low, 0, -2.234e-08
onnn180cxoptu, obadpeclp0p60gx33_tu, bc, 3.63, 150, iih, no_mode, high, 0, -5.698e-09
onnn180cxoptu, obadpeclp0p60gx33_tu, bc, 3.63, 150, iil, no_mode, low, 0, 5.524e-08
onnn180cxoptu, obadpeclp0p60gx33_tu, bc, 3.63, 150, iil, no_mode, high, 0, 4.64e-07
onnn180cxoptu, obadpeclp0p60gx33_tu, bc, 3.63, 150, ioh, no_mode, single, 1, -0.0195
onnn180cxoptu, obadpeclp0p60gx33_tu, bc, 3.63, 150, iol, no_mode, single, 1, -0.0038
onnn180cxoptu, ibadlvdsm0p85gt33_tu, wc, 2.97, -55, iih, no_mode, low, 0, -4.64e-10
onnn180cxoptu, ibadlvdsm0p85gt33_tu, wc, 2.97, -55, iih, no_mode, high, 0, -2.25e-10
onnn180cxoptu, ibadlvdsm0p85gt33_tu, wc, 2.97, -55, iil, no_mode, low, 0, 4.72e-10
onnn180cxoptu, ibadlvdsm0p85gt33_tu, wc, 2.97, -55, iil, no_mode, high, 0, 4.72e-10
