LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180cxoptw, ibadslvsj0p60gx18_tw, bc, 1.98, 0, iih, no_mode, low, 0, -9.32e-10
onnn180cxoptw, ibadslvsj0p60gx18_tw, bc, 1.98, 0, iih, no_mode, high, 0, -2.5e-10
onnn180cxoptw, ibadslvsj0p60gx18_tw, bc, 1.98, 0, iil, no_mode, low, 0, 3.47e-10
onnn180cxoptw, ibadslvsj0p60gx18_tw, bc, 1.98, 0, iil, no_mode, high, 0, 1.543e-08
onnn180cxoptw, ibadslvsj0p60gx18_tw, bc, 1.98, -40, iih, no_mode, low, 0, -2.54e-10
onnn180cxoptw, ibadslvsj0p60gx18_tw, bc, 1.98, -40, iih, no_mode, high, 0, -2.3e-10
onnn180cxoptw, ibadslvsj0p60gx18_tw, bc, 1.98, -40, iil, no_mode, low, 0, 2.86e-10
onnn180cxoptw, ibadslvsj0p60gx18_tw, bc, 1.98, -40, iil, no_mode, high, 0, 1.079e-09
onnn180cxoptw, ibadslvsj0p60gx18_tw, bc, 1.98, -55, iih, no_mode, low, 0, -2.35e-10
onnn180cxoptw, ibadslvsj0p60gx18_tw, bc, 1.98, -55, iih, no_mode, high, 0, -2.3e-10
onnn180cxoptw, ibadslvsj0p60gx18_tw, bc, 1.98, -55, iil, no_mode, low, 0, 2.85e-10
onnn180cxoptw, ibadslvsj0p60gx18_tw, bc, 1.98, -55, iil, no_mode, high, 0, 4.9e-10
onnn180cxoptw, ibadslvsj0p60gx18_tw, tc, 1.8, 25, iih, no_mode, low, 0, -3.511e-09
onnn180cxoptw, ibadslvsj0p60gx18_tw, tc, 1.8, 25, iih, no_mode, high, 0, -3.5e-10
onnn180cxoptw, ibadslvsj0p60gx18_tw, tc, 1.8, 25, iil, no_mode, low, 0, 6.72e-10
onnn180cxoptw, ibadslvsj0p60gx18_tw, tc, 1.8, 25, iil, no_mode, high, 0, 5.87e-08
onnn180cxoptw, ibadslvsj0p60gx18_tw, wc, 1.62, 125, iih, no_mode, low, 0, -3.22e-07
onnn180cxoptw, ibadslvsj0p60gx18_tw, wc, 1.62, 125, iih, no_mode, high, 0, -3.583e-08
onnn180cxoptw, ibadslvsj0p60gx18_tw, wc, 1.62, 125, iil, no_mode, low, 0, 8.37e-08
onnn180cxoptw, ibadslvsj0p60gx18_tw, wc, 1.62, 125, iil, no_mode, high, 0, 3.602e-06
onnn180cxoptw, ibadslvsj0p60gx18_tw, wc, 1.62, 150, iih, no_mode, low, 0, -7.41e-07
onnn180cxoptw, ibadslvsj0p60gx18_tw, wc, 1.62, 150, iih, no_mode, high, 0, -9.598e-08
onnn180cxoptw, ibadslvsj0p60gx18_tw, wc, 1.62, 150, iil, no_mode, low, 0, 2.16e-07
onnn180cxoptw, ibadslvsj0p60gx18_tw, wc, 1.62, 150, iil, no_mode, high, 0, 7.624e-06
onnn180cxoptw, ibadslvsj0p60gx18_tw, wc, 1.62, 95, iih, no_mode, low, 0, -1.02e-07
onnn180cxoptw, ibadslvsj0p60gx18_tw, wc, 1.62, 95, iih, no_mode, high, 0, -9.352e-09
onnn180cxoptw, ibadslvsj0p60gx18_tw, wc, 1.62, 95, iil, no_mode, low, 0, 2.295e-08
onnn180cxoptw, ibadslvsj0p60gx18_tw, wc, 1.62, 95, iil, no_mode, high, 0, 1.279e-06
