LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 1.98, 125, vhys, no_mode, low, 0, 0.468
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 1.98, 125, vhys, no_mode, high, 0, 0.528
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 1.98, 125, vih, S, low, 0, 1.150
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 1.98, 125, vih, S, high, 0, 1.232
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 1.98, 125, vil, S, low, 0, 0.647
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 1.98, 125, vil, S, high, 0, 0.731
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 1.98, 125, iih, no_mode, low, 0, -5.638e-09
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 1.98, 125, iih, no_mode, high, 0, -3.36e-10
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 1.98, 125, iil, no_mode, low, 0, 5.3e-10
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 1.98, 125, iil, no_mode, high, 0, 8.792e-09
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 1.98, 125, ipd, 0, single, 0, 1.688e-05
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 1.98, 125, ipu, 3, single, 0, -2.199e-05
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 1.98, 125, ibkpu, 2, single, 0, -1.634e-05
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 1.98, 125, ibkpd, 2, single, 0, 1.26e-05
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 1.98, 125, ioh, no_mode, single, 4, -0.004172
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 1.98, 125, iol, no_mode, single, 4, 0.005263
onnn180sfopcc, iosna4_ll_cc, bc, 1.98, 125, iih, no_mode, low, 0, -7.991e-12
onnn180sfopcc, iosna4_ll_cc, bc, 1.98, 125, iih, no_mode, high, 0, -7.991e-12
onnn180sfopcc, iosna4_ll_cc, bc, 1.98, 125, iil, no_mode, low, 0, 6.901e-12
onnn180sfopcc, iosna4_ll_cc, bc, 1.98, 125, iil, no_mode, high, 0, 6.901e-12
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 3.63, 125, vhys, no_mode, low, 0, 0.692
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 3.63, 125, vhys, no_mode, high, 0, 0.755
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 3.63, 125, vih, S, low, 0, 1.855
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 3.63, 125, vih, S, high, 0, 1.967
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 3.63, 125, vil, S, low, 0, 1.126
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 3.63, 125, vil, S, high, 0, 1.247
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 3.63, 125, iih, no_mode, low, 0, -7.994e-09
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 3.63, 125, iih, no_mode, high, 0, -4.42e-10
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 3.63, 125, iil, no_mode, low, 0, 5.84e-10
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 3.63, 125, iil, no_mode, high, 0, 9.392e-09
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 3.63, 125, ipd, 0, single, 0, 6.106e-05
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 3.63, 125, ipu, 3, single, 0, -7.853e-05
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 3.63, 125, ibkpu, 2, single, 0, -5.427e-05
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 3.63, 125, ibkpd, 2, single, 0, 3.992e-05
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 3.63, 125, ioh, no_mode, single, 4, -0.00684
onnn180sfopcc, ioaas6c3cpxe04_cc, bc, 3.63, 125, iol, no_mode, single, 4, 0.008572
onnn180sfopcc, ioacstctcpte04_cc, bc, 3.63, 125, vhys, no_mode, low, 0, 0.564
onnn180sfopcc, ioacstctcpte04_cc, bc, 3.63, 125, vhys, no_mode, high, 0, 0.626
onnn180sfopcc, ioacstctcpte04_cc, bc, 3.63, 125, vih, S, low, 0, 1.700
onnn180sfopcc, ioacstctcpte04_cc, bc, 3.63, 125, vih, S, high, 0, 1.822
onnn180sfopcc, ioacstctcpte04_cc, bc, 3.63, 125, vil, S, low, 0, 1.104
onnn180sfopcc, ioacstctcpte04_cc, bc, 3.63, 125, vil, S, high, 0, 1.227
onnn180sfopcc, ioacstctcpte04_cc, bc, 3.63, 125, iih, no_mode, low, 0, -1.39e-07
onnn180sfopcc, ioacstctcpte04_cc, bc, 3.63, 125, iih, no_mode, high, 0, -3.84e-09
onnn180sfopcc, ioacstctcpte04_cc, bc, 3.63, 125, iil, no_mode, low, 0, 9.58e-10
onnn180sfopcc, ioacstctcpte04_cc, bc, 3.63, 125, iil, no_mode, high, 0, 2.312e-08
onnn180sfopcc, ioacstctcpte04_cc, bc, 3.63, 125, ipd, 0, single, 0, 6.103e-05
onnn180sfopcc, ioacstctcpte04_cc, bc, 3.63, 125, ipu, 3, single, 0, -7.852e-05
onnn180sfopcc, ioacstctcpte04_cc, bc, 3.63, 125, ibkpu, 2, single, 0, -5.258e-05
onnn180sfopcc, ioacstctcpte04_cc, bc, 3.63, 125, ibkpd, 2, single, 0, 3.933e-05
onnn180sfopcc, ioacstctcpte04_cc, bc, 3.63, 125, ioh, no_mode, single, 4, -0.00684
onnn180sfopcc, ioacstctcpte04_cc, bc, 3.63, 125, iol, no_mode, single, 4, 0.008144
onnn180sfopcc, iosna4_ll_cc, bc, 3.63, 125, iih, no_mode, low, 0, -1.294e-11
onnn180sfopcc, iosna4_ll_cc, bc, 3.63, 125, iih, no_mode, high, 0, -1.294e-11
onnn180sfopcc, iosna4_ll_cc, bc, 3.63, 125, iil, no_mode, low, 0, 1.185e-11
onnn180sfopcc, iosna4_ll_cc, bc, 3.63, 125, iil, no_mode, high, 0, 1.185e-11
onnn180sfopcc, ioaas6c3cpxe04_cc, wc, 1.62, -40, vhys, no_mode, low, 0, 0.385
onnn180sfopcc, ioaas6c3cpxe04_cc, wc, 1.62, -40, vhys, no_mode, high, 0, 0.470
onnn180sfopcc, ioaas6c3cpxe04_cc, wc, 1.62, -40, vih, S, low, 0, 1.005
onnn180sfopcc, ioaas6c3cpxe04_cc, wc, 1.62, -40, vih, S, high, 0, 1.084
onnn180sfopcc, ioaas6c3cpxe04_cc, wc, 1.62, -40, vil, S, low, 0, 0.534
onnn180sfopcc, ioaas6c3cpxe04_cc, wc, 1.62, -40, vil, S, high, 0, 0.654
