LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn180sfopcm, ioaas6c3cpxe04_cm, bc, 3.63, 125, vhys, no_mode, low, 0, 0.692
onnn180sfopcm, ioaas6c3cpxe04_cm, bc, 3.63, 125, vhys, no_mode, high, 0, 0.755
onnn180sfopcm, ioaas6c3cpxe04_cm, bc, 3.63, 125, vih, S, low, 0, 1.855
onnn180sfopcm, ioaas6c3cpxe04_cm, bc, 3.63, 125, vih, S, high, 0, 1.967
onnn180sfopcm, ioaas6c3cpxe04_cm, bc, 3.63, 125, vil, S, low, 0, 1.126
onnn180sfopcm, ioaas6c3cpxe04_cm, bc, 3.63, 125, vil, S, high, 0, 1.247
onnn180sfopcm, ioaas6c3cpxe04_cm, bc, 3.63, 125, iih, no_mode, low, 0, -7.994e-09
onnn180sfopcm, ioaas6c3cpxe04_cm, bc, 3.63, 125, iih, no_mode, high, 0, -4.42e-10
onnn180sfopcm, ioaas6c3cpxe04_cm, bc, 3.63, 125, iil, no_mode, low, 0, 5.84e-10
onnn180sfopcm, ioaas6c3cpxe04_cm, bc, 3.63, 125, iil, no_mode, high, 0, 9.392e-09
onnn180sfopcm, ioaas6c3cpxe04_cm, bc, 3.63, 125, ipd, 0, single, 0, 6.106e-05
onnn180sfopcm, ioaas6c3cpxe04_cm, bc, 3.63, 125, ipu, 3, single, 0, -7.853e-05
onnn180sfopcm, ioaas6c3cpxe04_cm, bc, 3.63, 125, ibkpu, 2, single, 0, -5.427e-05
onnn180sfopcm, ioaas6c3cpxe04_cm, bc, 3.63, 125, ibkpd, 2, single, 0, 3.992e-05
onnn180sfopcm, ioaas6c3cpxe04_cm, bc, 3.63, 125, ioh, no_mode, single, 4, -0.00684
onnn180sfopcm, ioaas6c3cpxe04_cm, bc, 3.63, 125, iol, no_mode, single, 4, 0.008572
onnn180sfopcm, ioacstctcpte04_cm, bc, 3.63, 125, vhys, no_mode, low, 0, 0.564
onnn180sfopcm, ioacstctcpte04_cm, bc, 3.63, 125, vhys, no_mode, high, 0, 0.626
onnn180sfopcm, ioacstctcpte04_cm, bc, 3.63, 125, vih, S, low, 0, 1.700
onnn180sfopcm, ioacstctcpte04_cm, bc, 3.63, 125, vih, S, high, 0, 1.822
onnn180sfopcm, ioacstctcpte04_cm, bc, 3.63, 125, vil, S, low, 0, 1.104
onnn180sfopcm, ioacstctcpte04_cm, bc, 3.63, 125, vil, S, high, 0, 1.227
onnn180sfopcm, ioacstctcpte04_cm, bc, 3.63, 125, iih, no_mode, low, 0, -1.39e-07
onnn180sfopcm, ioacstctcpte04_cm, bc, 3.63, 125, iih, no_mode, high, 0, -3.84e-09
onnn180sfopcm, ioacstctcpte04_cm, bc, 3.63, 125, iil, no_mode, low, 0, 9.58e-10
onnn180sfopcm, ioacstctcpte04_cm, bc, 3.63, 125, iil, no_mode, high, 0, 2.312e-08
onnn180sfopcm, ioacstctcpte04_cm, bc, 3.63, 125, ipd, 0, single, 0, 6.103e-05
onnn180sfopcm, ioacstctcpte04_cm, bc, 3.63, 125, ipu, 3, single, 0, -7.852e-05
onnn180sfopcm, ioacstctcpte04_cm, bc, 3.63, 125, ibkpu, 2, single, 0, -5.258e-05
onnn180sfopcm, ioacstctcpte04_cm, bc, 3.63, 125, ibkpd, 2, single, 0, 3.933e-05
onnn180sfopcm, ioacstctcpte04_cm, bc, 3.63, 125, ioh, no_mode, single, 4, -0.00684
onnn180sfopcm, ioacstctcpte04_cm, bc, 3.63, 125, iol, no_mode, single, 4, 0.008144
onnn180sfopcm, iosna4_ll_cm, bc, 3.63, 125, iih, no_mode, low, 0, -1.294e-11
onnn180sfopcm, iosna4_ll_cm, bc, 3.63, 125, iih, no_mode, high, 0, -1.294e-11
onnn180sfopcm, iosna4_ll_cm, bc, 3.63, 125, iil, no_mode, low, 0, 1.185e-11
onnn180sfopcm, iosna4_ll_cm, bc, 3.63, 125, iil, no_mode, high, 0, 1.185e-11
onnn180sfopcm, ioaas6c3cpxe04_cm, wc, 2.97, -40, vhys, no_mode, low, 0, 0.636
onnn180sfopcm, ioaas6c3cpxe04_cm, wc, 2.97, -40, vhys, no_mode, high, 0, 0.717
onnn180sfopcm, ioaas6c3cpxe04_cm, wc, 2.97, -40, vih, S, low, 0, 1.601
onnn180sfopcm, ioaas6c3cpxe04_cm, wc, 2.97, -40, vih, S, high, 0, 1.703
onnn180sfopcm, ioaas6c3cpxe04_cm, wc, 2.97, -40, vil, S, low, 0, 0.934
onnn180sfopcm, ioaas6c3cpxe04_cm, wc, 2.97, -40, vil, S, high, 0, 1.020
onnn180sfopcm, ioaas6c3cpxe04_cm, wc, 2.97, -40, iih, no_mode, low, 0, -7.724e-11
onnn180sfopcm, ioaas6c3cpxe04_cm, wc, 2.97, -40, iih, no_mode, high, 0, -7.722e-11
onnn180sfopcm, ioaas6c3cpxe04_cm, wc, 2.97, -40, iil, no_mode, low, 0, 5.049e-11
onnn180sfopcm, ioaas6c3cpxe04_cm, wc, 2.97, -40, iil, no_mode, high, 0, 5.051e-11
onnn180sfopcm, ioaas6c3cpxe04_cm, wc, 2.97, -40, ipd, 0, single, 0, 6.125e-05
onnn180sfopcm, ioaas6c3cpxe04_cm, wc, 2.97, -40, ipu, 3, single, 0, -5.424e-05
onnn180sfopcm, ioaas6c3cpxe04_cm, wc, 2.97, -40, ibkpu, 2, single, 0, -4.306e-05
onnn180sfopcm, ioaas6c3cpxe04_cm, wc, 2.97, -40, ibkpd, 2, single, 0, 4.765e-05
onnn180sfopcm, ioaas6c3cpxe04_cm, wc, 2.97, -40, ioh, no_mode, single, 4, -0.00668
onnn180sfopcm, ioaas6c3cpxe04_cm, wc, 2.97, -40, iol, no_mode, single, 4, 0.01104
onnn180sfopcm, ioacstctcpte04_cm, wc, 2.97, -40, vhys, no_mode, low, 0, 0.537
onnn180sfopcm, ioacstctcpte04_cm, wc, 2.97, -40, vhys, no_mode, high, 0, 0.626
onnn180sfopcm, ioacstctcpte04_cm, wc, 2.97, -40, vih, S, low, 0, 1.496
onnn180sfopcm, ioacstctcpte04_cm, wc, 2.97, -40, vih, S, high, 0, 1.611
onnn180sfopcm, ioacstctcpte04_cm, wc, 2.97, -40, vil, S, low, 0, 0.931
onnn180sfopcm, ioacstctcpte04_cm, wc, 2.97, -40, vil, S, high, 0, 1.018
onnn180sfopcm, ioacstctcpte04_cm, wc, 2.97, -40, iih, no_mode, low, 0, -8.36e-10
onnn180sfopcm, ioacstctcpte04_cm, wc, 2.97, -40, iih, no_mode, high, 0, -3.02e-10
onnn180sfopcm, ioacstctcpte04_cm, wc, 2.97, -40, iil, no_mode, low, 0, 1.48e-10
onnn180sfopcm, ioacstctcpte04_cm, wc, 2.97, -40, iil, no_mode, high, 0, 1.49e-10
onnn180sfopcm, ioacstctcpte04_cm, wc, 2.97, -40, ipd, 0, single, 0, 6.121e-05
onnn180sfopcm, ioacstctcpte04_cm, wc, 2.97, -40, ipu, 3, single, 0, -5.423e-05
onnn180sfopcm, ioacstctcpte04_cm, wc, 2.97, -40, ibkpu, 2, single, 0, -4.222e-05
onnn180sfopcm, ioacstctcpte04_cm, wc, 2.97, -40, ibkpd, 2, single, 0, 4.712e-05
onnn180sfopcm, ioacstctcpte04_cm, wc, 2.97, -40, ioh, no_mode, single, 4, -0.00668
onnn180sfopcm, ioacstctcpte04_cm, wc, 2.97, -40, iol, no_mode, single, 4, 0.01079
onnn180sfopcm, iosna4_ll_cm, wc, 2.97, -40, iih, no_mode, low, 0, -8.91e-12
onnn180sfopcm, iosna4_ll_cm, wc, 2.97, -40, iih, no_mode, high, 0, -8.91e-12
onnn180sfopcm, iosna4_ll_cm, wc, 2.97, -40, iil, no_mode, low, 0, 8.91e-12
