LIB, CELL, PROC, VOLT, TEMP, SPEC, MODE, H_L_S, DRIVE, MEAS
onnn250cxoprx, ioacs6c3csxe04_pr, bc, 2.75, 150, vhys, no_mode, low, 0, 0.404
onnn250cxoprx, ioacs6c3csxe04_pr, bc, 2.75, 150, vhys, no_mode, high, 0, 0.544
onnn250cxoprx, ioacs6c3csxe04_pr, bc, 2.75, 150, vih, S, low, 0, 1.273
onnn250cxoprx, ioacs6c3csxe04_pr, bc, 2.75, 150, vih, S, high, 0, 1.525
onnn250cxoprx, ioacs6c3csxe04_pr, bc, 2.75, 150, vil, S, low, 0, 0.799
onnn250cxoprx, ioacs6c3csxe04_pr, bc, 2.75, 150, vil, S, high, 0, 1.052
onnn250cxoprx, ioacs6c3csxe04_pr, bc, 2.75, 150, iih, no_mode, low, 0, -2.39e-07
onnn250cxoprx, ioacs6c3csxe04_pr, bc, 2.75, 150, iih, no_mode, high, 0, -8.98e-10
onnn250cxoprx, ioacs6c3csxe04_pr, bc, 2.75, 150, iil, no_mode, low, 0, 9.281e-11
onnn250cxoprx, ioacs6c3csxe04_pr, bc, 2.75, 150, iil, no_mode, high, 0, 6.096e-09
onnn250cxoprx, ioacs6c3csxe04_pr, bc, 2.75, 150, ipd, 0, single, 0, 3.987e-05
onnn250cxoprx, ioacs6c3csxe04_pr, bc, 2.75, 150, ipu, 3, single, 0, -4.681e-05
onnn250cxoprx, ioacs6c3csxe04_pr, bc, 2.75, 150, ibkpu, 2, single, 0, -3.454e-05
onnn250cxoprx, ioacs6c3csxe04_pr, bc, 2.75, 150, ibkpd, 2, single, 0, 2.597e-05
onnn250cxoprx, ioacs6c3csxe04_pr, bc, 2.75, 150, ioh, no_mode, single, 4, -0.005809
onnn250cxoprx, ioacs6c3csxe04_pr, bc, 2.75, 150, iol, no_mode, single, 4, 0.005729
onnn250cxoprx, ioacs6c3cxxe04_pr, bc, 2.75, 150, vhys, no_mode, low, 0, 0.404
onnn250cxoprx, ioacs6c3cxxe04_pr, bc, 2.75, 150, vhys, no_mode, high, 0, 0.544
onnn250cxoprx, ioacs6c3cxxe04_pr, bc, 2.75, 150, vih, S, low, 0, 1.273
onnn250cxoprx, ioacs6c3cxxe04_pr, bc, 2.75, 150, vih, S, high, 0, 1.525
onnn250cxoprx, ioacs6c3cxxe04_pr, bc, 2.75, 150, vil, S, low, 0, 0.799
onnn250cxoprx, ioacs6c3cxxe04_pr, bc, 2.75, 150, vil, S, high, 0, 1.052
onnn250cxoprx, ioacs6c3cxxe04_pr, bc, 2.75, 150, iih, no_mode, low, 0, -2.39e-07
onnn250cxoprx, ioacs6c3cxxe04_pr, bc, 2.75, 150, iih, no_mode, high, 0, -8.98e-10
onnn250cxoprx, ioacs6c3cxxe04_pr, bc, 2.75, 150, iil, no_mode, low, 0, 9.281e-11
onnn250cxoprx, ioacs6c3cxxe04_pr, bc, 2.75, 150, iil, no_mode, high, 0, 6.098e-09
onnn250cxoprx, ioacs6c3cxxe04_pr, bc, 2.75, 150, ipd, 0, single, 0, 3.987e-05
onnn250cxoprx, ioacs6c3cxxe04_pr, bc, 2.75, 150, ipu, 3, single, 0, -4.681e-05
onnn250cxoprx, ioacs6c3cxxe04_pr, bc, 2.75, 150, ibkpu, 2, single, 0, -3.454e-05
onnn250cxoprx, ioacs6c3cxxe04_pr, bc, 2.75, 150, ibkpd, 2, single, 0, 2.597e-05
onnn250cxoprx, ioacs6c3cxxe04_pr, bc, 2.75, 150, ioh, no_mode, single, 4, -0.005809
onnn250cxoprx, ioacs6c3cxxe04_pr, bc, 2.75, 150, iol, no_mode, single, 4, 0.00573
onnn250cxoprx, ioacx6c3csxe02_pr, bc, 2.75, 150, vih, no_mode, low, 0, 0.999
onnn250cxoprx, ioacx6c3csxe02_pr, bc, 2.75, 150, vih, no_mode, high, 0, 1.361
onnn250cxoprx, ioacx6c3csxe02_pr, bc, 2.75, 150, vil, no_mode, low, 0, 0.999
onnn250cxoprx, ioacx6c3csxe02_pr, bc, 2.75, 150, vil, no_mode, high, 0, 1.361
onnn250cxoprx, ioacx6c3csxe02_pr, bc, 2.75, 150, iih, no_mode, low, 0, -2.39e-07
onnn250cxoprx, ioacx6c3csxe02_pr, bc, 2.75, 150, iih, no_mode, high, 0, -8.98e-10
onnn250cxoprx, ioacx6c3csxe02_pr, bc, 2.75, 150, iil, no_mode, low, 0, 9.281e-11
onnn250cxoprx, ioacx6c3csxe02_pr, bc, 2.75, 150, iil, no_mode, high, 0, 6.096e-09
onnn250cxoprx, ioacx6c3csxe02_pr, bc, 2.75, 150, ipd, 0, single, 0, 3.987e-05
onnn250cxoprx, ioacx6c3csxe02_pr, bc, 2.75, 150, ipu, 3, single, 0, -4.681e-05
onnn250cxoprx, ioacx6c3csxe02_pr, bc, 2.75, 150, ibkpu, 2, single, 0, -3.454e-05
onnn250cxoprx, ioacx6c3csxe02_pr, bc, 2.75, 150, ibkpd, 2, single, 0, 2.597e-05
onnn250cxoprx, ioacx6c3csxe02_pr, bc, 2.75, 150, ioh, no_mode, single, 2, -0.003874
onnn250cxoprx, ioacx6c3csxe02_pr, bc, 2.75, 150, iol, no_mode, single, 2, 0.002866
onnn250cxoprx, ioacx6c3csxe04_pr, bc, 2.75, 150, vih, no_mode, low, 0, 0.999
onnn250cxoprx, ioacx6c3csxe04_pr, bc, 2.75, 150, vih, no_mode, high, 0, 1.361
onnn250cxoprx, ioacx6c3csxe04_pr, bc, 2.75, 150, vil, no_mode, low, 0, 0.999
onnn250cxoprx, ioacx6c3csxe04_pr, bc, 2.75, 150, vil, no_mode, high, 0, 1.361
onnn250cxoprx, ioacx6c3csxe04_pr, bc, 2.75, 150, iih, no_mode, low, 0, -2.39e-07
onnn250cxoprx, ioacx6c3csxe04_pr, bc, 2.75, 150, iih, no_mode, high, 0, -8.98e-10
onnn250cxoprx, ioacx6c3csxe04_pr, bc, 2.75, 150, iil, no_mode, low, 0, 9.281e-11
onnn250cxoprx, ioacx6c3csxe04_pr, bc, 2.75, 150, iil, no_mode, high, 0, 6.096e-09
onnn250cxoprx, ioacx6c3csxe04_pr, bc, 2.75, 150, ipd, 0, single, 0, 3.987e-05
onnn250cxoprx, ioacx6c3csxe04_pr, bc, 2.75, 150, ipu, 3, single, 0, -4.681e-05
onnn250cxoprx, ioacx6c3csxe04_pr, bc, 2.75, 150, ibkpu, 2, single, 0, -3.454e-05
onnn250cxoprx, ioacx6c3csxe04_pr, bc, 2.75, 150, ibkpd, 2, single, 0, 2.597e-05
onnn250cxoprx, ioacx6c3csxe04_pr, bc, 2.75, 150, ioh, no_mode, single, 4, -0.005809
onnn250cxoprx, ioacx6c3csxe04_pr, bc, 2.75, 150, iol, no_mode, single, 4, 0.005729
onnn250cxoprx, ioacx6c3csxe06_pr, bc, 2.75, 150, vih, no_mode, low, 0, 0.999
onnn250cxoprx, ioacx6c3csxe06_pr, bc, 2.75, 150, vih, no_mode, high, 0, 1.361
onnn250cxoprx, ioacx6c3csxe06_pr, bc, 2.75, 150, vil, no_mode, low, 0, 0.999
onnn250cxoprx, ioacx6c3csxe06_pr, bc, 2.75, 150, vil, no_mode, high, 0, 1.361
